location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,3916
BE,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,16657
BG,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,1499
CH,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,6382
CY,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,748
CZ,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,5140
DE,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,43327
DK,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,8059
EE,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,1436
ES,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,22524
FI,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,1415
FR,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,79089
GB,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,14614
GR,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,12525
HR,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,3611
HU,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,4229
IE,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,2512
IS,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,13
IT,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,33354
LI,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,8
LT,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,6898
LU,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,539
LV,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,3287
MT,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,7
NL,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,29871
NO,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,2829
PL,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,11980
PT,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,2629
RO,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,3167
SE,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,21076
SI,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,2375
SK,1 wk ahead inc case,point,NA,2021-05-17,2021-05-22,1518
AT,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,53
BE,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,129
BG,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,156
CH,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,11
CY,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,7
CZ,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,168
DE,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,1038
DK,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,0
EE,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,14
ES,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,530
FI,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,5
FR,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,807
GB,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,73
GR,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,299
HR,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,210
HU,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,378
IE,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,26
IS,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,0
IT,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,1012
LI,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,0
LT,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,57
LU,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,0
LV,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,73
MT,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,1
NL,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,114
NO,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,0
PL,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,898
PT,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,20
RO,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,376
SE,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,88
SI,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,29
SK,1 wk ahead inc death,point,NA,2021-05-17,2021-05-22,167
