location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,16274
BE,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,14367
BG,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,20822
CH,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,4066
CY,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,1064
CZ,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,12429
DE,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,64845
DK,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,5461
EE,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,8919
ES,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,6461
FI,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,4256
FR,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,27797
GB,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,333788
GR,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,17565
HR,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,10495
HU,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,6004
IE,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,12735
IS,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,253
IT,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,16084
LI,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,18
LT,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,18020
LU,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,575
LV,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,17180
MT,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,94
NL,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,29084
NO,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,2166
PL,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,20746
PT,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,4122
RO,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,110645
SE,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,3264
SI,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,6491
SK,1 wk ahead inc case,point,NA,2021-10-18,2021-10-23,15418
AT,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,67
BE,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,65
BG,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,592
CH,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,39
CY,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,3
CZ,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,69
DE,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,383
DK,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,24
EE,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,40
ES,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,150
FI,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,8
FR,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,161
GB,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,849
GR,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,228
HR,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,145
HU,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,89
IE,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,21
IS,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,0
IT,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,211
LI,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,1
LT,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,231
LU,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,2
LV,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,85
MT,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,0
NL,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,66
NO,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,22
PL,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,241
PT,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,63
RO,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,2733
SE,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,26
SI,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,21
SK,1 wk ahead inc death,point,NA,2021-10-18,2021-10-23,141
