location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,22025
BE,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,38008
BG,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,23538
CH,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,11020
CY,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,2196
CZ,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,38072
DE,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,107178
DK,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,3995
EE,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,6434
ES,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,32730
FI,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,3912
FR,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,291836
GB,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,34401
GR,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,14823
HR,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,11307
HU,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,66831
IE,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,4377
IS,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,76
IT,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,140112
LI,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,42
LT,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,5571
LU,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,1486
LV,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,3250
MT,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,298
NL,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,56960
NO,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,5682
PL,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,219330
PT,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,2366
RO,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,41807
SE,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,33229
SI,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,6887
SK,1 wk ahead inc case,point,NA,2021-03-29,2021-04-03,7539
AT,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,189
BE,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,238
BG,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,713
CH,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,70
CY,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,14
CZ,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,986
DE,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,895
DK,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,17
EE,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,83
ES,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,2087
FI,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,3
FR,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,1758
GB,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,251
GR,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,464
HR,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,160
HU,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,1973
IE,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,114
IS,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,0
IT,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,2993
LI,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,0
LT,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,62
LU,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,5
LV,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,36
MT,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,7
NL,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,173
NO,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,0
PL,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,2576
PT,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,53
RO,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,1115
SE,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,160
SI,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,50
SK,1 wk ahead inc death,point,NA,2021-03-29,2021-04-03,357
