location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,14758
BE,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,21529
BG,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,10122
CH,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,14168
CY,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,5222
CZ,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,12437
DE,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,109386
DK,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,5393
EE,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,2617
ES,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,60589
FI,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,1729
FR,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,370526
GB,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,15789
GR,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,17957
HR,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,14696
HU,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,19529
IE,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,2245
IS,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,10
IT,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,82410
LI,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,78
LT,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,7362
LU,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,1202
LV,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,3412
MT,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,310
NL,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,58466
NO,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,2448
PL,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,70757
PT,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,3108
RO,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,16876
SE,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,39808
SI,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,3914
SK,1 wk ahead inc case,point,NA,2021-04-19,2021-04-24,3768
AT,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,196
BE,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,327
BG,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,726
CH,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,38
CY,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,28
CZ,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,359
DE,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,1304
DK,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,21
EE,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,50
ES,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,636
FI,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,22
FR,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,3067
GB,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,114
GR,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,615
HR,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,279
HU,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,1546
IE,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,70
IS,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,0
IT,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,2264
LI,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,0
LT,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,73
LU,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,23
LV,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,68
MT,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,7
NL,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,150
NO,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,24
PL,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,3384
PT,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,19
RO,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,1104
SE,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,153
SI,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,44
SK,1 wk ahead inc death,point,NA,2021-04-19,2021-04-24,510
