location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,43453
BE,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,53201
BG,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,33274
CH,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,10121
CY,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,795
CZ,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,45460
DE,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,145370
DK,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,14764
EE,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,14089
ES,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,10851
FI,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,4301
FR,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,44647
GB,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,267716
GR,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,27219
HR,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,29669
HU,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,24257
IE,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,18079
IS,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,619
IT,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,35886
LI,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,54
LT,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,21249
LU,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,1186
LV,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,18382
MT,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,108
NL,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,60946
NO,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,7791
PL,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,62021
PT,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,5431
RO,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,68392
SE,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,5462
SI,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,18662
SK,1 wk ahead inc case,point,NA,2021-11-01,2021-11-06,32369
AT,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,99
BE,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,129
BG,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,881
CH,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,56
CY,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,3
CZ,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,174
DE,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,561
DK,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,13
EE,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,84
ES,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,170
FI,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,39
FR,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,167
GB,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,1069
GR,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,361
HR,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,215
HU,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,263
IE,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,67
IS,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,0
IT,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,260
LI,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,1
LT,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,278
LU,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,2
LV,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,253
MT,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,1
NL,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,122
NO,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,2
PL,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,578
PT,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,12
RO,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,3326
SE,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,32
SI,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,58
SK,1 wk ahead inc death,point,NA,2021-11-01,2021-11-06,161
