location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,85421
BE,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,143687
BG,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,11884
CH,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,51366
CY,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,2580
CZ,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,147866
DE,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,397523
DK,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,32512
EE,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,2709
ES,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,55642
FI,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,7387
FR,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,293157
GB,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,300689
GR,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,42839
HR,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,27855
HU,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,72118
IE,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,30375
IS,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,778
IT,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,96760
LI,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,280
LT,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,10861
LU,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,2342
LV,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,5030
MT,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,601
NL,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,165806
NO,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,19034
PL,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,171503
PT,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,23724
RO,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,8819
SE,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,10585
SI,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,12730
SK,1 wk ahead inc case,point,NA,2021-11-29,2021-12-04,81662
AT,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,497
BE,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,304
BG,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,684
CH,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,111
CY,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,0
CZ,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,981
DE,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,1842
DK,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,80
EE,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,55
ES,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,92
FI,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,33
FR,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,500
GB,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,654
GR,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,729
HR,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,474
HU,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,1180
IE,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,41
IS,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,1
IT,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,504
LI,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,0
LT,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,140
LU,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,4
LV,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,178
MT,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,3
NL,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,436
NO,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,66
PL,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,2184
PT,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,114
RO,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,852
SE,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,31
SI,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,124
SK,1 wk ahead inc death,point,NA,2021-11-29,2021-12-04,434
