location_name,location,indicator,date,value,source,type
Austria,AT,Daily hospital occupancy,2020-06-30,58,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-01,65,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-02,62,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-03,65,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-04,60,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-05,62,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-06,67,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-07,81,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-08,66,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-09,66,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-10,71,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-11,68,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-12,73,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-13,74,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-14,74,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-15,86,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-16,83,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-17,88,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-18,87,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-19,85,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-20,96,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-21,96,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-22,93,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-23,87,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-24,86,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-25,85,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-26,82,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-27,79,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-28,74,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-29,74,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-30,87,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-07-31,84,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-01,70,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-02,73,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-03,92,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-04,84,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-05,90,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-06,92,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-07,93,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-08,96,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-09,99,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-10,92,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-11,94,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-12,93,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-13,92,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-14,91,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-15,83,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-16,65,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-17,91,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-18,97,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-19,101,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-20,95,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-21,90,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-22,94,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-23,93,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-24,112,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-25,114,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-26,118,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-27,121,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-28,119,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-29,114,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-30,110,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-08-31,123,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-01,119,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-02,127,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-03,132,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-04,128,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-05,129,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-06,115,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-07,134,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-08,142,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-09,161,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-10,166,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-11,163,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-12,167,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-13,182,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-14,208,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-15,244,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-16,267,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-17,264,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-18,272,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-19,265,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-20,273,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-21,297,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-22,315,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-23,336,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-24,344,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-25,333,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-26,343,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-27,362,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-28,381,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-29,401,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-09-30,406,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-01,395,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-02,372,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-03,397,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-04,373,Public,ECDC
