forecast_date,target_end_date,target,location,type,quantile,value
2022-04-11,2022-04-16,1 wk ahead inc case,PL,point,NA,5101
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.01,4175
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.025,4318
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.05,4425
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.1,4613
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.15,4742
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.2,4822
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.25,4892
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.3,4952
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.35,4996
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.4,5041
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.45,5083
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.5,5120
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.55,5161
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.6,5206
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.65,5250
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.7,5294
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.75,5340
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.8,5397
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.85,5460
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.9,5524
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.95,5653
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.975,5802
2022-04-11,2022-04-16,1 wk ahead inc case,PL,quantile,0.99,5873
2022-04-11,2022-04-23,2 wk ahead inc case,PL,point,NA,2639
