forecast_date,target_end_date,target,location,type,quantile,scenario_id,value
2022-10-17,2022-10-22,1 wk ahead inc case,PL,point,NA,forecast,9326
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.01,forecast,6239
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.025,forecast,6489
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.05,forecast,6822
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.1,forecast,7046
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.15,forecast,7403
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.2,forecast,7886
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.25,forecast,7984
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.3,forecast,8142
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.35,forecast,8460
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.4,forecast,8674
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.45,forecast,8884
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.5,forecast,9111
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.55,forecast,9517
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.6,forecast,9747
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.65,forecast,9921
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.7,forecast,10180
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.75,forecast,10715
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.8,forecast,10930
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.85,forecast,11351
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.9,forecast,12056
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.95,forecast,12211
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.975,forecast,12798
2022-10-17,2022-10-22,1 wk ahead inc case,PL,quantile,0.99,forecast,13182
2022-10-17,2022-10-29,2 wk ahead inc case,PL,point,NA,forecast,6270
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.01,forecast,3971
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.025,forecast,4201
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.05,forecast,4317
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.1,forecast,4744
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.15,forecast,4975
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.2,forecast,5149
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.25,forecast,5469
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.3,forecast,5636
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.35,forecast,5843
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.4,forecast,5954
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.45,forecast,6129
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.5,forecast,6246
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.55,forecast,6401
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.6,forecast,6546
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.65,forecast,6681
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.7,forecast,6839
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.75,forecast,7177
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.8,forecast,7281
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.85,forecast,7476
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.9,forecast,7845
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.95,forecast,8282
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.975,forecast,8511
2022-10-17,2022-10-29,2 wk ahead inc case,PL,quantile,0.99,forecast,8614
2022-10-17,2022-11-05,3 wk ahead inc case,PL,point,NA,forecast,4093
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.01,forecast,2365
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.025,forecast,2500
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.05,forecast,2665
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.1,forecast,2871
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.15,forecast,3135
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.2,forecast,3271
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.25,forecast,3406
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.3,forecast,3599
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.35,forecast,3672
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.4,forecast,3853
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.45,forecast,4053
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.5,forecast,4181
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.55,forecast,4280
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.6,forecast,4450
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.65,forecast,4528
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.7,forecast,4622
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.75,forecast,4789
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.8,forecast,4891
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.85,forecast,5026
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.9,forecast,5151
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.95,forecast,5368
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.975,forecast,5571
2022-10-17,2022-11-05,3 wk ahead inc case,PL,quantile,0.99,forecast,5684
2022-10-17,2022-11-12,4 wk ahead inc case,PL,point,NA,forecast,2588
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.01,forecast,1275
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.025,forecast,1471
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.05,forecast,1545
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.1,forecast,1683
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.15,forecast,1850
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.2,forecast,1967
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.25,forecast,2074
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.3,forecast,2166
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.35,forecast,2307
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.4,forecast,2409
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.45,forecast,2516
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.5,forecast,2618
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.55,forecast,2741
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.6,forecast,2829
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.65,forecast,2956
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.7,forecast,3033
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.75,forecast,3148
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.8,forecast,3221
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.85,forecast,3300
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.9,forecast,3393
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.95,forecast,3525
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.975,forecast,3603
2022-10-17,2022-11-12,4 wk ahead inc case,PL,quantile,0.99,forecast,3681
2022-10-17,2022-10-22,1 wk ahead inc death,PL,point,NA,forecast,143
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.01,forecast,74
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.025,forecast,80
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.05,forecast,88
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.1,forecast,97
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.15,forecast,103
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.2,forecast,109
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.25,forecast,115
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.3,forecast,119
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.35,forecast,125
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.4,forecast,130
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.45,forecast,135
2022-10-17,2022-10-22,1 wk ahead inc death,PL,quantile,0.5,forecast,139
