forecast_date,target_end_date,target,location,type,quantile,location_name,value
2022-01-03,2022-01-08,1 wk ahead cum death,PL,point,NA,Poland,100655
2022-01-03,2022-01-08,1 wk ahead inc death,PL,point,NA,Poland,3096
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.01,Poland,100337
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.025,Poland,100357
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.05,Poland,100408
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.1,Poland,100497
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.15,Poland,100557
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.2,Poland,100583
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.25,Poland,100605
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.3,Poland,100622
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.35,Poland,100635
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.4,Poland,100650
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.45,Poland,100661
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.5,Poland,100674
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.55,Poland,100684
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.6,Poland,100697
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.65,Poland,100709
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.7,Poland,100722
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.75,Poland,100733
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.8,Poland,100747
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.85,Poland,100763
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.9,Poland,100779
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.95,Poland,100799
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.975,Poland,100813
2022-01-03,2022-01-08,1 wk ahead cum death,PL,quantile,0.99,Poland,100833
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.01,Poland,2778
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.025,Poland,2798
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.05,Poland,2849
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.1,Poland,2938
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.15,Poland,2998
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.2,Poland,3024
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.25,Poland,3046
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.3,Poland,3063
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.35,Poland,3076
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.4,Poland,3091
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.45,Poland,3102
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.5,Poland,3115
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.55,Poland,3125
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.6,Poland,3138
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.65,Poland,3150
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.7,Poland,3163
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.75,Poland,3174
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.8,Poland,3188
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.85,Poland,3204
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.9,Poland,3220
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.95,Poland,3240
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.975,Poland,3254
2022-01-03,2022-01-08,1 wk ahead inc death,PL,quantile,0.99,Poland,3274
2022-01-03,2022-01-15,2 wk ahead cum death,PL,point,NA,Poland,103493
2022-01-03,2022-01-15,2 wk ahead inc death,PL,point,NA,Poland,2838
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.01,Poland,102653
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.025,Poland,102735
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.05,Poland,102867
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.1,Poland,103066
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.15,Poland,103173
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.2,Poland,103244
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.25,Poland,103305
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.3,Poland,103356
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.35,Poland,103402
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.4,Poland,103460
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.45,Poland,103517
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.5,Poland,103565
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.55,Poland,103599
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.6,Poland,103629
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.65,Poland,103660
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.7,Poland,103691
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.75,Poland,103718
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.8,Poland,103748
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.85,Poland,103787
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.9,Poland,103839
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.95,Poland,103908
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.975,Poland,103954
2022-01-03,2022-01-15,2 wk ahead cum death,PL,quantile,0.99,Poland,104003
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.01,Poland,2316
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.025,Poland,2378
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.05,Poland,2459
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.1,Poland,2569
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.15,Poland,2616
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.2,Poland,2661
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.25,Poland,2700
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.3,Poland,2734
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.35,Poland,2767
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.4,Poland,2810
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.45,Poland,2856
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.5,Poland,2891
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.55,Poland,2915
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.6,Poland,2932
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.65,Poland,2951
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.7,Poland,2969
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.75,Poland,2985
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.8,Poland,3001
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.85,Poland,3024
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.9,Poland,3060
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.95,Poland,3109
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.975,Poland,3141
2022-01-03,2022-01-15,2 wk ahead inc death,PL,quantile,0.99,Poland,3170
2022-01-03,2022-01-22,3 wk ahead cum death,PL,point,NA,Poland,106742
2022-01-03,2022-01-22,3 wk ahead inc death,PL,point,NA,Poland,3249
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.01,Poland,105004
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.025,Poland,105202
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.05,Poland,105484
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.1,Poland,105783
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.15,Poland,105946
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.2,Poland,106079
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.25,Poland,106212
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.3,Poland,106368
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.35,Poland,106479
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.4,Poland,106581
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.45,Poland,106665
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.5,Poland,106737
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.55,Poland,106797
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.6,Poland,106852
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.65,Poland,106929
2022-01-03,2022-01-22,3 wk ahead cum death,PL,quantile,0.7,Poland,107115
