forecast_date,target_end_date,target,location,type,quantile,scenario_id,value
2022-12-26,2022-12-31,1 wk ahead inc case,PL,point,NA,forecast,6542
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.01,forecast,1562
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.025,forecast,1926
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.05,forecast,2205
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.1,forecast,2812
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.15,forecast,3360
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.2,forecast,3765
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.25,forecast,4176
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.3,forecast,4927
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.35,forecast,5344
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.4,forecast,5855
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.45,forecast,6330
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.5,forecast,6734
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.55,forecast,6922
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.6,forecast,7326
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.65,forecast,7704
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.7,forecast,8054
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.75,forecast,8623
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.8,forecast,9133
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.85,forecast,9843
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.9,forecast,10254
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.95,forecast,10874
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.975,forecast,11200
2022-12-26,2022-12-31,1 wk ahead inc case,PL,quantile,0.99,forecast,11404
2022-12-26,2023-01-07,2 wk ahead inc case,PL,point,NA,forecast,10132
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.01,forecast,2446
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.025,forecast,3024
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.05,forecast,3434
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.1,forecast,4485
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.15,forecast,5349
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.2,forecast,5944
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.25,forecast,6381
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.3,forecast,7777
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.35,forecast,8249
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.4,forecast,9344
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.45,forecast,9818
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.5,forecast,10283
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.55,forecast,10716
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.6,forecast,11448
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.65,forecast,11890
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.7,forecast,12600
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.75,forecast,13459
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.8,forecast,14111
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.85,forecast,14509
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.9,forecast,15535
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.95,forecast,16532
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.975,forecast,16852
2022-12-26,2023-01-07,2 wk ahead inc case,PL,quantile,0.99,forecast,18685
2022-12-26,2023-01-14,3 wk ahead inc case,PL,point,NA,forecast,14274
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.01,forecast,3748
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.025,forecast,4726
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.05,forecast,5188
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.1,forecast,6711
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.15,forecast,8229
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.2,forecast,8563
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.25,forecast,9680
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.3,forecast,10676
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.35,forecast,12321
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.4,forecast,12730
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.45,forecast,14177
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.5,forecast,14557
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.55,forecast,15080
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.6,forecast,15680
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.65,forecast,16830
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.7,forecast,17594
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.75,forecast,17936
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.8,forecast,19388
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.85,forecast,20037
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.9,forecast,21630
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.95,forecast,23112
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.975,forecast,24522
2022-12-26,2023-01-14,3 wk ahead inc case,PL,quantile,0.99,forecast,27294
2022-12-26,2023-01-21,4 wk ahead inc case,PL,point,NA,forecast,19471
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.01,forecast,5880
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.025,forecast,6634
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.05,forecast,7733
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.1,forecast,10039
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.15,forecast,11271
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.2,forecast,12703
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.25,forecast,13574
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.3,forecast,14795
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.35,forecast,16034
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.4,forecast,17639
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.45,forecast,18344
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.5,forecast,19151
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.55,forecast,20658
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.6,forecast,21111
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.65,forecast,22107
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.7,forecast,23609
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.75,forecast,23802
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.8,forecast,26115
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.85,forecast,27039
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.9,forecast,28872
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.95,forecast,31697
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.975,forecast,34658
2022-12-26,2023-01-21,4 wk ahead inc case,PL,quantile,0.99,forecast,37213
2022-12-26,2022-12-31,1 wk ahead inc death,PL,point,NA,forecast,52
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.01,forecast,21
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.025,forecast,23
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.05,forecast,25
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.1,forecast,29
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.15,forecast,32
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.2,forecast,34
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.25,forecast,36
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.3,forecast,38
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.35,forecast,40
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.4,forecast,43
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.45,forecast,45
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.5,forecast,47
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.55,forecast,49
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.6,forecast,53
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.65,forecast,56
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.7,forecast,60
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.75,forecast,64
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.8,forecast,69
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.85,forecast,74
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.9,forecast,81
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.95,forecast,89
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.975,forecast,96
2022-12-26,2022-12-31,1 wk ahead inc death,PL,quantile,0.99,forecast,105
2022-12-26,2023-01-07,2 wk ahead inc death,PL,point,NA,forecast,59
2022-12-26,2023-01-07,2 wk ahead inc death,PL,quantile,0.01,forecast,21
2022-12-26,2023-01-07,2 wk ahead inc death,PL,quantile,0.025,forecast,23
2022-12-26,2023-01-07,2 wk ahead inc death,PL,quantile,0.05,forecast,26
