"forecast_date","target_end_date","target","location","type","quantile","value","scenario_id"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","point",NA,90768,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.01,51658,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.025,58096,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.05,62331,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.1,65019,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.15,68380,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.2,72055,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.25,75023,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.3,78012,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.35,80712,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.4,83633,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.45,86897,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.5,89653,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.55,91735,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.6,93591,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.65,95866,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.7,98661,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.75,103226,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.8,107999,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.85,114054,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.9,120884,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.95,130824,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.975,136054,"forecast"
"2022-02-28","2022-03-05","1 wk ahead inc case","PL","quantile",0.99,140162,"forecast"
"2022-02-28","2022-03-12","2 wk ahead inc case","PL","point",NA,62358,"forecast"
"2022-02-28","2022-03-12","2 wk ahead inc case","PL","quantile",0.01,24065,"forecast"
"2022-02-28","2022-03-12","2 wk ahead inc case","PL","quantile",0.025,28272,"forecast"
"2022-02-28","2022-03-12","2 wk ahead inc case","PL","quantile",0.05,32787,"forecast"
"2022-02-28","2022-03-12","2 wk ahead inc case","PL","quantile",0.1,37421,"forecast"
"2022-02-28","2022-03-12","2 wk ahead inc case","PL","quantile",0.15,39566,"forecast"
