location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc case,2021-01-16,10948,ECDC,2023-11-24
Austria,AT,inc death,2021-01-23,400,ECDC,2023-11-24
Austria,AT,inc case,2021-01-23,10156,ECDC,2023-11-24
Austria,AT,inc death,2021-01-30,369,ECDC,2023-11-24
Austria,AT,inc case,2021-01-30,9513,ECDC,2023-11-24
Austria,AT,inc death,2021-02-06,298,ECDC,2023-11-24
Austria,AT,inc case,2021-02-06,9115,ECDC,2023-11-24
Austria,AT,inc death,2021-02-13,253,ECDC,2023-11-24
Austria,AT,inc case,2021-02-13,9458,ECDC,2023-11-24
Austria,AT,inc death,2021-02-20,218,ECDC,2023-11-24
Austria,AT,inc case,2021-02-20,11627,ECDC,2023-11-24
Austria,AT,inc death,2021-02-27,224,ECDC,2023-11-24
Austria,AT,inc case,2021-02-27,14178,ECDC,2023-11-24
Austria,AT,inc death,2021-03-06,190,ECDC,2023-11-24
Austria,AT,inc case,2021-03-06,16313,ECDC,2023-11-24
Austria,AT,inc death,2021-03-13,214,ECDC,2023-11-24
Austria,AT,inc case,2021-03-13,18218,ECDC,2023-11-24
Austria,AT,inc death,2021-03-20,246,ECDC,2023-11-24
Austria,AT,inc case,2021-03-20,21074,ECDC,2023-11-24
Austria,AT,inc death,2021-03-27,216,ECDC,2023-11-24
Austria,AT,inc case,2021-03-27,22296,ECDC,2023-11-24
Austria,AT,inc death,2021-04-03,271,ECDC,2023-11-24
Austria,AT,inc case,2021-04-03,20779,ECDC,2023-11-24
Austria,AT,inc death,2021-04-10,251,ECDC,2023-11-24
Austria,AT,inc case,2021-04-10,17589,ECDC,2023-11-24
Austria,AT,inc death,2021-04-17,245,ECDC,2023-11-24
Austria,AT,inc case,2021-04-17,16809,ECDC,2023-11-24
Austria,AT,inc death,2021-04-24,200,ECDC,2023-11-24
Austria,AT,inc case,2021-04-24,15046,ECDC,2023-11-24
Austria,AT,inc death,2021-05-01,194,ECDC,2023-11-24
Austria,AT,inc case,2021-05-01,12529,ECDC,2023-11-24
Austria,AT,inc death,2021-05-08,157,ECDC,2023-11-24
Austria,AT,inc case,2021-05-08,9016,ECDC,2023-11-24
Austria,AT,inc death,2021-05-15,105,ECDC,2023-11-24
Austria,AT,inc case,2021-05-15,5736,ECDC,2023-11-24
Austria,AT,inc death,2021-05-22,73,ECDC,2023-11-24
Austria,AT,inc case,2021-05-22,4152,ECDC,2023-11-24
Austria,AT,inc death,2021-05-29,72,ECDC,2023-11-24
Austria,AT,inc case,2021-05-29,3155,ECDC,2023-11-24
Austria,AT,inc death,2021-06-05,48,ECDC,2023-11-24
Austria,AT,inc case,2021-06-05,2423,ECDC,2023-11-24
Austria,AT,inc death,2021-06-12,37,ECDC,2023-11-24
Austria,AT,inc case,2021-06-12,1686,ECDC,2023-11-24
Austria,AT,inc death,2021-06-19,33,ECDC,2023-11-24
Austria,AT,inc case,2021-06-19,1002,ECDC,2023-11-24
Austria,AT,inc death,2021-06-26,19,ECDC,2023-11-24
Austria,AT,inc case,2021-06-26,681,ECDC,2023-11-24
Austria,AT,inc death,2021-07-03,24,ECDC,2023-11-24
Austria,AT,inc case,2021-07-03,632,ECDC,2023-11-24
Austria,AT,inc death,2021-07-10,12,ECDC,2023-11-24
Austria,AT,inc case,2021-07-10,1088,ECDC,2023-11-24
Austria,AT,inc death,2021-07-17,14,ECDC,2023-11-24
Austria,AT,inc case,2021-07-17,2197,ECDC,2023-11-24
Austria,AT,inc death,2021-07-24,16,ECDC,2023-11-24
