location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc case,2020-01-04,0,ECDC,2022-08-26
Austria,AT,inc case,2020-01-11,0,ECDC,2022-08-26
Austria,AT,inc case,2020-01-18,0,ECDC,2022-08-26
Austria,AT,inc case,2020-01-25,0,ECDC,2022-08-26
Austria,AT,inc case,2020-02-01,0,ECDC,2022-08-26
Austria,AT,inc case,2020-02-08,0,ECDC,2022-08-26
Austria,AT,inc case,2020-02-15,0,ECDC,2022-08-26
Austria,AT,inc case,2020-02-22,0,ECDC,2022-08-26
Austria,AT,inc case,2020-02-29,12,ECDC,2022-08-26
Austria,AT,inc case,2020-03-07,114,ECDC,2022-08-26
Austria,AT,inc case,2020-03-14,874,ECDC,2022-08-26
Austria,AT,inc case,2020-03-21,3068,ECDC,2022-08-26
Austria,AT,inc case,2020-03-28,5128,ECDC,2022-08-26
Austria,AT,inc case,2020-04-04,3116,ECDC,2022-08-26
Austria,AT,inc case,2020-04-11,1838,ECDC,2022-08-26
Austria,AT,inc case,2020-04-18,684,ECDC,2022-08-26
Austria,AT,inc case,2020-04-25,448,ECDC,2022-08-26
Austria,AT,inc case,2020-05-02,312,ECDC,2022-08-26
Austria,AT,inc case,2020-05-09,264,ECDC,2022-08-26
Austria,AT,inc case,2020-05-16,335,ECDC,2022-08-26
Austria,AT,inc case,2020-05-23,265,ECDC,2022-08-26
Austria,AT,inc case,2020-05-30,195,ECDC,2022-08-26
Austria,AT,inc case,2020-06-06,227,ECDC,2022-08-26
Austria,AT,inc case,2020-06-13,172,ECDC,2022-08-26
Austria,AT,inc case,2020-06-20,248,ECDC,2022-08-26
Austria,AT,inc case,2020-06-27,335,ECDC,2022-08-26
Austria,AT,inc case,2020-07-04,640,ECDC,2022-08-26
Austria,AT,inc case,2020-07-11,596,ECDC,2022-08-26
Austria,AT,inc case,2020-07-18,784,ECDC,2022-08-26
Austria,AT,inc case,2020-07-25,872,ECDC,2022-08-26
Austria,AT,inc case,2020-08-01,794,ECDC,2022-08-26
Austria,AT,inc case,2020-08-08,722,ECDC,2022-08-26
Austria,AT,inc case,2020-08-15,1462,ECDC,2022-08-26
Austria,AT,inc case,2020-08-22,1907,ECDC,2022-08-26
Austria,AT,inc case,2020-08-29,1941,ECDC,2022-08-26
Austria,AT,inc case,2020-09-05,2268,ECDC,2022-08-26
Austria,AT,inc case,2020-09-12,3997,ECDC,2022-08-26
Austria,AT,inc case,2020-09-19,5211,ECDC,2022-08-26
Austria,AT,inc case,2020-09-26,4656,ECDC,2022-08-26
Austria,AT,inc case,2020-10-03,5597,ECDC,2022-08-26
Austria,AT,inc case,2020-10-10,7486,ECDC,2022-08-26
Austria,AT,inc case,2020-10-17,9903,ECDC,2022-08-26
Austria,AT,inc case,2020-10-24,18273,ECDC,2022-08-26
Austria,AT,inc case,2020-10-31,31613,ECDC,2022-08-26
Austria,AT,inc case,2020-11-07,44758,ECDC,2022-08-26
Austria,AT,inc case,2020-11-14,47880,ECDC,2022-08-26
Austria,AT,inc case,2020-11-21,40742,ECDC,2022-08-26
Austria,AT,inc case,2020-11-28,31162,ECDC,2022-08-26
Austria,AT,inc case,2020-12-05,23078,ECDC,2022-08-26
Austria,AT,inc case,2020-12-12,18701,ECDC,2022-08-26
Austria,AT,inc case,2020-12-19,14864,ECDC,2022-08-26
Austria,AT,inc case,2020-12-26,13340,ECDC,2022-08-26
Austria,AT,inc case,2021-01-02,14894,ECDC,2022-08-26
Austria,AT,inc case,2021-01-09,14633,ECDC,2022-08-26
Austria,AT,inc case,2021-01-16,10946,ECDC,2022-08-26
Austria,AT,inc case,2021-01-23,10165,ECDC,2022-08-26
Austria,AT,inc case,2021-01-30,9513,ECDC,2022-08-26
Austria,AT,inc case,2021-02-06,9119,ECDC,2022-08-26
Austria,AT,inc case,2021-02-13,9457,ECDC,2022-08-26
Austria,AT,inc case,2021-02-20,11635,ECDC,2022-08-26
Austria,AT,inc case,2021-02-27,14195,ECDC,2022-08-26
Austria,AT,inc case,2021-03-06,16324,ECDC,2022-08-26
Austria,AT,inc case,2021-03-13,18225,ECDC,2022-08-26
Austria,AT,inc case,2021-03-20,21094,ECDC,2022-08-26
Austria,AT,inc case,2021-03-27,22326,ECDC,2022-08-26
Austria,AT,inc case,2021-04-03,20788,ECDC,2022-08-26
Austria,AT,inc case,2021-04-10,17616,ECDC,2022-08-26
Austria,AT,inc case,2021-04-17,16822,ECDC,2022-08-26
Austria,AT,inc case,2021-04-24,15048,ECDC,2022-08-26
Austria,AT,inc case,2021-05-01,12537,ECDC,2022-08-26
Austria,AT,inc case,2021-05-08,9021,ECDC,2022-08-26
Austria,AT,inc case,2021-05-15,5736,ECDC,2022-08-26
Austria,AT,inc case,2021-05-22,4156,ECDC,2022-08-26
Austria,AT,inc case,2021-05-29,3160,ECDC,2022-08-26
Austria,AT,inc case,2021-06-05,2424,ECDC,2022-08-26
Austria,AT,inc case,2021-06-12,1685,ECDC,2022-08-26
Austria,AT,inc case,2021-06-19,1002,ECDC,2022-08-26
Austria,AT,inc case,2021-06-26,679,ECDC,2022-08-26
Austria,AT,inc case,2021-07-03,633,ECDC,2022-08-26
Austria,AT,inc case,2021-07-10,1093,ECDC,2022-08-26
Austria,AT,inc case,2021-07-17,2193,ECDC,2022-08-26
Austria,AT,inc case,2021-07-24,2533,ECDC,2022-08-26
Austria,AT,inc case,2021-07-31,3251,ECDC,2022-08-26
Austria,AT,inc case,2021-08-07,3667,ECDC,2022-08-26
Austria,AT,inc case,2021-08-14,5901,ECDC,2022-08-26
Austria,AT,inc case,2021-08-21,8065,ECDC,2022-08-26
Austria,AT,inc case,2021-08-28,9436,ECDC,2022-08-26
Austria,AT,inc case,2021-09-04,11306,ECDC,2022-08-26
Austria,AT,inc case,2021-09-11,14060,ECDC,2022-08-26
Austria,AT,inc case,2021-09-18,13748,ECDC,2022-08-26
Austria,AT,inc case,2021-09-25,11763,ECDC,2022-08-26
Austria,AT,inc case,2021-10-02,12594,ECDC,2022-08-26
Austria,AT,inc case,2021-10-09,12784,ECDC,2022-08-26
Austria,AT,inc case,2021-10-16,15360,ECDC,2022-08-26
Austria,AT,inc case,2021-10-23,23855,ECDC,2022-08-26
Austria,AT,inc case,2021-10-30,34574,ECDC,2022-08-26
Austria,AT,inc case,2021-11-06,56501,ECDC,2022-08-26
Austria,AT,inc case,2021-11-13,78822,ECDC,2022-08-26
Austria,AT,inc case,2021-11-20,97281,ECDC,2022-08-26
Austria,AT,inc case,2021-11-27,82683,ECDC,2022-08-26
Austria,AT,inc case,2021-12-04,50887,ECDC,2022-08-26
Austria,AT,inc case,2021-12-11,29305,ECDC,2022-08-26
Austria,AT,inc case,2021-12-18,18860,ECDC,2022-08-26
Austria,AT,inc case,2021-12-25,14638,ECDC,2022-08-26
Austria,AT,inc case,2022-01-01,23126,ECDC,2022-08-26
Austria,AT,inc case,2022-01-08,62443,ECDC,2022-08-26
Austria,AT,inc case,2022-01-15,111045,ECDC,2022-08-26
Austria,AT,inc case,2022-01-22,176107,ECDC,2022-08-26
Austria,AT,inc case,2022-01-29,226989,ECDC,2022-08-26
Austria,AT,inc case,2022-02-05,231394,ECDC,2022-08-26
Austria,AT,inc case,2022-02-12,216500,ECDC,2022-08-26
Austria,AT,inc case,2022-02-19,195946,ECDC,2022-08-26
Austria,AT,inc case,2022-02-26,185634,ECDC,2022-08-26
Austria,AT,inc case,2022-03-05,217174,ECDC,2022-08-26
Austria,AT,inc case,2022-03-12,299437,ECDC,2022-08-26
Austria,AT,inc case,2022-03-19,316254,ECDC,2022-08-26
Austria,AT,inc case,2022-03-26,248260,ECDC,2022-08-26
Austria,AT,inc case,2022-04-02,151741,ECDC,2022-08-26
Austria,AT,inc case,2022-04-09,96640,ECDC,2022-08-26
Austria,AT,inc case,2022-04-16,63351,ECDC,2022-08-26
Austria,AT,inc case,2022-04-23,49043,ECDC,2022-08-26
Austria,AT,inc case,2022-04-30,40387,ECDC,2022-08-26
Austria,AT,inc case,2022-05-07,36973,ECDC,2022-08-26
Austria,AT,inc case,2022-05-14,29760,ECDC,2022-08-26
Austria,AT,inc case,2022-05-21,20279,ECDC,2022-08-26
Austria,AT,inc case,2022-05-28,15305,ECDC,2022-08-26
Austria,AT,inc case,2022-06-04,19526,ECDC,2022-08-26
