weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc hosp,4,Overall,1,1,1,0.72,1,-0.5,18,3,NA
10,EuroCOVIDhub-ensemble,inc hosp,4,Overall,0.74,0.96,0.98,0.79,1,-0.37,14,3,NA
10,epiforecasts-tsensemble,inc hosp,4,Overall,0.77,0.89,0.84,0.24,0.65,-0.7,17,3,NA
10,epiforecasts-weeklygrowth,inc hosp,4,Overall,0.61,1.43,1.43,0.73,1,-0.25,11,2,NA
10,fjordhest-ensemble,inc hosp,4,Overall,0.89,0.98,1.01,0.5,1,-0.52,12,2,NA
10,EuroCOVIDhub-baseline,inc hosp,3,Overall,1,1,1,0.83,1,-0.47,18,3,NA
10,EuroCOVIDhub-ensemble,inc hosp,3,Overall,0.77,0.93,0.91,0.93,1,-0.31,14,3,NA
10,epiforecasts-tsensemble,inc hosp,3,Overall,0.79,0.85,0.79,0.29,0.71,-0.68,17,3,NA
10,epiforecasts-weeklygrowth,inc hosp,3,Overall,0.81,1.54,1.61,0.93,1,-0.07,14,3,NA
10,fjordhest-ensemble,inc hosp,3,Overall,0.87,0.93,0.98,0.5,1,-0.49,12,2,NA
10,EuroCOVIDhub-baseline,inc hosp,2,Overall,1,1,1,0.89,1,-0.43,18,3,NA
10,EuroCOVIDhub-ensemble,inc hosp,2,Overall,0.74,0.89,0.87,0.86,1,-0.24,14,3,NA
10,epiforecasts-tsensemble,inc hosp,2,Overall,0.77,0.74,0.7,0.35,0.88,-0.56,17,3,NA
10,epiforecasts-weeklygrowth,inc hosp,2,Overall,0.74,1.51,1.58,1,1,-0.04,18,3,NA
10,fjordhest-ensemble,inc hosp,2,Overall,0.82,0.88,0.91,0.58,1,-0.45,12,2,NA
10,EuroCOVIDhub-baseline,inc hosp,1,Overall,1,1,1,0.89,1,-0.38,18,3,NA
10,EuroCOVIDhub-ensemble,inc hosp,1,Overall,0.88,0.91,0.93,0.77,1,-0.17,13,3,NA
