weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,epiforecasts-EpiNow2,inc hosp,1,Overall,0.83,0.83,0.83,0.53,0.91,0.04,109,14,NA
10,epiforecasts-tsensemble,inc hosp,1,Overall,1.05,0.96,0.96,0.42,0.83,0.2,125,14,NA
10,EuroCOVIDhub-baseline,inc hosp,4,Overall,1,1,1,0.7,1,0.17,115,14,NA
10,EuroCOVIDhub-ensemble,inc hosp,4,Overall,0.81,0.72,0.74,0.59,0.98,0.21,102,14,NA
10,epiforecasts-EpiNow2,inc hosp,4,Overall,0.67,0.7,0.7,0.46,0.82,0.23,68,14,NA
10,epiforecasts-tsensemble,inc hosp,4,Overall,1.04,0.93,0.91,0.36,0.84,0.23,98,14,NA
10,epiforecasts-weeklygrowth,inc hosp,4,Overall,0.77,0.82,0.82,0.65,1,0.17,68,14,NA
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,1,0.33,1,0.71,9,1,Austria
10,EuroCOVIDhub-ensemble,inc case,1,AT,0.72,0.73,0.76,0.44,1,0.58,9,1,Austria
10,epiforecasts-tsensemble,inc case,1,AT,0.88,0.95,0.94,0.57,0.57,0.33,7,1,Austria
10,epiforecasts-weeklygrowth,inc case,1,AT,0.58,0.57,0.56,0.43,1,0.57,7,1,Austria
10,fjordhest-ensemble,inc case,1,AT,0.82,0.74,0.72,0.38,0.88,0.46,8,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,1,0.38,1,0.65,8,1,Austria
10,EuroCOVIDhub-ensemble,inc case,2,AT,0.77,0.78,0.8,0.38,1,0.64,8,1,Austria
10,epiforecasts-tsensemble,inc case,2,AT,0.94,1,1.01,0.5,0.5,0.4,6,1,Austria
10,epiforecasts-weeklygrowth,inc case,2,AT,0.55,0.59,0.59,0.5,1,0.57,6,1,Austria
10,fjordhest-ensemble,inc case,2,AT,0.9,0.87,0.83,0.14,0.86,0.61,7,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,1,0.29,1,0.64,7,1,Austria
10,EuroCOVIDhub-ensemble,inc case,3,AT,0.8,0.82,0.84,0.29,1,0.69,7,1,Austria
10,epiforecasts-tsensemble,inc case,3,AT,0.91,1.04,1.05,0.4,0.4,0.48,5,1,Austria
10,epiforecasts-weeklygrowth,inc case,3,AT,0.55,0.63,0.63,0.4,1,0.6,5,1,Austria
10,fjordhest-ensemble,inc case,3,AT,0.85,0.92,0.88,0.17,0.83,0.68,6,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,1,0.17,1,0.65,6,1,Austria
10,EuroCOVIDhub-ensemble,inc case,4,AT,0.87,0.88,0.9,0.17,1,0.73,6,1,Austria
10,epiforecasts-tsensemble,inc case,4,AT,1.01,1.15,1.16,0.25,0.25,0.68,4,1,Austria
10,epiforecasts-weeklygrowth,inc case,4,AT,0.57,0.68,0.69,0.25,1,0.68,4,1,Austria
10,fjordhest-ensemble,inc case,4,AT,0.81,0.95,0.91,0.4,0.8,0.7,5,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,1,1,1,0.21,8,1,Austria
10,EuroCOVIDhub-ensemble,inc death,1,AT,0.66,0.68,0.69,0.88,1,0.06,8,1,Austria
10,fjordhest-ensemble,inc death,1,AT,0.74,0.52,0.51,0.57,1,-0.41,7,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,1,1,1,0.21,7,1,Austria
10,EuroCOVIDhub-ensemble,inc death,2,AT,0.58,0.66,0.68,1,1,0.09,7,1,Austria
10,fjordhest-ensemble,inc death,2,AT,0.53,0.45,0.44,0.67,1,-0.13,6,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,1,1,1,0.23,6,1,Austria
10,EuroCOVIDhub-ensemble,inc death,3,AT,0.56,0.63,0.65,1,1,0.13,6,1,Austria
10,fjordhest-ensemble,inc death,3,AT,0.24,0.26,0.25,1,1,-0.16,5,1,Austria
10,EuroCOVIDhub-baseline,inc death,4,AT,1,1,1,1,1,0.24,5,1,Austria
10,EuroCOVIDhub-ensemble,inc death,4,AT,0.48,0.63,0.66,1,1,0.16,5,1,Austria
10,fjordhest-ensemble,inc death,4,AT,0.34,0.32,0.31,1,1,-0.1,4,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,1,0.88,1,0.3,8,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,1,BE,0.77,0.6,0.64,0.75,1,0.34,8,1,Belgium
10,epiforecasts-tsensemble,inc case,1,BE,1.07,0.98,0.95,0.14,0.43,0.83,7,1,Belgium
10,epiforecasts-weeklygrowth,inc case,1,BE,0.72,0.73,0.71,0.57,1,0.49,7,1,Belgium
10,EuroCOVIDhub-baseline,inc case,2,BE,1,1,1,1,1,0.27,7,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,2,BE,0.76,0.62,0.65,0.71,1,0.39,7,1,Belgium
10,epiforecasts-tsensemble,inc case,2,BE,1.1,1.04,1.01,0.17,0.33,0.87,6,1,Belgium
10,epiforecasts-weeklygrowth,inc case,2,BE,0.73,0.83,0.81,0.67,1,0.5,6,1,Belgium
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,1,1,1,0.27,6,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,3,BE,0.79,0.64,0.67,0.5,1,0.47,6,1,Belgium
10,epiforecasts-EpiNow2,inc case,3,BE,0.44,0.38,0.37,0.4,1,0.58,5,1,Belgium
10,epiforecasts-tsensemble,inc case,3,BE,1.07,1.07,1.05,0,0.2,0.92,5,1,Belgium
10,epiforecasts-weeklygrowth,inc case,3,BE,0.78,1.02,1,0.4,1,0.58,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,1,1,1,0.28,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,4,BE,0.79,0.61,0.66,0.4,1,0.5,5,1,Belgium
10,epiforecasts-EpiNow2,inc case,4,BE,0.41,0.34,0.33,0.25,1,0.6,4,1,Belgium
10,epiforecasts-tsensemble,inc case,4,BE,1.21,1.23,1.2,0,0,1,4,1,Belgium
10,epiforecasts-weeklygrowth,inc case,4,BE,0.87,1.3,1.27,0.25,1,0.62,4,1,Belgium
10,EuroCOVIDhub-baseline,inc death,1,BE,1,1,1,1,1,0.2,6,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,1,BE,0.62,0.74,0.74,1,1,0.15,6,1,Belgium
10,EuroCOVIDhub-baseline,inc death,2,BE,1,1,1,1,1,0.2,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,2,BE,0.68,0.85,0.85,1,1,0.16,5,1,Belgium
10,EuroCOVIDhub-baseline,inc death,3,BE,1,1,1,1,1,0.22,4,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,3,BE,0.76,0.85,0.85,1,1,0.22,4,1,Belgium
10,EuroCOVIDhub-baseline,inc hosp,3,BE,1,1,1,0.3,1,0.38,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc hosp,3,BE,0.86,0.87,0.86,0.56,1,0.54,9,1,Belgium
10,epiforecasts-EpiNow2,inc hosp,3,BE,1.06,1.28,1.29,0.5,0.67,0.35,6,1,Belgium
10,epiforecasts-tsensemble,inc hosp,3,BE,1.04,1.09,1.07,0.5,0.88,0.61,8,1,Belgium
10,epiforecasts-weeklygrowth,inc hosp,3,BE,0.63,0.71,0.72,0.5,1,0.42,6,1,Belgium
10,EuroCOVIDhub-baseline,inc hosp,2,BE,1,1,1,0.3,1,0.41,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc hosp,2,BE,0.84,0.83,0.8,0.5,1,0.38,10,1,Belgium
10,epiforecasts-EpiNow2,inc hosp,2,BE,0.99,1.21,1.24,0.57,0.86,0.2,7,1,Belgium
10,epiforecasts-tsensemble,inc hosp,2,BE,1.07,1.05,1.02,0.44,0.89,0.38,9,1,Belgium
10,epiforecasts-weeklygrowth,inc hosp,2,BE,0.61,0.65,0.67,0.57,1,0.36,7,1,Belgium
10,EuroCOVIDhub-baseline,inc hosp,1,BE,1,1,1,0.2,1,0.48,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc hosp,1,BE,0.86,0.85,0.84,0.4,1,0.25,10,1,Belgium
10,epiforecasts-EpiNow2,inc hosp,1,BE,1.18,1.37,1.38,0.5,0.75,0.06,8,1,Belgium
10,epiforecasts-tsensemble,inc hosp,1,BE,1.09,1.07,1.07,0.22,1,0.33,9,1,Belgium
10,EuroCOVIDhub-baseline,inc hosp,4,BE,1,1,1,0.44,1,0.49,9,1,Belgium
