weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.45,0.91,-0.3,269,30,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.43,1.51,0.34,0.78,-0.25,269,30,NA
10,IEM_Health-CovidProject,inc case,4,Overall,1.46,1.7,0.2,0.51,-0.32,264,29,NA
10,ILM-EKF,inc case,4,Overall,4.21,5.22,0.21,0.59,-0.2,268,30,NA
10,Karlen-pypm,inc case,4,Overall,3.73,4.72,0.28,0.65,0.14,172,28,NA
10,LANL-GrowthRate,inc case,4,Overall,1.1,1.22,0.24,0.63,-0.45,269,30,NA
10,MUNI-ARIMA,inc case,4,Overall,1.08,1.12,0.52,0.91,-0.25,269,30,NA
10,RobertWalraven-ESG,inc case,4,Overall,1.02,1.28,0.16,0.41,-0.61,269,30,NA
10,USC-SIkJalpha,inc case,4,Overall,3.12,4.32,0.1,0.17,-0.5,269,30,NA
10,UVA-Ensemble,inc case,4,Overall,1.52,NA,0.16,0.45,NA,269,30,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,2.12,2.34,0.41,0.7,-0.2,269,30,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.45,0.92,-0.26,271,30,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,1.16,1.17,0.36,0.82,-0.18,271,30,NA
10,IEM_Health-CovidProject,inc case,3,Overall,1.31,1.49,0.22,0.57,-0.19,265,29,NA
10,ILM-EKF,inc case,3,Overall,2.2,2.46,0.26,0.63,-0.11,270,30,NA
10,Karlen-pypm,inc case,3,Overall,2.13,2.5,0.28,0.71,0.13,198,28,NA
10,LANL-GrowthRate,inc case,3,Overall,1.05,1.13,0.3,0.69,-0.39,271,30,NA
10,MUNI-ARIMA,inc case,3,Overall,1,1.06,0.56,0.93,-0.18,271,30,NA
10,RobertWalraven-ESG,inc case,3,Overall,1.01,1.26,0.17,0.45,-0.53,271,30,NA
10,USC-SIkJalpha,inc case,3,Overall,2.38,3.1,0.09,0.24,-0.38,271,30,NA
10,UVA-Ensemble,inc case,3,Overall,1.88,NA,0.28,0.66,NA,271,30,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,1.77,1.89,0.45,0.8,-0.13,271,30,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.45,0.93,-0.24,274,30,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,1,0.99,0.47,0.89,-0.12,274,30,NA
10,IEM_Health-CovidProject,inc case,2,Overall,1.22,1.29,0.23,0.66,-0.06,267,29,NA
10,ILM-EKF,inc case,2,Overall,1.72,1.95,0.35,0.7,-0.04,274,30,NA
10,Karlen-pypm,inc case,2,Overall,1.79,1.99,0.39,0.79,0.14,223,28,NA
10,LANL-GrowthRate,inc case,2,Overall,1.01,1.01,0.41,0.84,-0.31,274,30,NA
10,MUNI-ARIMA,inc case,2,Overall,0.93,0.98,0.62,0.94,-0.11,274,30,NA
10,RobertWalraven-ESG,inc case,2,Overall,0.99,1.2,0.24,0.52,-0.45,274,30,NA
10,USC-SIkJalpha,inc case,2,Overall,1.78,2.27,0.12,0.31,-0.27,274,30,NA
10,UVA-Ensemble,inc case,2,Overall,2.34,NA,0.3,0.8,NA,274,30,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.63,1.72,0.5,0.88,-0.04,274,30,NA
10,BIOCOMSC-Gompertz,inc case,1,Overall,0.89,NA,0.68,1,NA,165,30,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.39,0.96,-0.23,274,30,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.89,0.81,0.54,0.95,-0.08,274,30,NA
10,IEM_Health-CovidProject,inc case,1,Overall,1.13,1.06,0.34,0.82,0.02,266,29,NA
10,ILM-EKF,inc case,1,Overall,1.24,1.27,0.41,0.79,-0.02,274,30,NA
10,Karlen-pypm,inc case,1,Overall,1.32,1.27,0.56,0.94,0.12,247,28,NA
10,LANL-GrowthRate,inc case,1,Overall,0.89,0.86,0.49,0.94,-0.37,274,30,NA
10,MUNI-ARIMA,inc case,1,Overall,0.84,0.9,0.62,0.95,-0.07,274,30,NA
10,RobertWalraven-ESG,inc case,1,Overall,1.11,1.19,0.34,0.68,-0.3,274,30,NA
10,SDSC_ISG-TrendModel,inc case,1,Overall,0.74,NA,NA,NA,NA,274,30,NA
10,USC-SIkJalpha,inc case,1,Overall,1.44,1.63,0.19,0.61,-0.16,274,30,NA
10,UVA-Ensemble,inc case,1,Overall,3.64,NA,0.31,0.76,NA,274,30,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.32,1.28,0.59,0.93,-0.01,274,30,NA
10,LANL-GrowthRate,inc case,5,Overall,NA,NA,0.22,0.58,-0.49,265,31,NA
10,USC-SIkJalpha,inc case,5,Overall,NA,NA,0.09,0.15,-0.6,265,31,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.88,0.99,-0.1,281,31,NA
10,EuroCOVIDhub-ensemble,inc death,4,Overall,0.64,0.55,0.63,0.95,-0.09,281,31,NA
10,IEM_Health-CovidProject,inc death,4,Overall,0.88,0.77,0.36,0.8,-0.22,270,30,NA
10,ILM-EKF,inc death,4,Overall,1.01,1,0.69,0.96,-0.05,280,31,NA
10,Karlen-pypm,inc death,4,Overall,1.47,1.11,0.27,0.83,-0.07,169,28,NA
10,LANL-GrowthRate,inc death,4,Overall,0.68,0.64,0.27,0.65,-0.26,281,31,NA
10,MUNI-ARIMA,inc death,4,Overall,0.89,0.79,0.68,0.96,-0.21,281,31,NA
10,RobertWalraven-ESG,inc death,4,Overall,0.9,0.82,0.63,0.82,-0.33,281,31,NA
10,UMass-MechBayes,inc death,4,Overall,1.31,1.24,0.41,0.83,-0.07,281,31,NA
10,USC-SIkJalpha,inc death,4,Overall,0.76,0.81,0.29,0.44,-0.15,281,31,NA
