weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,ECDC-norrsken_blue,inc case,3,Overall,0.93,0.84,0.84,0.46,0.9,0.59,97,21,NA
10,ECDC-norrsken_green,inc case,3,Overall,0.85,0.82,0.81,0.14,0.51,0.74,97,21,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,0.86,1,0.3,109,22,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.84,0.7,0.7,0.3,0.85,0.64,100,22,NA
10,Lydia-SARIMA,inc case,3,Overall,1.49,1.64,1.65,1,1,0.19,109,22,NA
10,Lydia-simpleARIMA,inc case,3,Overall,1.45,1.62,1.64,1,1,0.18,109,22,NA
10,ECDC-norrsken_blue,inc case,2,Overall,0.68,0.65,0.66,0.55,0.93,0.5,98,22,NA
10,ECDC-norrsken_green,inc case,2,Overall,0.63,0.62,0.63,0.14,0.55,0.77,98,22,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,0.87,1,0.33,109,22,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.71,0.59,0.6,0.4,0.88,0.58,101,22,NA
10,Lydia-SARIMA,inc case,2,Overall,1.57,1.71,1.74,1,1,0.17,109,22,NA
10,Lydia-simpleARIMA,inc case,2,Overall,1.54,1.71,1.73,1,1,0.17,109,22,NA
10,fjordhest-ensemble,inc case,2,Overall,0.8,0.72,0.67,0.25,0.77,0.7,52,13,NA
10,ECDC-norrsken_blue,inc case,1,Overall,0.47,0.48,0.46,0.62,0.98,0.44,101,22,NA
10,ECDC-norrsken_green,inc case,1,Overall,0.47,0.48,0.46,0.16,0.51,0.78,101,22,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,1,0.67,1,0.41,109,22,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.58,0.5,0.48,0.4,0.94,0.54,103,22,NA
10,Lydia-SARIMA,inc case,1,Overall,1.52,1.72,1.8,1,1,0.15,100,22,NA
10,Lydia-simpleARIMA,inc case,1,Overall,1.49,1.71,1.79,1,1,0.15,100,22,NA
10,epiforecasts-tsensemble,inc case,1,Overall,1.29,1.28,1.27,0.31,0.87,0.62,77,20,NA
10,fjordhest-ensemble,inc case,1,Overall,0.69,0.66,0.68,0.31,0.83,0.63,65,13,NA
10,ECDC-norrsken_blue,inc case,4,Overall,1.11,0.99,0.99,0.32,0.87,0.69,78,22,NA
10,ECDC-norrsken_green,inc case,4,Overall,1,0.98,0.98,0.13,0.47,0.76,78,22,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,0.88,1,0.28,88,22,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,0.93,0.78,0.78,0.2,0.84,0.67,80,22,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,1,0.8,1,0.08,90,18,NA
10,Lydia-SARIMA,inc death,3,Overall,1.52,1.56,1.56,0.84,1,0.19,90,18,NA
10,Lydia-simpleARIMA,inc death,3,Overall,1.52,1.56,1.56,0.86,1,0.19,90,18,NA
10,ECDC-norrsken_green,inc hosp,3,Overall,1.68,2.02,1.61,0,0,1,7,2,NA
10,EuroCOVIDhub-baseline,inc hosp,3,Overall,1,1,1,0.17,0.89,0.74,18,3,NA
10,Lydia-SARIMA,inc hosp,3,Overall,1.64,1.62,1.82,0.11,0.72,0.82,18,3,NA
10,Lydia-simpleARIMA,inc hosp,3,Overall,1.64,1.62,1.82,0.11,0.72,0.82,18,3,NA
10,ECDC-norrsken_green,inc hosp,1,Overall,1.47,1.89,1.54,0,0.14,0.99,7,2,NA
10,EuroCOVIDhub-baseline,inc hosp,1,Overall,1,1,1,0.33,1,0.66,18,3,NA
10,EuroCOVIDhub-ensemble,inc hosp,1,Overall,1.13,1.33,1.33,0.67,1,0.47,9,2,NA
10,Lydia-SARIMA,inc hosp,1,Overall,1.9,2.05,2.37,0.27,0.6,0.8,15,3,NA
10,Lydia-simpleARIMA,inc hosp,1,Overall,1.9,2.04,2.36,0.27,0.6,0.79,15,3,NA
10,epiforecasts-tsensemble,inc hosp,1,Overall,1.18,1.27,1.17,0.4,0.8,0.59,15,3,NA
10,ECDC-norrsken_green,inc hosp,2,Overall,1.46,1.77,1.46,0,0.29,0.97,7,2,NA
10,EuroCOVIDhub-baseline,inc hosp,2,Overall,1,1,1,0.22,0.94,0.69,18,3,NA
10,EuroCOVIDhub-ensemble,inc hosp,2,Overall,1.2,1.31,1.19,0.44,0.89,0.62,9,2,NA
10,Lydia-SARIMA,inc hosp,2,Overall,1.72,1.74,2,0.18,0.59,0.82,17,3,NA
10,Lydia-simpleARIMA,inc hosp,2,Overall,1.72,1.74,2,0.18,0.65,0.81,17,3,NA
10,epiforecasts-tsensemble,inc hosp,2,Overall,1.17,1.29,1.29,0.21,0.64,0.76,14,3,NA
10,ECDC-norrsken_green,inc hosp,4,Overall,1.48,1.73,1.73,0,0,1,5,2,NA
10,EuroCOVIDhub-baseline,inc hosp,4,Overall,1,1,1,0.07,0.87,0.77,15,3,NA
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,1,1,1,0.26,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,3,BE,1.24,0.81,0.81,0.2,1,0.72,5,1,Belgium
10,Lydia-SARIMA,inc case,3,BE,4.95,3.25,3.25,1,1,0.22,5,1,Belgium
10,Lydia-simpleARIMA,inc case,3,BE,4.9,3.24,3.24,1,1,0.24,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,2,BE,1,1,1,1,1,0.32,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,2,BE,1.16,0.78,0.78,0.4,1,0.62,5,1,Belgium
10,Lydia-SARIMA,inc case,2,BE,5.18,3.91,3.91,1,1,0.2,5,1,Belgium
10,Lydia-simpleARIMA,inc case,2,BE,5.09,3.88,3.88,1,1,0.2,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,1,1,1,0.42,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,1,BE,1.04,0.76,0.76,0.2,1,0.62,5,1,Belgium
10,Lydia-SARIMA,inc case,1,BE,4.38,4.96,4.92,1,1,0.18,5,1,Belgium
10,Lydia-simpleARIMA,inc case,1,BE,4.32,4.94,4.9,1,1,0.18,5,1,Belgium
10,epiforecasts-tsensemble,inc case,1,BE,1.1,0.65,0.66,0,1,0.7,4,1,Belgium
10,ECDC-norrsken_blue,inc case,4,BE,1.85,0.96,0.96,0.5,1,0.68,4,1,Belgium
10,ECDC-norrsken_green,inc case,4,BE,1.87,0.94,0.94,0,0.5,0.95,4,1,Belgium
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,1,1,1,0.2,4,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,4,BE,1.36,0.76,0.76,0.25,1,0.7,4,1,Belgium
10,ECDC-norrsken_blue,inc case,3,BG,1.81,1.13,1.13,0.4,1,0.58,5,1,Bulgaria
10,ECDC-norrsken_green,inc case,3,BG,0.85,0.61,0.61,0.4,0.6,0.56,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,3,BG,1,1,1,1,1,0.28,5,1,Bulgaria
