weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,ECDC-norrsken_blue,inc case,4,Overall,1.19,0.55,0.52,0.47,0.98,0.51,107,22,NA
10,ECDC-norrsken_green,inc case,4,Overall,0.79,0.34,0.32,0.21,0.64,0.57,107,22,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,0.93,1,0.19,124,25,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,0.69,0.29,0.27,0.69,0.95,0.38,108,22,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,0.23,0.1,0.11,0.45,0.76,0.01,99,24,NA
10,epiforecasts-tsensemble,inc case,4,Overall,1.04,0.41,0.4,0.62,0.94,0.24,104,22,NA
10,fjordhest-ensemble,inc case,4,Overall,0.42,0.2,0.21,0.51,0.95,0.53,65,13,NA
10,ECDC-norrsken_blue,inc case,3,Overall,1.14,0.48,0.41,0.63,0.99,0.37,107,22,NA
10,ECDC-norrsken_green,inc case,3,Overall,0.94,0.36,0.28,0.33,0.66,0.43,107,22,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,0.93,1,0.2,122,25,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.68,0.27,0.23,0.83,0.96,0.28,107,22,NA
10,Lydia-SARIMA,inc case,3,Overall,4.25,2.66,3.44,1,1,0.14,78,18,NA
10,Lydia-simpleARIMA,inc case,3,Overall,4.26,2.66,3.44,1,1,0.14,78,18,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,0.28,0.11,0.12,0.54,0.75,-0.1,95,23,NA
10,epiforecasts-tsensemble,inc case,3,Overall,0.93,0.35,0.33,0.76,0.95,0.14,104,22,NA
10,fjordhest-ensemble,inc case,3,Overall,0.45,0.2,0.19,0.68,0.98,0.41,65,13,NA
10,ECDC-norrsken_blue,inc case,2,Overall,0.83,0.34,0.32,0.74,0.99,0.22,107,22,NA
10,ECDC-norrsken_green,inc case,2,Overall,0.71,0.23,0.22,0.37,0.72,0.26,107,22,NA
10,ECDC-soca_simplex,inc case,2,Overall,1.08,0.35,0.23,0.1,0.31,0.82,77,21,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,0.93,1,0.21,120,25,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.51,0.2,0.19,0.86,0.98,0.2,107,22,NA
10,Lydia-SARIMA,inc case,2,Overall,4.77,2.91,4.28,1,1,0.13,81,18,NA
