weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,epiforecasts-tsensemble,inc hosp,1,Overall,NA,1.09,0.97,0.98,0.54,0.92,-0.1,26,1
52,ECDC-norrsken_green,inc hosp,2,Overall,NA,1.23,1.16,1.12,0.24,0.59,0.74,17,1
52,EuroCOVIDhub-baseline,inc hosp,2,Overall,NA,1,1,1,0.8,1,-0.02,30,1
52,EuroCOVIDhub-ensemble,inc hosp,2,Overall,NA,0.99,0.87,0.88,0.7,1,0.06,27,1
52,epiforecasts-tsensemble,inc hosp,2,Overall,NA,1.07,0.98,1,0.5,0.92,-0.1,26,1
52,ECDC-norrsken_green,inc hosp,3,Overall,NA,1.22,1.14,1.11,0.29,0.53,0.72,17,1
52,EuroCOVIDhub-baseline,inc hosp,3,Overall,NA,1,1,1,0.8,1,0,30,1
52,EuroCOVIDhub-ensemble,inc hosp,3,Overall,NA,1.01,0.88,0.9,0.78,1,0.09,27,1
52,epiforecasts-tsensemble,inc hosp,3,Overall,NA,1.12,1.02,1.04,0.58,0.85,-0.08,26,1
52,ECDC-norrsken_green,inc hosp,4,Overall,NA,1.22,1.16,1.1,0.29,0.47,0.68,17,1
52,EuroCOVIDhub-baseline,inc hosp,4,Overall,NA,1,1,1,0.7,1,-0,30,1
52,EuroCOVIDhub-ensemble,inc hosp,4,Overall,NA,0.99,0.88,0.89,0.74,1,0.07,27,1
52,epiforecasts-tsensemble,inc hosp,4,Overall,NA,1.1,1.04,1.07,0.5,0.81,-0.08,26,1
52,ECDC-norrsken_blue,inc case,1,BE,Belgium,1.33,0.67,0.68,0.41,1,0.13,17,1
52,ECDC-norrsken_green,inc case,1,BE,Belgium,1.28,0.64,0.66,0.18,0.71,0.32,17,1
52,EuroCOVIDhub-baseline,inc case,1,BE,Belgium,1,1,1,0.97,1,0.18,30,1
52,EuroCOVIDhub-ensemble,inc case,1,BE,Belgium,0.99,0.54,0.54,0.73,1,0.28,26,1
52,epiforecasts-tsensemble,inc case,1,BE,Belgium,1.05,0.43,0.42,0.52,0.92,0.37,25,1
52,ECDC-norrsken_blue,inc case,2,BE,Belgium,1.36,0.55,0.53,0.47,1,0.09,17,1
52,ECDC-norrsken_green,inc case,2,BE,Belgium,1.31,0.5,0.49,0.12,0.59,0.24,17,1
52,EuroCOVIDhub-baseline,inc case,2,BE,Belgium,1,1,1,1,1,0.1,30,1
52,EuroCOVIDhub-ensemble,inc case,2,BE,Belgium,1.02,0.46,0.48,0.77,1,0.26,26,1
52,epiforecasts-tsensemble,inc case,2,BE,Belgium,1.06,0.34,0.35,0.52,0.96,0.33,25,1
52,ECDC-norrsken_blue,inc case,3,BE,Belgium,1.43,0.5,0.47,0.59,1,0.11,17,1
52,ECDC-norrsken_green,inc case,3,BE,Belgium,1.36,0.44,0.42,0.18,0.59,0.19,17,1
52,EuroCOVIDhub-baseline,inc case,3,BE,Belgium,1,1,1,1,1,0.08,30,1
52,EuroCOVIDhub-ensemble,inc case,3,BE,Belgium,1.05,0.42,0.46,0.73,1,0.25,26,1
52,epiforecasts-tsensemble,inc case,3,BE,Belgium,1.07,0.29,0.29,0.44,0.92,0.3,25,1
