weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,1,1,-0.12,128,26,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.08,0.35,0.39,0.36,0.96,-0.61,125,26,NA
10,SGroup-RandomForest,inc case,4,Overall,1.22,0.6,0.6,0.7,0.99,-0.09,128,26,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,1.23,0.63,0.73,0.1,0.25,-0.87,127,26,NA
10,epiforecasts-tsensemble,inc case,4,Overall,1.06,0.44,0.35,0.19,0.42,-0.81,118,24,NA
10,epiforecasts-weeklygrowth,inc case,4,Overall,1.02,0.35,0.26,0.17,0.9,-0.73,103,21,NA
10,fjordhest-ensemble,inc case,4,Overall,1.15,0.39,0.52,0.45,0.92,-0.51,76,16,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,0.99,1,-0.14,128,26,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,1.05,0.42,0.44,0.4,0.97,-0.58,126,26,NA
10,SGroup-RandomForest,inc case,3,Overall,1.22,0.82,0.81,0.81,1,-0.05,128,26,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,1.19,0.71,0.76,0.14,0.34,-0.79,126,26,NA
10,epiforecasts-tsensemble,inc case,3,Overall,1.06,0.53,0.39,0.2,0.47,-0.78,118,24,NA
10,epiforecasts-weeklygrowth,inc case,3,Overall,1.07,0.47,0.48,0.23,0.91,-0.7,113,23,NA
10,fjordhest-ensemble,inc case,3,Overall,1.13,0.52,0.64,0.4,0.86,-0.55,77,16,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,0.98,1,-0.15,128,26,NA
10,SGroup-RandomForest,inc case,2,Overall,1.2,0.8,0.8,0.74,0.99,-0.2,128,26,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.1,0.72,0.8,0.17,0.5,-0.69,125,26,NA
10,epiforecasts-tsensemble,inc case,2,Overall,1.05,0.62,0.43,0.17,0.4,-0.77,117,24,NA
10,epiforecasts-weeklygrowth,inc case,2,Overall,1,0.5,0.54,0.25,0.94,-0.66,118,24,NA
10,fjordhest-ensemble,inc case,2,Overall,1.08,0.61,0.75,0.33,0.84,-0.53,79,16,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,1,0.95,1,-0.21,128,26,NA
10,SGroup-RandomForest,inc case,1,Overall,1.26,0.95,0.94,0.74,1,-0.18,128,26,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.06,0.78,0.88,0.27,0.65,-0.56,124,25,NA
10,epiforecasts-tsensemble,inc case,1,Overall,1,0.68,0.45,0.2,0.44,-0.73,115,24,NA
10,epiforecasts-weeklygrowth,inc case,1,Overall,0.95,0.55,0.58,0.36,0.92,-0.6,118,24,NA
10,fjordhest-ensemble,inc case,1,Overall,1.09,0.82,1.03,0.32,0.8,-0.45,80,16,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,1,1,1,-0.05,100,21,NA
10,EuroCOVIDhub-ensemble,inc death,4,Overall,1.14,0.33,0.34,0.73,0.98,-0.23,82,18,NA
10,SGroup-RandomForest,inc death,4,Overall,2.42,0.97,0.88,0.47,0.85,-0.04,100,21,NA
10,epiforecasts-EpiNow2,inc death,4,Overall,1.42,0.53,0.61,0.46,0.71,-0.49,93,20,NA
10,epiforecasts-tsensemble,inc death,4,Overall,1.13,0.32,0.3,0.79,0.96,-0.1,70,15,NA
10,epiforecasts-weeklygrowth,inc death,4,Overall,4445.48,1256.33,1171.9,0.57,0.9,-0.31,67,15,NA
10,fjordhest-ensemble,inc death,4,Overall,1.16,0.35,0.36,0.72,0.96,-0.17,71,15,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,1,1,1,-0.06,100,21,NA
10,EuroCOVIDhub-ensemble,inc death,3,Overall,1.26,0.36,0.38,0.73,0.99,-0.27,82,17,NA
10,SGroup-RandomForest,inc death,3,Overall,2.04,0.9,0.87,0.53,0.87,-0.06,100,21,NA
10,epiforecasts-EpiNow2,inc death,3,Overall,1.49,0.6,0.66,0.44,0.7,-0.51,90,19,NA
10,epiforecasts-tsensemble,inc death,3,Overall,0.97,0.3,0.31,0.78,0.91,-0.14,68,15,NA
10,epiforecasts-weeklygrowth,inc death,3,Overall,1940.91,710.98,671.54,0.53,0.91,-0.4,86,18,NA
10,fjordhest-ensemble,inc death,3,Overall,1.39,0.42,0.4,0.76,0.93,-0.24,72,15,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,1,0.98,1,-0.07,100,21,NA
