weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.42,0.94,0.1,315,32,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.04,1.02,0.41,0.83,0.16,315,32,NA
10,ILM-EKF,inc case,4,Overall,6.13,8.12,0.18,0.54,0.16,315,32,NA
10,MUNI-ARIMA,inc case,4,Overall,0.86,0.87,0.46,0.89,0.21,315,32,NA
10,RobertWalraven-ESG,inc case,4,Overall,0.91,0.94,0.37,0.69,-0.14,315,32,NA
10,USC-SIkJalpha,inc case,4,Overall,1.82,2.14,0.1,0.26,0.54,314,32,NA
10,epiforecasts-weeklygrowth,inc case,4,Overall,1.79,1.85,0.56,0.96,0.16,314,32,NA
10,AMM-EpiInvert,inc case,3,Overall,0.72,0.6,NA,NA,0.24,86,30,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.43,0.96,0.14,316,32,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.9,0.87,0.47,0.84,0.19,316,32,NA
10,ILM-EKF,inc case,3,Overall,9.02,13.11,0.25,0.61,0.19,316,32,NA
10,MUNI-ARIMA,inc case,3,Overall,0.83,0.84,0.46,0.89,0.22,316,32,NA
10,RobertWalraven-ESG,inc case,3,Overall,0.95,0.95,0.4,0.72,-0.09,316,32,NA
10,USC-SIkJalpha,inc case,3,Overall,1.71,1.91,0.12,0.31,0.5,315,32,NA
10,epiforecasts-weeklygrowth,inc case,3,Overall,1.57,1.59,0.62,0.96,0.19,314,32,NA
10,AMM-EpiInvert,inc case,2,Overall,0.7,0.62,NA,NA,0.1,113,31,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.4,0.96,0.18,318,32,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.85,0.81,0.5,0.88,0.22,318,32,NA
10,ILM-EKF,inc case,2,Overall,10.9,15.12,0.32,0.7,0.2,318,32,NA
10,MUNI-ARIMA,inc case,2,Overall,0.87,0.86,0.44,0.9,0.23,318,32,NA
10,RobertWalraven-ESG,inc case,2,Overall,1,0.95,0.39,0.75,-0.02,318,32,NA
10,USC-SIkJalpha,inc case,2,Overall,1.64,1.76,0.15,0.37,0.48,317,32,NA
10,epiforecasts-weeklygrowth,inc case,2,Overall,1.66,1.52,0.69,0.96,0.2,315,32,NA
10,AMM-EpiInvert,inc case,1,Overall,0.64,0.6,NA,NA,0.03,139,31,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.33,0.97,0.18,318,32,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.8,0.76,0.5,0.91,0.19,318,32,NA
10,ILM-EKF,inc case,1,Overall,11.2,13.78,0.38,0.76,0.19,316,32,NA
10,MUNI-ARIMA,inc case,1,Overall,0.88,0.86,0.4,0.9,0.17,318,32,NA
10,RobertWalraven-ESG,inc case,1,Overall,1.03,0.96,0.46,0.85,0.04,318,32,NA
10,USC-SIkJalpha,inc case,1,Overall,1.88,1.82,0.15,0.43,0.45,316,32,NA
10,epiforecasts-weeklygrowth,inc case,1,Overall,1.61,1.42,0.75,0.95,0.17,314,32,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.8,0.98,-0.06,306,31,NA
10,EuroCOVIDhub-ensemble,inc death,4,Overall,0.81,0.75,0.57,0.93,0.02,306,31,NA
10,ILM-EKF,inc death,4,Overall,2181.99,2751.99,0.5,0.87,0.09,306,31,NA
10,MUNI-ARIMA,inc death,4,Overall,1.12,1.04,0.63,0.96,0.07,306,31,NA
10,RobertWalraven-ESG,inc death,4,Overall,1.01,1.01,0.45,0.75,-0.23,306,31,NA
10,USC-SIkJalpha,inc death,4,Overall,1.08,1.14,0.3,0.52,0.09,305,31,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.79,0.97,-0.05,307,31,NA
10,EuroCOVIDhub-ensemble,inc death,3,Overall,0.77,0.72,0.62,0.92,0.04,307,31,NA
10,ILM-EKF,inc death,3,Overall,1989.07,2752.52,0.59,0.9,0.11,307,31,NA
10,MUNI-ARIMA,inc death,3,Overall,1.09,1.01,0.63,0.95,0.07,307,31,NA
10,RobertWalraven-ESG,inc death,3,Overall,0.97,0.94,0.47,0.8,-0.15,307,31,NA
10,USC-SIkJalpha,inc death,3,Overall,1.03,1.07,0.29,0.52,0.13,305,31,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.74,0.96,-0.02,309,32,NA
10,EuroCOVIDhub-ensemble,inc death,2,Overall,0.71,0.68,0.62,0.93,0.06,309,32,NA
10,ILM-EKF,inc death,2,Overall,1990.93,2376.17,0.7,0.91,0.11,309,32,NA
10,MUNI-ARIMA,inc death,2,Overall,1,0.93,0.54,0.94,0.07,309,32,NA
10,RobertWalraven-ESG,inc death,2,Overall,0.95,0.93,0.49,0.81,-0.07,309,32,NA
10,USC-SIkJalpha,inc death,2,Overall,0.93,0.95,0.32,0.56,0.11,305,31,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.62,0.96,0.01,310,32,NA
10,EuroCOVIDhub-ensemble,inc death,1,Overall,0.86,0.8,0.57,0.91,0.07,310,32,NA
10,ILM-EKF,inc death,1,Overall,21.8,22,0.76,0.91,0.11,308,32,NA
10,MUNI-ARIMA,inc death,1,Overall,1.05,0.99,0.51,0.92,0.06,310,32,NA
10,RobertWalraven-ESG,inc death,1,Overall,1.03,0.98,0.5,0.81,0.02,310,32,NA
10,USC-SIkJalpha,inc death,1,Overall,1.11,1.12,0.36,0.64,0.09,304,31,NA
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.1,1,0.2,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,4,AT,0.98,1.17,0.5,1,0.28,10,1,Austria
10,ILM-EKF,inc case,4,AT,2.34,2.56,0.2,0.9,0.33,10,1,Austria
10,MUNI-ARIMA,inc case,4,AT,0.68,0.73,0.7,1,0.22,10,1,Austria
10,RobertWalraven-ESG,inc case,4,AT,1.13,1.19,0.2,0.8,-0.07,10,1,Austria
10,USC-SIkJalpha,inc case,4,AT,3.89,5.55,0,0,1,10,1,Austria
10,epiforecasts-weeklygrowth,inc case,4,AT,0.96,1.44,0.8,1,0.24,10,1,Austria
10,AMM-EpiInvert,inc case,3,AT,1.57,1.32,NA,NA,-0.13,4,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.2,1,0.22,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,3,AT,0.94,1.13,0.6,1,0.3,10,1,Austria
10,ILM-EKF,inc case,3,AT,1.63,1.79,0.4,0.8,0.39,10,1,Austria
10,MUNI-ARIMA,inc case,3,AT,0.82,0.89,0.6,1,0.21,10,1,Austria
10,RobertWalraven-ESG,inc case,3,AT,1.1,1.07,0.3,0.8,-0.04,10,1,Austria
10,USC-SIkJalpha,inc case,3,AT,3.85,5.23,0.1,0.1,0.88,10,1,Austria
10,epiforecasts-weeklygrowth,inc case,3,AT,0.92,1.22,0.7,1,0.25,10,1,Austria
10,AMM-EpiInvert,inc case,2,AT,1.48,1.4,NA,NA,0.03,5,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.2,1,0.28,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,2,AT,1.09,1.13,0.4,0.9,0.33,10,1,Austria
10,ILM-EKF,inc case,2,AT,1.52,1.58,0.4,0.8,0.29,10,1,Austria
10,MUNI-ARIMA,inc case,2,AT,1.05,1.01,0.1,1,0.27,10,1,Austria
10,RobertWalraven-ESG,inc case,2,AT,0.96,0.92,0.4,0.8,0.03,10,1,Austria
10,USC-SIkJalpha,inc case,2,AT,3.17,4.14,0.1,0.1,0.88,10,1,Austria
10,epiforecasts-weeklygrowth,inc case,2,AT,1.07,1.13,0.8,1,0.24,10,1,Austria
10,AMM-EpiInvert,inc case,1,AT,1.27,1.11,NA,NA,0.12,6,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.2,1,0.35,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,1,AT,0.98,0.95,0.5,1,0.29,10,1,Austria
10,ILM-EKF,inc case,1,AT,1.2,1.16,0.5,0.8,0.2,10,1,Austria
10,MUNI-ARIMA,inc case,1,AT,0.96,0.88,0.3,1,0.29,10,1,Austria
10,RobertWalraven-ESG,inc case,1,AT,1.03,0.93,0.5,0.9,0.15,10,1,Austria
10,USC-SIkJalpha,inc case,1,AT,3.56,4.29,0.2,0.2,0.78,10,1,Austria
10,epiforecasts-weeklygrowth,inc case,1,AT,1,0.95,0.6,1,0.22,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,4,AT,1,1,1,1,-0.07,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,4,AT,0.77,0.77,0.6,1,0.15,10,1,Austria
10,ILM-EKF,inc death,4,AT,0.94,1.04,0.7,1,0.2,10,1,Austria
10,MUNI-ARIMA,inc death,4,AT,0.86,0.94,0.8,1,0.02,10,1,Austria
10,RobertWalraven-ESG,inc death,4,AT,1.01,1.02,0.3,0.5,-0.25,10,1,Austria
10,USC-SIkJalpha,inc death,4,AT,1.14,1.28,0.2,0.6,0.38,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.9,1,-0.05,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,3,AT,0.61,0.65,0.7,1,0.17,10,1,Austria
10,ILM-EKF,inc death,3,AT,0.68,0.87,0.8,1,0.18,10,1,Austria
10,MUNI-ARIMA,inc death,3,AT,0.75,0.8,0.8,1,0.08,10,1,Austria
10,RobertWalraven-ESG,inc death,3,AT,0.94,0.89,0.1,0.9,-0.12,10,1,Austria
10,USC-SIkJalpha,inc death,3,AT,0.89,0.98,0.4,0.6,0.42,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.9,1,-0,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,2,AT,0.55,0.66,0.7,1,0.17,10,1,Austria
10,ILM-EKF,inc death,2,AT,0.59,0.86,0.9,1,0.13,10,1,Austria
10,MUNI-ARIMA,inc death,2,AT,0.85,0.82,0.8,1,0.14,10,1,Austria
10,RobertWalraven-ESG,inc death,2,AT,0.85,0.78,0.2,0.9,-0.04,10,1,Austria
10,USC-SIkJalpha,inc death,2,AT,0.71,0.82,0.4,0.9,0.33,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.5,1,0.06,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,1,AT,0.99,0.81,0.4,1,0.2,10,1,Austria
10,ILM-EKF,inc death,1,AT,0.87,1.14,0.9,1,0.08,10,1,Austria
10,MUNI-ARIMA,inc death,1,AT,1.12,0.88,0.3,1,0.19,10,1,Austria
10,RobertWalraven-ESG,inc death,1,AT,1.01,0.94,0.4,0.8,0.05,10,1,Austria
10,USC-SIkJalpha,inc death,1,AT,0.96,0.97,0.5,0.7,0.4,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.4,1,0.16,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,4,BE,1.13,1.29,0.5,0.8,0.2,10,1,Belgium
10,ILM-EKF,inc case,4,BE,1.95,2.24,0.3,0.6,0.09,10,1,Belgium
10,Karlen-pypm,inc case,4,BE,1.25,1.56,0.2,0.2,-0.02,5,1,Belgium
10,MUNI-ARIMA,inc case,4,BE,0.8,0.81,0.5,1,0.18,10,1,Belgium
