weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,BIOCOMSC-Gompertz,inc case,2,Overall,0.87,NA,0.51,0.93,NA,268,32,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.52,0.91,0.06,312,32,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.91,1.02,0.4,0.84,-0.02,312,32,NA
10,IEM_Health-CovidProject,inc case,2,Overall,0.9,1.07,0.25,0.58,-0.01,305,32,NA
10,ILM-EKF,inc case,2,Overall,1.42,1.78,0.34,0.74,-0.14,311,32,NA
10,Karlen-pypm,inc case,2,Overall,5.39,2.85,0.31,0.69,0.35,55,29,NA
10,LANL-GrowthRate,inc case,2,Overall,0.89,0.95,0.41,0.78,-0.31,282,32,NA
10,MUNI-ARIMA,inc case,2,Overall,0.86,0.97,0.56,0.89,-0.11,312,32,NA
10,RobertWalraven-ESG,inc case,2,Overall,0.91,1.14,0.35,0.66,-0.23,312,32,NA
10,USC-SIkJalpha,inc case,2,Overall,1.05,1.35,0.24,0.25,-0.08,312,32,NA
10,UVA-Ensemble,inc case,2,Overall,1.41,NA,0.58,0.84,NA,312,32,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.37,1.64,0.32,0.72,-0.17,311,32,NA
10,BIOCOMSC-Gompertz,inc case,1,Overall,0.69,NA,0.52,0.94,NA,271,32,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.43,0.95,0.01,313,32,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.85,0.8,0.43,0.89,-0.03,313,32,NA
10,IEM_Health-CovidProject,inc case,1,Overall,0.89,0.97,0.33,0.69,-0.03,305,32,NA
10,ILM-EKF,inc case,1,Overall,1.13,1.28,0.38,0.79,-0.13,312,32,NA
10,Karlen-pypm,inc case,1,Overall,2.35,1.3,0.54,0.87,0.27,83,29,NA
10,LANL-GrowthRate,inc case,1,Overall,0.81,0.76,0.44,0.85,-0.36,282,32,NA
