weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,1,1,-0.02,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,0.9,0.18,0.2,0.67,0.99,-0.3,126,26,NA
10,SGroup-RandomForest,inc case,4,Overall,1.63,0.5,0.47,0.58,0.99,0.18,129,26,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,1.23,0.34,0.37,0.13,0.32,-0.85,126,26,NA
10,epiforecasts-tsensemble,inc case,4,Overall,0.92,0.17,0.15,0.47,0.79,-0.48,118,25,NA
10,epiforecasts-weeklygrowth,inc case,4,Overall,0.92,0.17,0.14,0.51,0.95,-0.41,106,22,NA
10,fjordhest-ensemble,inc case,4,Overall,1.14,0.21,0.28,0.68,0.97,-0.13,74,16,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,1,1,-0.05,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.96,0.22,0.23,0.66,0.99,-0.38,125,26,NA
10,SGroup-RandomForest,inc case,3,Overall,1.94,0.8,0.78,0.68,1,0.15,129,26,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,1.33,0.4,0.42,0.12,0.33,-0.85,128,26,NA
10,epiforecasts-tsensemble,inc case,3,Overall,0.97,0.21,0.17,0.47,0.79,-0.54,118,25,NA
10,epiforecasts-weeklygrowth,inc case,3,Overall,1.01,0.25,0.25,0.48,0.94,-0.46,116,24,NA
10,fjordhest-ensemble,inc case,3,Overall,1.25,0.24,0.29,0.71,1,-0.25,73,15,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,1,1,-0.07,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,1.13,0.24,0.24,0.59,1,-0.42,125,26,NA
10,SGroup-RandomForest,inc case,2,Overall,1.84,0.68,0.65,0.73,0.98,-0.02,129,26,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.44,0.45,0.47,0.14,0.37,-0.82,127,26,NA
10,epiforecasts-tsensemble,inc case,2,Overall,1.12,0.25,0.21,0.38,0.75,-0.56,118,24,NA
10,epiforecasts-weeklygrowth,inc case,2,Overall,1.03,0.24,0.24,0.4,0.96,-0.51,121,25,NA
10,fjordhest-ensemble,inc case,2,Overall,1.36,0.26,0.3,0.57,0.97,-0.3,74,16,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,1,0.98,1,-0.13,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,1.09,0.27,0.27,0.55,0.98,-0.42,126,26,NA
10,SGroup-RandomForest,inc case,1,Overall,2.39,0.92,0.88,0.71,1,-0.04,129,26,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.34,0.46,0.48,0.17,0.47,-0.76,126,26,NA
