weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,0.98,1,-0.04,122,25,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.03,0.67,0.68,0.76,0.99,-0.06,106,24,NA
10,Lydia-simpleARIMA,inc case,4,Overall,1.94,1.53,1.49,1,1,0.08,97,25,NA
10,epiforecasts-tsensemble,inc case,4,Overall,1.28,0.71,0.71,0.23,0.7,-0.13,105,24,NA
10,epiforecasts-weeklygrowth,inc case,4,Overall,0.97,0.85,0.84,0.61,0.96,-0.12,95,21,NA
10,fjordhest-ensemble,inc case,4,Overall,0.91,0.54,0.56,0.33,0.83,-0.15,69,14,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,0.97,1,-0.07,122,25,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.95,0.72,0.73,0.79,0.99,-0.06,107,24,NA
10,Lydia-simpleARIMA,inc case,3,Overall,1.49,1.45,1.42,1,1,0.06,122,25,NA
10,epiforecasts-tsensemble,inc case,3,Overall,1.22,0.75,0.74,0.25,0.66,-0.16,105,24,NA
10,fjordhest-ensemble,inc case,3,Overall,0.84,0.55,0.56,0.36,0.86,-0.18,69,14,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,0.89,1,-0.09,122,25,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.79,0.72,0.66,0.76,0.99,-0.06,92,24,NA
10,Lydia-SARIMA,inc case,2,Overall,1.13,1.33,1.41,1,1,0.04,97,25,NA
10,Lydia-simpleARIMA,inc case,2,Overall,1.12,1.32,1.35,1,1,0.05,122,25,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.06,0.76,0.79,0.42,0.81,-0.24,91,24,NA
10,fjordhest-ensemble,inc case,2,Overall,0.71,0.53,0.51,0.38,0.87,-0.19,69,14,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,1,0.74,1,-0.14,122,25,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.55,0.62,0.5,0.78,1,-0.05,73,24,NA
10,Lydia-SARIMA,inc case,1,Overall,0.93,1.13,1.22,0.96,1,0.03,122,25,NA
10,Lydia-simpleARIMA,inc case,1,Overall,0.94,1.13,1.22,0.97,1,0.03,122,25,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,0.91,0.76,0.81,0.43,0.81,-0.19,115,24,NA
10,fjordhest-ensemble,inc case,1,Overall,0.7,0.61,0.61,0.43,0.78,-0.23,69,14,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,1,0.85,0.98,-0.18,105,21,NA
10,epiforecasts-EpiNow2,inc death,4,Overall,1.44,0.88,0.85,0.39,0.85,-0.19,54,19,NA
10,fjordhest-ensemble,inc death,4,Overall,1.16,0.77,0.8,0.35,0.8,-0.34,71,14,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,1,0.83,0.97,-0.19,105,21,NA
10,Lydia-SARIMA,inc death,3,Overall,1.18,1.09,1.09,0.86,0.97,-0.16,63,21,NA
10,Lydia-simpleARIMA,inc death,3,Overall,1.22,1.11,1.12,0.86,0.96,-0.17,105,21,NA
10,epiforecasts-EpiNow2,inc death,3,Overall,1.33,0.86,0.86,0.36,0.9,-0.23,58,19,NA
10,fjordhest-ensemble,inc death,3,Overall,1.16,0.83,0.82,0.37,0.77,-0.33,71,14,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,1,0.81,0.95,-0.2,105,21,NA
10,Lydia-SARIMA,inc death,2,Overall,1.1,1.03,1.03,0.82,0.94,-0.17,84,21,NA
10,Lydia-simpleARIMA,inc death,2,Overall,1.09,1.03,1.03,0.82,0.94,-0.18,105,21,NA
10,epiforecasts-EpiNow2,inc death,2,Overall,1.23,0.84,0.84,0.38,0.91,-0.26,77,19,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,1,0.71,0.93,-0.24,105,21,NA
10,Lydia-SARIMA,inc death,1,Overall,0.97,0.94,0.94,0.8,0.91,-0.2,105,21,NA
10,Lydia-simpleARIMA,inc death,1,Overall,0.96,0.95,0.95,0.8,0.91,-0.2,105,21,NA
10,EuroCOVIDhub-baseline,inc hosp,4,Overall,1,1,1,0.42,1,-0.51,12,2,NA
10,EuroCOVIDhub-ensemble,inc hosp,4,Overall,0.87,0.92,0.92,0.67,1,-0.41,9,2,NA
10,epiforecasts-tsensemble,inc hosp,4,Overall,0.83,1,0.97,0.09,0.64,-0.75,11,2,NA
10,fjordhest-ensemble,inc hosp,4,Overall,1.06,1.04,1.06,0.33,1,-0.6,6,1,NA
10,EuroCOVIDhub-baseline,inc hosp,3,Overall,1,1,1,0.67,1,-0.48,12,2,NA
10,epiforecasts-EpiNow2,inc hosp,3,Overall,0.59,0.92,0.94,0.75,1,-0.12,8,2,NA
10,fjordhest-ensemble,inc hosp,3,Overall,1.28,1.09,1.06,0.17,1,-0.62,6,1,NA
10,EuroCOVIDhub-baseline,inc hosp,2,Overall,1,1,1,0.67,1,-0.54,12,2,NA
10,epiforecasts-EpiNow2,inc hosp,2,Overall,0.81,0.93,0.98,0.6,1,-0.24,10,2,NA
10,fjordhest-ensemble,inc hosp,2,Overall,1.23,1.09,1.04,0.33,1,-0.68,6,1,NA
10,EuroCOVIDhub-baseline,inc hosp,1,Overall,1,1,1,0.58,1,-0.53,12,2,NA
10,epiforecasts-EpiNow2,inc hosp,1,Overall,0.86,0.89,0.98,0.42,1,-0.32,12,2,NA
10,fjordhest-ensemble,inc hosp,1,Overall,1.26,1.08,0.98,0.17,1,-0.7,6,1,NA
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,1,1,1,0.06,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,4,BE,1.04,0.59,0.58,1,1,0.2,5,1,Belgium
10,Lydia-simpleARIMA,inc case,4,BE,14.66,2.43,2.43,1,1,0.2,4,1,Belgium
10,epiforecasts-tsensemble,inc case,4,BE,0.95,0.12,0.13,0.2,1,0.54,5,1,Belgium
10,epiforecasts-weeklygrowth,inc case,4,BE,0.96,0.3,0.29,1,1,0.04,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,1,1,1,0.06,5,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,3,BE,1.09,0.69,0.69,1,1,0.14,5,1,Belgium
10,Lydia-simpleARIMA,inc case,3,BE,10.76,2.48,2.48,1,1,0.2,5,1,Belgium
10,epiforecasts-tsensemble,inc case,3,BE,1.15,0.19,0.19,0,0.8,0.44,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,2,BE,1,1,1,1,1,0.06,5,1,Belgium
10,Lydia-SARIMA,inc case,2,BE,9.68,2.58,2.59,1,1,0.2,4,1,Belgium
10,Lydia-simpleARIMA,inc case,2,BE,9.04,2.55,2.51,1,1,0.2,5,1,Belgium
10,epiforecasts-EpiNow2,inc case,2,BE,1.16,0.3,0.3,0.5,0.5,-0.4,4,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,1,1,1,0.04,5,1,Belgium
10,Lydia-SARIMA,inc case,1,BE,5.09,2.45,2.45,1,1,0.18,5,1,Belgium
10,Lydia-simpleARIMA,inc case,1,BE,5.45,2.46,2.46,1,1,0.18,5,1,Belgium
10,epiforecasts-EpiNow2,inc case,1,BE,1.08,0.35,0.35,0.4,0.6,-0.44,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,4,BG,1,1,1,1,1,0.16,5,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,4,BG,1.27,1.01,1,1,1,0.3,5,1,Bulgaria
10,Lydia-simpleARIMA,inc case,4,BG,0.31,1.36,1.41,1,1,0.05,4,1,Bulgaria
10,epiforecasts-tsensemble,inc case,4,BG,2.25,0.97,0.96,0.2,1,0.68,5,1,Bulgaria
10,fjordhest-ensemble,inc case,4,BG,1.07,0.5,0.49,0.2,1,0.58,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,3,BG,1,1,1,1,1,0.22,5,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,3,BG,0.99,1,1,1,1,0.3,5,1,Bulgaria
10,Lydia-simpleARIMA,inc case,3,BG,0.44,1.37,1.37,1,1,0.02,5,1,Bulgaria
10,epiforecasts-tsensemble,inc case,3,BG,1.66,0.86,0.86,0.2,1,0.66,5,1,Bulgaria
10,fjordhest-ensemble,inc case,3,BG,0.98,0.58,0.58,0.2,1,0.62,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,2,BG,1,1,1,1,1,0.28,5,1,Bulgaria
10,Lydia-SARIMA,inc case,2,BG,0.6,1.38,1.38,1,1,0.08,4,1,Bulgaria
10,Lydia-simpleARIMA,inc case,2,BG,0.54,1.42,1.45,1,1,0.04,5,1,Bulgaria
10,epiforecasts-EpiNow2,inc case,2,BG,3.38,2.84,2.83,0,0.5,0.8,4,1,Bulgaria
10,fjordhest-ensemble,inc case,2,BG,0.9,0.63,0.62,0.4,1,0.58,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,1,BG,1,1,1,0.6,1,0.5,5,1,Bulgaria
10,Lydia-SARIMA,inc case,1,BG,0.74,1.62,1.62,1,1,0.06,5,1,Bulgaria
10,Lydia-simpleARIMA,inc case,1,BG,0.65,1.63,1.63,1,1,0.08,5,1,Bulgaria
10,epiforecasts-EpiNow2,inc case,1,BG,3.63,3.04,3.04,0.2,0.6,0.74,5,1,Bulgaria
10,fjordhest-ensemble,inc case,1,BG,1.05,0.84,0.84,0.4,0.8,0.62,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc death,4,BG,1,1,1,1,1,-0.1,5,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc death,4,BG,0.89,1.06,1.04,0.8,1,-0.2,5,1,Bulgaria
