weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,1,1,1,0.02,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,0.64,0.16,0.18,0.75,0.99,-0.16,126,26,NA
10,SGroup-RandomForest,inc case,4,Overall,1.48,0.48,0.45,0.49,0.99,0.27,129,26,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,0.86,0.24,0.26,0.18,0.45,-0.75,124,26,NA
10,epiforecasts-tsensemble,inc case,4,Overall,0.7,0.13,0.11,0.58,0.88,-0.3,118,25,NA
10,epiforecasts-weeklygrowth,inc case,4,Overall,0.65,0.13,0.1,0.63,0.97,-0.22,107,22,NA
10,fjordhest-ensemble,inc case,4,Overall,0.81,0.18,0.22,0.68,0.96,0.02,76,16,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,1,1,1,-0,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.72,0.21,0.21,0.76,1,-0.21,126,26,NA
10,SGroup-RandomForest,inc case,3,Overall,1.72,0.8,0.78,0.62,1,0.28,129,26,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,0.99,0.31,0.31,0.14,0.43,-0.76,126,26,NA
10,epiforecasts-tsensemble,inc case,3,Overall,0.79,0.17,0.13,0.56,0.89,-0.35,118,25,NA
10,epiforecasts-weeklygrowth,inc case,3,Overall,0.88,0.25,0.26,0.62,0.97,-0.29,117,24,NA
10,fjordhest-ensemble,inc case,3,Overall,0.98,0.22,0.26,0.77,0.97,-0.09,74,16,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,1,1,1,-0.03,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.81,0.19,0.19,0.67,1,-0.3,125,26,NA
10,SGroup-RandomForest,inc case,2,Overall,1.54,0.63,0.6,0.67,0.98,0.05,129,26,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.15,0.36,0.37,0.16,0.45,-0.76,128,26,NA
10,epiforecasts-tsensemble,inc case,2,Overall,0.88,0.19,0.15,0.5,0.85,-0.42,118,25,NA
10,epiforecasts-weeklygrowth,inc case,2,Overall,0.92,0.24,0.25,0.5,0.97,-0.36,122,25,NA
10,fjordhest-ensemble,inc case,2,Overall,1.07,0.21,0.25,0.64,0.97,-0.18,73,15,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,1,0.98,1,-0.08,129,26,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.96,0.22,0.22,0.62,0.99,-0.34,125,26,NA
10,SGroup-RandomForest,inc case,1,Overall,2.34,0.85,0.81,0.72,0.98,0.01,129,26,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.26,0.41,0.43,0.2,0.46,-0.74,127,26,NA
10,epiforecasts-tsensemble,inc case,1,Overall,0.95,0.23,0.2,0.47,0.83,-0.46,118,24,NA
10,epiforecasts-weeklygrowth,inc case,1,Overall,0.92,0.23,0.23,0.47,0.95,-0.42,122,25,NA
10,fjordhest-ensemble,inc case,1,Overall,1.19,0.26,0.3,0.51,0.95,-0.18,74,16,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,1,1,1,0.02,102,21,NA
