state_code,state_name,population
GM01,Baden-Wurttemberg,11100394
GM02,Bavaria,13124737
GM03,Bremen,681202
GM04,Hamburg,1847253
GM05,Hesse,6288080
GM06,Lower Saxony,7993608
GM07,North Rhine-Westphalia,17947221
GM08,Rhineland-Palatinate,4093903
GM09,Saarland,986887
GM10,Schleswig-Holstein,2903773
GM11,Brandenburg,2521893
GM12,Mecklenburg-Vorpommern,1608138
GM13,Saxony,4071971
GM14,Saxony-Anhalt,2194782
GM15,Thuringia,2133378
GM16,Berlin,3669491
GM,Germany,83166711
