V1,V2
GM01,Baden-Württemberg State
GM02,Free State of Bavaria
GM03,Free Hanseatic City of Bremen
GM04,Free Hanseatic City of Hamburg
GM05,Hesse State
GM06,Lower Saxony State
GM07,North Rhine-Westphalia State
GM08,Rhineland-Palatinate State
GM09,Saarland State
GM10,Schleswig-Holstein State
GM11,Brandenburg State
GM12,Mecklenburg-Western Pomerania State
GM13,Free State of Saxony
GM14,Sachsen-Anhalt State
GM15,Free State of Thüringia
GM16,Berlin State
