date,weekday,ecdc_year,ecdc_week,ecdc_year_week
29/04/2021,Thursday,2021,17,2021-17
30/04/2021,Friday,2021,17,2021-17
01/05/2021,Saturday,2021,17,2021-17
02/05/2021,Sunday,2021,17,2021-17
03/05/2021,Monday,2021,18,2021-18
04/05/2021,Tuesday,2021,18,2021-18
05/05/2021,Wednesday,2021,18,2021-18
06/05/2021,Thursday,2021,18,2021-18
07/05/2021,Friday,2021,18,2021-18
08/05/2021,Saturday,2021,18,2021-18
09/05/2021,Sunday,2021,18,2021-18
10/05/2021,Monday,2021,19,2021-19
11/05/2021,Tuesday,2021,19,2021-19
12/05/2021,Wednesday,2021,19,2021-19
13/05/2021,Thursday,2021,19,2021-19
14/05/2021,Friday,2021,19,2021-19
15/05/2021,Saturday,2021,19,2021-19
16/05/2021,Sunday,2021,19,2021-19
17/05/2021,Monday,2021,20,2021-20
18/05/2021,Tuesday,2021,20,2021-20
19/05/2021,Wednesday,2021,20,2021-20
20/05/2021,Thursday,2021,20,2021-20
21/05/2021,Friday,2021,20,2021-20
22/05/2021,Saturday,2021,20,2021-20
23/05/2021,Sunday,2021,20,2021-20
24/05/2021,Monday,2021,21,2021-21
25/05/2021,Tuesday,2021,21,2021-21
26/05/2021,Wednesday,2021,21,2021-21
27/05/2021,Thursday,2021,21,2021-21
28/05/2021,Friday,2021,21,2021-21
29/05/2021,Saturday,2021,21,2021-21
30/05/2021,Sunday,2021,21,2021-21
31/05/2021,Monday,2021,22,2021-22
01/06/2021,Tuesday,2021,22,2021-22
02/06/2021,Wednesday,2021,22,2021-22
03/06/2021,Thursday,2021,22,2021-22
04/06/2021,Friday,2021,22,2021-22
05/06/2021,Saturday,2021,22,2021-22
06/06/2021,Sunday,2021,22,2021-22
07/06/2021,Monday,2021,23,2021-23
08/06/2021,Tuesday,2021,23,2021-23
09/06/2021,Wednesday,2021,23,2021-23
10/06/2021,Thursday,2021,23,2021-23
11/06/2021,Friday,2021,23,2021-23
12/06/2021,Saturday,2021,23,2021-23
13/06/2021,Sunday,2021,23,2021-23
14/06/2021,Monday,2021,24,2021-24
15/06/2021,Tuesday,2021,24,2021-24
16/06/2021,Wednesday,2021,24,2021-24
17/06/2021,Thursday,2021,24,2021-24
18/06/2021,Friday,2021,24,2021-24
19/06/2021,Saturday,2021,24,2021-24
20/06/2021,Sunday,2021,24,2021-24
21/06/2021,Monday,2021,25,2021-25
22/06/2021,Tuesday,2021,25,2021-25
23/06/2021,Wednesday,2021,25,2021-25
24/06/2021,Thursday,2021,25,2021-25
25/06/2021,Friday,2021,25,2021-25
26/06/2021,Saturday,2021,25,2021-25
27/06/2021,Sunday,2021,25,2021-25
28/06/2021,Monday,2021,26,2021-26
29/06/2021,Tuesday,2021,26,2021-26
30/06/2021,Wednesday,2021,26,2021-26
01/07/2021,Thursday,2021,26,2021-26
02/07/2021,Friday,2021,26,2021-26
03/07/2021,Saturday,2021,26,2021-26
04/07/2021,Sunday,2021,26,2021-26
05/07/2021,Monday,2021,27,2021-27
06/07/2021,Tuesday,2021,27,2021-27
07/07/2021,Wednesday,2021,27,2021-27
08/07/2021,Thursday,2021,27,2021-27
09/07/2021,Friday,2021,27,2021-27
10/07/2021,Saturday,2021,27,2021-27
11/07/2021,Sunday,2021,27,2021-27
12/07/2021,Monday,2021,28,2021-28
13/07/2021,Tuesday,2021,28,2021-28
14/07/2021,Wednesday,2021,28,2021-28
15/07/2021,Thursday,2021,28,2021-28
16/07/2021,Friday,2021,28,2021-28
17/07/2021,Saturday,2021,28,2021-28
18/07/2021,Sunday,2021,28,2021-28
19/07/2021,Monday,2021,29,2021-29
20/07/2021,Tuesday,2021,29,2021-29
21/07/2021,Wednesday,2021,29,2021-29
22/07/2021,Thursday,2021,29,2021-29
23/07/2021,Friday,2021,29,2021-29
24/07/2021,Saturday,2021,29,2021-29
25/07/2021,Sunday,2021,29,2021-29
26/07/2021,Monday,2021,30,2021-30
27/07/2021,Tuesday,2021,30,2021-30
28/07/2021,Wednesday,2021,30,2021-30
29/07/2021,Thursday,2021,30,2021-30
30/07/2021,Friday,2021,30,2021-30
31/07/2021,Saturday,2021,30,2021-30
01/08/2021,Sunday,2021,30,2021-30
02/08/2021,Monday,2021,31,2021-31
03/08/2021,Tuesday,2021,31,2021-31
04/08/2021,Wednesday,2021,31,2021-31
05/08/2021,Thursday,2021,31,2021-31
06/08/2021,Friday,2021,31,2021-31
07/08/2021,Saturday,2021,31,2021-31
08/08/2021,Sunday,2021,31,2021-31
09/08/2021,Monday,2021,32,2021-32
10/08/2021,Tuesday,2021,32,2021-32
11/08/2021,Wednesday,2021,32,2021-32
12/08/2021,Thursday,2021,32,2021-32
13/08/2021,Friday,2021,32,2021-32
14/08/2021,Saturday,2021,32,2021-32
15/08/2021,Sunday,2021,32,2021-32
16/08/2021,Monday,2021,33,2021-33
17/08/2021,Tuesday,2021,33,2021-33
18/08/2021,Wednesday,2021,33,2021-33
19/08/2021,Thursday,2021,33,2021-33
20/08/2021,Friday,2021,33,2021-33
21/08/2021,Saturday,2021,33,2021-33
22/08/2021,Sunday,2021,33,2021-33
23/08/2021,Monday,2021,34,2021-34
24/08/2021,Tuesday,2021,34,2021-34
25/08/2021,Wednesday,2021,34,2021-34
26/08/2021,Thursday,2021,34,2021-34
27/08/2021,Friday,2021,34,2021-34
28/08/2021,Saturday,2021,34,2021-34
29/08/2021,Sunday,2021,34,2021-34
30/08/2021,Monday,2021,35,2021-35
31/08/2021,Tuesday,2021,35,2021-35
01/09/2021,Wednesday,2021,35,2021-35
02/09/2021,Thursday,2021,35,2021-35
03/09/2021,Friday,2021,35,2021-35
04/09/2021,Saturday,2021,35,2021-35
05/09/2021,Sunday,2021,35,2021-35
06/09/2021,Monday,2021,36,2021-36
07/09/2021,Tuesday,2021,36,2021-36
08/09/2021,Wednesday,2021,36,2021-36
09/09/2021,Thursday,2021,36,2021-36
10/09/2021,Friday,2021,36,2021-36
11/09/2021,Saturday,2021,36,2021-36
12/09/2021,Sunday,2021,36,2021-36
13/09/2021,Monday,2021,37,2021-37
14/09/2021,Tuesday,2021,37,2021-37
15/09/2021,Wednesday,2021,37,2021-37
16/09/2021,Thursday,2021,37,2021-37
17/09/2021,Friday,2021,37,2021-37
18/09/2021,Saturday,2021,37,2021-37
19/09/2021,Sunday,2021,37,2021-37
20/09/2021,Monday,2021,38,2021-38
21/09/2021,Tuesday,2021,38,2021-38
22/09/2021,Wednesday,2021,38,2021-38
23/09/2021,Thursday,2021,38,2021-38
24/09/2021,Friday,2021,38,2021-38
25/09/2021,Saturday,2021,38,2021-38
26/09/2021,Sunday,2021,38,2021-38
27/09/2021,Monday,2021,39,2021-39
28/09/2021,Tuesday,2021,39,2021-39
29/09/2021,Wednesday,2021,39,2021-39
30/09/2021,Thursday,2021,39,2021-39
01/10/2021,Friday,2021,39,2021-39
02/10/2021,Saturday,2021,39,2021-39
03/10/2021,Sunday,2021,39,2021-39
04/10/2021,Monday,2021,40,2021-40
05/10/2021,Tuesday,2021,40,2021-40
06/10/2021,Wednesday,2021,40,2021-40
07/10/2021,Thursday,2021,40,2021-40
08/10/2021,Friday,2021,40,2021-40
09/10/2021,Saturday,2021,40,2021-40
10/10/2021,Sunday,2021,40,2021-40
11/10/2021,Monday,2021,41,2021-41
12/10/2021,Tuesday,2021,41,2021-41
13/10/2021,Wednesday,2021,41,2021-41
14/10/2021,Thursday,2021,41,2021-41
15/10/2021,Friday,2021,41,2021-41
16/10/2021,Saturday,2021,41,2021-41
17/10/2021,Sunday,2021,41,2021-41
18/10/2021,Monday,2021,42,2021-42
19/10/2021,Tuesday,2021,42,2021-42
20/10/2021,Wednesday,2021,42,2021-42
21/10/2021,Thursday,2021,42,2021-42
22/10/2021,Friday,2021,42,2021-42
23/10/2021,Saturday,2021,42,2021-42
24/10/2021,Sunday,2021,42,2021-42
25/10/2021,Monday,2021,43,2021-43
26/10/2021,Tuesday,2021,43,2021-43
27/10/2021,Wednesday,2021,43,2021-43
28/10/2021,Thursday,2021,43,2021-43
29/10/2021,Friday,2021,43,2021-43
30/10/2021,Saturday,2021,43,2021-43
31/10/2021,Sunday,2021,43,2021-43
01/11/2021,Monday,2021,44,2021-44
02/11/2021,Tuesday,2021,44,2021-44
03/11/2021,Wednesday,2021,44,2021-44
04/11/2021,Thursday,2021,44,2021-44
05/11/2021,Friday,2021,44,2021-44
06/11/2021,Saturday,2021,44,2021-44
07/11/2021,Sunday,2021,44,2021-44
08/11/2021,Monday,2021,45,2021-45
09/11/2021,Tuesday,2021,45,2021-45
10/11/2021,Wednesday,2021,45,2021-45
11/11/2021,Thursday,2021,45,2021-45
12/11/2021,Friday,2021,45,2021-45
13/11/2021,Saturday,2021,45,2021-45
14/11/2021,Sunday,2021,45,2021-45
15/11/2021,Monday,2021,46,2021-46
16/11/2021,Tuesday,2021,46,2021-46
17/11/2021,Wednesday,2021,46,2021-46
18/11/2021,Thursday,2021,46,2021-46
19/11/2021,Friday,2021,46,2021-46
20/11/2021,Saturday,2021,46,2021-46
21/11/2021,Sunday,2021,46,2021-46
22/11/2021,Monday,2021,47,2021-47
23/11/2021,Tuesday,2021,47,2021-47
24/11/2021,Wednesday,2021,47,2021-47
25/11/2021,Thursday,2021,47,2021-47
26/11/2021,Friday,2021,47,2021-47
27/11/2021,Saturday,2021,47,2021-47
