location,forecast_date,target_end_date,target,type,quantile,value
AT,2022-01-23,2022-01-29,1 wk ahead inc case,point,NA,184968
AT,2022-01-23,2022-02-05,2 wk ahead inc case,point,NA,200794
AT,2022-01-23,2022-02-12,3 wk ahead inc case,point,NA,190663
AT,2022-01-23,2022-02-19,4 wk ahead inc case,point,NA,163946
AT,2022-01-23,2022-02-26,5 wk ahead inc case,point,NA,134258
AT,2022-01-23,2022-03-05,6 wk ahead inc case,point,NA,109706
AT,2022-01-23,2022-03-12,7 wk ahead inc case,point,NA,91685
AT,2022-01-23,2022-03-19,8 wk ahead inc case,point,NA,78881
AT,2022-01-23,2022-03-26,9 wk ahead inc case,point,NA,69777
AT,2022-01-23,2022-04-02,10 wk ahead inc case,point,NA,62993
AT,2022-01-23,2022-04-09,11 wk ahead inc case,point,NA,57653
AT,2022-01-23,2022-04-16,12 wk ahead inc case,point,NA,53268
AT,2022-01-23,2022-04-23,13 wk ahead inc case,point,NA,49754
AT,2022-01-23,2022-04-30,14 wk ahead inc case,point,NA,46876
AT,2022-01-23,2022-05-07,15 wk ahead inc case,point,NA,44358
AT,2022-01-23,2022-05-14,16 wk ahead inc case,point,NA,42014
AT,2022-01-23,2022-05-21,17 wk ahead inc case,point,NA,39800
AT,2022-01-23,2022-05-28,18 wk ahead inc case,point,NA,37672
AT,2022-01-23,2022-06-04,19 wk ahead inc case,point,NA,35646
AT,2022-01-23,2022-01-29,1 wk ahead inc death,point,NA,30
AT,2022-01-23,2022-02-05,2 wk ahead inc death,point,NA,28
AT,2022-01-23,2022-02-12,3 wk ahead inc death,point,NA,26
AT,2022-01-23,2022-02-19,4 wk ahead inc death,point,NA,25
AT,2022-01-23,2022-02-26,5 wk ahead inc death,point,NA,24
AT,2022-01-23,2022-03-05,6 wk ahead inc death,point,NA,22
AT,2022-01-23,2022-03-12,7 wk ahead inc death,point,NA,20
AT,2022-01-23,2022-03-19,8 wk ahead inc death,point,NA,19
AT,2022-01-23,2022-03-26,9 wk ahead inc death,point,NA,17
AT,2022-01-23,2022-04-02,10 wk ahead inc death,point,NA,15
AT,2022-01-23,2022-04-09,11 wk ahead inc death,point,NA,14
AT,2022-01-23,2022-04-16,12 wk ahead inc death,point,NA,12
AT,2022-01-23,2022-04-23,13 wk ahead inc death,point,NA,11
AT,2022-01-23,2022-04-30,14 wk ahead inc death,point,NA,11
AT,2022-01-23,2022-05-07,15 wk ahead inc death,point,NA,10
AT,2022-01-23,2022-05-14,16 wk ahead inc death,point,NA,11
AT,2022-01-23,2022-05-21,17 wk ahead inc death,point,NA,11
AT,2022-01-23,2022-05-28,18 wk ahead inc death,point,NA,13
AT,2022-01-23,2022-06-04,19 wk ahead inc death,point,NA,16
CZ,2022-01-23,2022-01-29,1 wk ahead inc case,point,NA,248682
CZ,2022-01-23,2022-02-05,2 wk ahead inc case,point,NA,356668
CZ,2022-01-23,2022-02-12,3 wk ahead inc case,point,NA,390301
CZ,2022-01-23,2022-02-19,4 wk ahead inc case,point,NA,261672
CZ,2022-01-23,2022-02-26,5 wk ahead inc case,point,NA,127733
CZ,2022-01-23,2022-03-05,6 wk ahead inc case,point,NA,61900
CZ,2022-01-23,2022-03-12,7 wk ahead inc case,point,NA,38928
CZ,2022-01-23,2022-03-19,8 wk ahead inc case,point,NA,40965
CZ,2022-01-23,2022-03-26,9 wk ahead inc case,point,NA,49643
CZ,2022-01-23,2022-04-02,10 wk ahead inc case,point,NA,60424
CZ,2022-01-23,2022-04-09,11 wk ahead inc case,point,NA,72485
CZ,2022-01-23,2022-04-16,12 wk ahead inc case,point,NA,84580
CZ,2022-01-23,2022-04-23,13 wk ahead inc case,point,NA,95029
CZ,2022-01-23,2022-04-30,14 wk ahead inc case,point,NA,102081
CZ,2022-01-23,2022-05-07,15 wk ahead inc case,point,NA,104612
CZ,2022-01-23,2022-05-14,16 wk ahead inc case,point,NA,102519
CZ,2022-01-23,2022-05-21,17 wk ahead inc case,point,NA,96435
CZ,2022-01-23,2022-05-28,18 wk ahead inc case,point,NA,87780
CZ,2022-01-23,2022-06-04,19 wk ahead inc case,point,NA,78291
