location,forecast_date,target_end_date,target,type,quantile,value
BE,2022-05-22,2022-05-28,1 wk ahead inc case,point,NA,9040
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.01,5035
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.025,5461
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.05,5927
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.1,6437
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.15,6754
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.2,7088
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.25,7442
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.3,7816
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.35,8102
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.4,8401
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.45,8715
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.5,9040
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.55,9385
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.6,9744
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.65,10120
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.7,10514
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.75,11076
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.8,11673
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.85,12305
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.9,12975
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.95,14203
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.975,15554
BE,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.99,17043
BE,2022-05-22,2022-06-04,2 wk ahead inc case,point,NA,5463
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.01,2088
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.025,2362
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.05,2673
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.1,3024
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.15,3275
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.2,3547
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.25,3842
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.3,4162
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.35,4457
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.4,4774
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.45,5114
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.5,5463
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.55,5869
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.6,6287
BE,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.65,6737
