location,forecast_date,target_end_date,target,type,quantile,value
AT,2022-02-20,2022-02-26,1 wk ahead inc case,point,NA,173067
AT,2022-02-20,2022-03-05,2 wk ahead inc case,point,NA,161386
AT,2022-02-20,2022-03-12,3 wk ahead inc case,point,NA,154928
AT,2022-02-20,2022-03-19,4 wk ahead inc case,point,NA,154372
AT,2022-02-20,2022-03-26,5 wk ahead inc case,point,NA,160423
AT,2022-02-20,2022-04-02,6 wk ahead inc case,point,NA,172369
AT,2022-02-20,2022-04-09,7 wk ahead inc case,point,NA,188715
AT,2022-02-20,2022-04-16,8 wk ahead inc case,point,NA,206925
AT,2022-02-20,2022-04-23,9 wk ahead inc case,point,NA,224820
AT,2022-02-20,2022-04-30,10 wk ahead inc case,point,NA,237321
AT,2022-02-20,2022-05-07,11 wk ahead inc case,point,NA,239033
AT,2022-02-20,2022-05-14,12 wk ahead inc case,point,NA,229032
AT,2022-02-20,2022-05-21,13 wk ahead inc case,point,NA,212350
AT,2022-02-20,2022-05-28,14 wk ahead inc case,point,NA,195389
AT,2022-02-20,2022-06-04,15 wk ahead inc case,point,NA,183177
AT,2022-02-20,2022-06-11,16 wk ahead inc case,point,NA,177920
AT,2022-02-20,2022-06-18,17 wk ahead inc case,point,NA,177911
AT,2022-02-20,2022-06-25,18 wk ahead inc case,point,NA,180273
AT,2022-02-20,2022-07-02,19 wk ahead inc case,point,NA,183529
AT,2022-02-20,2022-02-26,1 wk ahead inc death,point,NA,89
AT,2022-02-20,2022-03-05,2 wk ahead inc death,point,NA,87
AT,2022-02-20,2022-03-12,3 wk ahead inc death,point,NA,87
AT,2022-02-20,2022-03-19,4 wk ahead inc death,point,NA,88
AT,2022-02-20,2022-03-26,5 wk ahead inc death,point,NA,89
AT,2022-02-20,2022-04-02,6 wk ahead inc death,point,NA,91
AT,2022-02-20,2022-04-09,7 wk ahead inc death,point,NA,92
AT,2022-02-20,2022-04-16,8 wk ahead inc death,point,NA,93
AT,2022-02-20,2022-04-23,9 wk ahead inc death,point,NA,95
AT,2022-02-20,2022-04-30,10 wk ahead inc death,point,NA,96
AT,2022-02-20,2022-05-07,11 wk ahead inc death,point,NA,98
AT,2022-02-20,2022-05-14,12 wk ahead inc death,point,NA,100
AT,2022-02-20,2022-05-21,13 wk ahead inc death,point,NA,102
AT,2022-02-20,2022-05-28,14 wk ahead inc death,point,NA,104
AT,2022-02-20,2022-06-04,15 wk ahead inc death,point,NA,104
AT,2022-02-20,2022-06-11,16 wk ahead inc death,point,NA,100
AT,2022-02-20,2022-06-18,17 wk ahead inc death,point,NA,95
AT,2022-02-20,2022-06-25,18 wk ahead inc death,point,NA,92
AT,2022-02-20,2022-07-02,19 wk ahead inc death,point,NA,92
CZ,2022-02-20,2022-02-26,1 wk ahead inc case,point,NA,82987
CZ,2022-02-20,2022-03-05,2 wk ahead inc case,point,NA,65029
CZ,2022-02-20,2022-03-12,3 wk ahead inc case,point,NA,55617
