location,forecast_date,target_end_date,target,type,quantile,value
AT,2021-11-14,2021-11-20,1 wk ahead inc case,point,NA,89669
AT,2021-11-14,2021-11-27,2 wk ahead inc case,point,NA,103936
AT,2021-11-14,2021-12-04,3 wk ahead inc case,point,NA,119851
AT,2021-11-14,2021-12-11,4 wk ahead inc case,point,NA,106040
AT,2021-11-14,2021-12-18,5 wk ahead inc case,point,NA,77373
AT,2021-11-14,2021-12-25,6 wk ahead inc case,point,NA,49602
AT,2021-11-14,2022-01-01,7 wk ahead inc case,point,NA,30507
AT,2021-11-14,2022-01-08,8 wk ahead inc case,point,NA,21569
AT,2021-11-14,2022-01-15,9 wk ahead inc case,point,NA,20148
AT,2021-11-14,2022-01-22,10 wk ahead inc case,point,NA,24096
AT,2021-11-14,2022-01-29,11 wk ahead inc case,point,NA,28451
AT,2021-11-14,2022-02-05,12 wk ahead inc case,point,NA,33644
AT,2021-11-14,2022-02-12,13 wk ahead inc case,point,NA,39727
AT,2021-11-14,2022-02-19,14 wk ahead inc case,point,NA,46846
AT,2021-11-14,2022-02-26,15 wk ahead inc case,point,NA,55146
AT,2021-11-14,2022-03-05,16 wk ahead inc case,point,NA,64771
AT,2021-11-14,2022-03-12,17 wk ahead inc case,point,NA,75848
AT,2021-11-14,2022-03-19,18 wk ahead inc case,point,NA,84618
AT,2021-11-14,2022-03-26,19 wk ahead inc case,point,NA,81775
AT,2021-11-14,2021-11-20,1 wk ahead inc death,point,NA,59
AT,2021-11-14,2021-11-27,2 wk ahead inc death,point,NA,68
AT,2021-11-14,2021-12-04,3 wk ahead inc death,point,NA,72
AT,2021-11-14,2021-12-11,4 wk ahead inc death,point,NA,67
AT,2021-11-14,2021-12-18,5 wk ahead inc death,point,NA,56
AT,2021-11-14,2021-12-25,6 wk ahead inc death,point,NA,42
AT,2021-11-14,2022-01-01,7 wk ahead inc death,point,NA,29
AT,2021-11-14,2022-01-08,8 wk ahead inc death,point,NA,19
AT,2021-11-14,2022-01-15,9 wk ahead inc death,point,NA,12
AT,2021-11-14,2022-01-22,10 wk ahead inc death,point,NA,7
AT,2021-11-14,2022-01-29,11 wk ahead inc death,point,NA,4
AT,2021-11-14,2022-02-05,12 wk ahead inc death,point,NA,2
AT,2021-11-14,2022-02-12,13 wk ahead inc death,point,NA,1
AT,2021-11-14,2022-02-19,14 wk ahead inc death,point,NA,0
AT,2021-11-14,2022-02-26,15 wk ahead inc death,point,NA,0
AT,2021-11-14,2022-03-05,16 wk ahead inc death,point,NA,0
AT,2021-11-14,2022-03-12,17 wk ahead inc death,point,NA,0
AT,2021-11-14,2022-03-19,18 wk ahead inc death,point,NA,0
AT,2021-11-14,2022-03-26,19 wk ahead inc death,point,NA,0
CZ,2021-11-14,2021-11-20,1 wk ahead inc case,point,NA,92558
CZ,2021-11-14,2021-11-27,2 wk ahead inc case,point,NA,94646
CZ,2021-11-14,2021-12-04,3 wk ahead inc case,point,NA,65760
CZ,2021-11-14,2021-12-11,4 wk ahead inc case,point,NA,33826
CZ,2021-11-14,2021-12-18,5 wk ahead inc case,point,NA,15286
CZ,2021-11-14,2021-12-25,6 wk ahead inc case,point,NA,7503
CZ,2021-11-14,2022-01-01,7 wk ahead inc case,point,NA,4910
CZ,2021-11-14,2022-01-08,8 wk ahead inc case,point,NA,4341
