location,forecast_date,target_end_date,target,type,quantile,value
AT,2022-02-06,2022-02-12,1 wk ahead inc case,point,NA,229881
AT,2022-02-06,2022-02-19,2 wk ahead inc case,point,NA,220632
AT,2022-02-06,2022-02-26,3 wk ahead inc case,point,NA,205299
AT,2022-02-06,2022-03-05,4 wk ahead inc case,point,NA,186218
AT,2022-02-06,2022-03-12,5 wk ahead inc case,point,NA,165553
AT,2022-02-06,2022-03-19,6 wk ahead inc case,point,NA,145420
AT,2022-02-06,2022-03-26,7 wk ahead inc case,point,NA,127610
AT,2022-02-06,2022-04-02,8 wk ahead inc case,point,NA,112166
AT,2022-02-06,2022-04-09,9 wk ahead inc case,point,NA,98780
AT,2022-02-06,2022-04-16,10 wk ahead inc case,point,NA,87121
AT,2022-02-06,2022-04-23,11 wk ahead inc case,point,NA,77364
AT,2022-02-06,2022-04-30,12 wk ahead inc case,point,NA,68987
AT,2022-02-06,2022-05-07,13 wk ahead inc case,point,NA,61349
AT,2022-02-06,2022-05-14,14 wk ahead inc case,point,NA,54076
AT,2022-02-06,2022-05-21,15 wk ahead inc case,point,NA,47131
AT,2022-02-06,2022-05-28,16 wk ahead inc case,point,NA,40487
AT,2022-02-06,2022-06-04,17 wk ahead inc case,point,NA,34228
AT,2022-02-06,2022-06-11,18 wk ahead inc case,point,NA,28454
AT,2022-02-06,2022-06-18,19 wk ahead inc case,point,NA,23052
AT,2022-02-06,2022-02-12,1 wk ahead inc death,point,NA,31
AT,2022-02-06,2022-02-19,2 wk ahead inc death,point,NA,26
AT,2022-02-06,2022-02-26,3 wk ahead inc death,point,NA,22
AT,2022-02-06,2022-03-05,4 wk ahead inc death,point,NA,18
AT,2022-02-06,2022-03-12,5 wk ahead inc death,point,NA,14
AT,2022-02-06,2022-03-19,6 wk ahead inc death,point,NA,10
AT,2022-02-06,2022-03-26,7 wk ahead inc death,point,NA,8
AT,2022-02-06,2022-04-02,8 wk ahead inc death,point,NA,5
AT,2022-02-06,2022-04-09,9 wk ahead inc death,point,NA,3
AT,2022-02-06,2022-04-16,10 wk ahead inc death,point,NA,2
AT,2022-02-06,2022-04-23,11 wk ahead inc death,point,NA,1
AT,2022-02-06,2022-04-30,12 wk ahead inc death,point,NA,1
AT,2022-02-06,2022-05-07,13 wk ahead inc death,point,NA,0
AT,2022-02-06,2022-05-14,14 wk ahead inc death,point,NA,0
AT,2022-02-06,2022-05-21,15 wk ahead inc death,point,NA,0
AT,2022-02-06,2022-05-28,16 wk ahead inc death,point,NA,0
AT,2022-02-06,2022-06-04,17 wk ahead inc death,point,NA,0
AT,2022-02-06,2022-06-11,18 wk ahead inc death,point,NA,0
AT,2022-02-06,2022-06-18,19 wk ahead inc death,point,NA,0
CZ,2022-02-06,2022-02-12,1 wk ahead inc case,point,NA,243683
CZ,2022-02-06,2022-02-19,2 wk ahead inc case,point,NA,223884
CZ,2022-02-06,2022-02-26,3 wk ahead inc case,point,NA,200144
CZ,2022-02-06,2022-03-05,4 wk ahead inc case,point,NA,174358
CZ,2022-02-06,2022-03-12,5 wk ahead inc case,point,NA,149115
CZ,2022-02-06,2022-03-19,6 wk ahead inc case,point,NA,126522
CZ,2022-02-06,2022-03-26,7 wk ahead inc case,point,NA,107073
CZ,2022-02-06,2022-04-02,8 wk ahead inc case,point,NA,90016
CZ,2022-02-06,2022-04-09,9 wk ahead inc case,point,NA,75025
CZ,2022-02-06,2022-04-16,10 wk ahead inc case,point,NA,62171
CZ,2022-02-06,2022-04-23,11 wk ahead inc case,point,NA,51228
CZ,2022-02-06,2022-04-30,12 wk ahead inc case,point,NA,41860
CZ,2022-02-06,2022-05-07,13 wk ahead inc case,point,NA,33826
CZ,2022-02-06,2022-05-14,14 wk ahead inc case,point,NA,26908
CZ,2022-02-06,2022-05-21,15 wk ahead inc case,point,NA,21112
CZ,2022-02-06,2022-05-28,16 wk ahead inc case,point,NA,16546
CZ,2022-02-06,2022-06-04,17 wk ahead inc case,point,NA,12905
CZ,2022-02-06,2022-06-11,18 wk ahead inc case,point,NA,9999
CZ,2022-02-06,2022-06-18,19 wk ahead inc case,point,NA,7645
CZ,2022-02-06,2022-02-12,1 wk ahead inc death,point,NA,26
CZ,2022-02-06,2022-02-19,2 wk ahead inc death,point,NA,20
CZ,2022-02-06,2022-02-26,3 wk ahead inc death,point,NA,16
CZ,2022-02-06,2022-03-05,4 wk ahead inc death,point,NA,12
CZ,2022-02-06,2022-03-12,5 wk ahead inc death,point,NA,9
CZ,2022-02-06,2022-03-19,6 wk ahead inc death,point,NA,6
CZ,2022-02-06,2022-03-26,7 wk ahead inc death,point,NA,5
CZ,2022-02-06,2022-04-02,8 wk ahead inc death,point,NA,3
CZ,2022-02-06,2022-04-09,9 wk ahead inc death,point,NA,2
CZ,2022-02-06,2022-04-16,10 wk ahead inc death,point,NA,2
CZ,2022-02-06,2022-04-23,11 wk ahead inc death,point,NA,1
CZ,2022-02-06,2022-04-30,12 wk ahead inc death,point,NA,1
CZ,2022-02-06,2022-05-07,13 wk ahead inc death,point,NA,0
CZ,2022-02-06,2022-05-14,14 wk ahead inc death,point,NA,0
CZ,2022-02-06,2022-05-21,15 wk ahead inc death,point,NA,0
CZ,2022-02-06,2022-05-28,16 wk ahead inc death,point,NA,0
CZ,2022-02-06,2022-06-04,17 wk ahead inc death,point,NA,0
