location,forecast_date,target_end_date,target,type,quantile,value
AT,2022-01-16,2022-01-22,1 wk ahead inc case,point,NA,147646
AT,2022-01-16,2022-01-29,2 wk ahead inc case,point,NA,193492
AT,2022-01-16,2022-02-05,3 wk ahead inc case,point,NA,198069
AT,2022-01-16,2022-02-12,4 wk ahead inc case,point,NA,163561
AT,2022-01-16,2022-02-19,5 wk ahead inc case,point,NA,116795
AT,2022-01-16,2022-02-26,6 wk ahead inc case,point,NA,80834
AT,2022-01-16,2022-03-05,7 wk ahead inc case,point,NA,58606
AT,2022-01-16,2022-03-12,8 wk ahead inc case,point,NA,45344
AT,2022-01-16,2022-03-19,9 wk ahead inc case,point,NA,37016
AT,2022-01-16,2022-03-26,10 wk ahead inc case,point,NA,31478
AT,2022-01-16,2022-04-02,11 wk ahead inc case,point,NA,27799
AT,2022-01-16,2022-04-09,12 wk ahead inc case,point,NA,25628
AT,2022-01-16,2022-04-16,13 wk ahead inc case,point,NA,24857
AT,2022-01-16,2022-04-23,14 wk ahead inc case,point,NA,25508
AT,2022-01-16,2022-04-30,15 wk ahead inc case,point,NA,27707
AT,2022-01-16,2022-05-07,16 wk ahead inc case,point,NA,31684
AT,2022-01-16,2022-05-14,17 wk ahead inc case,point,NA,37744
AT,2022-01-16,2022-05-21,18 wk ahead inc case,point,NA,46173
AT,2022-01-16,2022-05-28,19 wk ahead inc case,point,NA,57037
AT,2022-01-16,2022-01-22,1 wk ahead inc death,point,NA,24
AT,2022-01-16,2022-01-29,2 wk ahead inc death,point,NA,29
AT,2022-01-16,2022-02-05,3 wk ahead inc death,point,NA,36
AT,2022-01-16,2022-02-12,4 wk ahead inc death,point,NA,44
AT,2022-01-16,2022-02-19,5 wk ahead inc death,point,NA,53
AT,2022-01-16,2022-02-26,6 wk ahead inc death,point,NA,61
AT,2022-01-16,2022-03-05,7 wk ahead inc death,point,NA,65
AT,2022-01-16,2022-03-12,8 wk ahead inc death,point,NA,62
AT,2022-01-16,2022-03-19,9 wk ahead inc death,point,NA,55
