"location","forecast_date","target_end_date","target","type","quantile","value"
"NL",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,615911
"NL",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,600328
"NL",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,509493
"PL",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,76608
"PL",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,80090
"PL",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,90411
"PL",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,108981
"PT",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,83995
"PT",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,109056
"PT",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,152035
"PT",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,216866
"RO",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,21637
"RO",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,16362
"RO",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,13281
"RO",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,11428
"SK",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,77445
"SK",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,77196
"SK",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,81604
"SK",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,90459
"SI",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,15916
"SI",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,21196
"SI",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,30685
"SI",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,46106
"ES",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,144444
"ES",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,170739
"ES",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,220074
"ES",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,304172
"SE",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,11638
"SE",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,9908
"SE",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,8661
"SE",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,8507
"IS",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,7163
"IS",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,5511
"IS",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,5691
"IS",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,7224
"NO",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,41528
"NO",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,35087
"NO",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,32835
"NO",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,33435
"CH",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,250411
"CH",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,335794
"CH",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,382365
"CH",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,346771
"GB",2022-03-13,2022-03-19,"1 wk ahead inc case","point",NA,562135
"GB",2022-03-13,2022-03-26,"2 wk ahead inc case","point",NA,841372
"GB",2022-03-13,2022-04-02,"3 wk ahead inc case","point",NA,1295818
"GB",2022-03-13,2022-04-09,"4 wk ahead inc case","point",NA,1965514
