location,forecast_date,target_end_date,target,type,quantile,value
DK,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,55412
DK,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,29876
DK,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,17234
DK,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,12124
DK,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,11236
DK,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,10431
DK,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,9866
DK,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,9384
DK,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,8919
DK,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,8480
DK,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,8093
DK,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,7738
DK,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,7404
DK,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,7089
DK,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,6789
DK,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,6500
DK,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,6214
DK,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,5923
DK,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,1
DK,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,0
DK,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,0
FI,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,38145
FI,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,40684
FI,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,47950
FI,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,56401
FI,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,61401
FI,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,56075
FI,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,44334
FI,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,31175
FI,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,21497
FI,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,16511
FI,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,15915
FI,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,19224
FI,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,22646
FI,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,26764
FI,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,31594
FI,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,37245
FI,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,43835
