location,forecast_date,target_end_date,target,type,quantile,value
AT,2022-01-30,2022-02-05,1 wk ahead inc case,point,NA,238412
AT,2022-01-30,2022-02-12,2 wk ahead inc case,point,NA,249154
AT,2022-01-30,2022-02-19,3 wk ahead inc case,point,NA,230860
AT,2022-01-30,2022-02-26,4 wk ahead inc case,point,NA,192122
AT,2022-01-30,2022-03-05,5 wk ahead inc case,point,NA,149782
AT,2022-01-30,2022-03-12,6 wk ahead inc case,point,NA,114095
AT,2022-01-30,2022-03-19,7 wk ahead inc case,point,NA,87571
AT,2022-01-30,2022-03-26,8 wk ahead inc case,point,NA,68919
AT,2022-01-30,2022-04-02,9 wk ahead inc case,point,NA,55810
AT,2022-01-30,2022-04-09,10 wk ahead inc case,point,NA,46441
AT,2022-01-30,2022-04-16,11 wk ahead inc case,point,NA,39620
AT,2022-01-30,2022-04-23,12 wk ahead inc case,point,NA,34714
AT,2022-01-30,2022-04-30,13 wk ahead inc case,point,NA,31152
AT,2022-01-30,2022-05-07,14 wk ahead inc case,point,NA,28488
AT,2022-01-30,2022-05-14,15 wk ahead inc case,point,NA,26422
AT,2022-01-30,2022-05-21,16 wk ahead inc case,point,NA,24798
AT,2022-01-30,2022-05-28,17 wk ahead inc case,point,NA,23490
AT,2022-01-30,2022-06-04,18 wk ahead inc case,point,NA,22429
AT,2022-01-30,2022-06-11,19 wk ahead inc case,point,NA,21578
AT,2022-01-30,2022-02-05,1 wk ahead inc death,point,NA,23
AT,2022-01-30,2022-02-12,2 wk ahead inc death,point,NA,22
AT,2022-01-30,2022-02-19,3 wk ahead inc death,point,NA,20
AT,2022-01-30,2022-02-26,4 wk ahead inc death,point,NA,19
AT,2022-01-30,2022-03-05,5 wk ahead inc death,point,NA,18
AT,2022-01-30,2022-03-12,6 wk ahead inc death,point,NA,17
AT,2022-01-30,2022-03-19,7 wk ahead inc death,point,NA,17
AT,2022-01-30,2022-03-26,8 wk ahead inc death,point,NA,16
AT,2022-01-30,2022-04-02,9 wk ahead inc death,point,NA,15
AT,2022-01-30,2022-04-09,10 wk ahead inc death,point,NA,14
AT,2022-01-30,2022-04-16,11 wk ahead inc death,point,NA,13
AT,2022-01-30,2022-04-23,12 wk ahead inc death,point,NA,12
AT,2022-01-30,2022-04-30,13 wk ahead inc death,point,NA,11
AT,2022-01-30,2022-05-07,14 wk ahead inc death,point,NA,10
AT,2022-01-30,2022-05-14,15 wk ahead inc death,point,NA,10
AT,2022-01-30,2022-05-21,16 wk ahead inc death,point,NA,9
AT,2022-01-30,2022-05-28,17 wk ahead inc death,point,NA,10
AT,2022-01-30,2022-06-04,18 wk ahead inc death,point,NA,10
AT,2022-01-30,2022-06-11,19 wk ahead inc death,point,NA,12
CZ,2022-01-30,2022-02-05,1 wk ahead inc case,point,NA,278110
CZ,2022-01-30,2022-02-12,2 wk ahead inc case,point,NA,323226
CZ,2022-01-30,2022-02-19,3 wk ahead inc case,point,NA,323433
CZ,2022-01-30,2022-02-26,4 wk ahead inc case,point,NA,278544
CZ,2022-01-30,2022-03-05,5 wk ahead inc case,point,NA,195010
CZ,2022-01-30,2022-03-12,6 wk ahead inc case,point,NA,94137
CZ,2022-01-30,2022-03-19,7 wk ahead inc case,point,NA,41501
CZ,2022-01-30,2022-03-26,8 wk ahead inc case,point,NA,18016
CZ,2022-01-30,2022-04-02,9 wk ahead inc case,point,NA,8370
CZ,2022-01-30,2022-04-09,10 wk ahead inc case,point,NA,4604
CZ,2022-01-30,2022-04-16,11 wk ahead inc case,point,NA,3522
CZ,2022-01-30,2022-04-23,12 wk ahead inc case,point,NA,3929
CZ,2022-01-30,2022-04-30,13 wk ahead inc case,point,NA,4322
CZ,2022-01-30,2022-05-07,14 wk ahead inc case,point,NA,4915
CZ,2022-01-30,2022-05-14,15 wk ahead inc case,point,NA,5707
CZ,2022-01-30,2022-05-21,16 wk ahead inc case,point,NA,6713
CZ,2022-01-30,2022-05-28,17 wk ahead inc case,point,NA,7947
CZ,2022-01-30,2022-06-04,18 wk ahead inc case,point,NA,9444
CZ,2022-01-30,2022-06-11,19 wk ahead inc case,point,NA,11219
CZ,2022-01-30,2022-02-05,1 wk ahead inc death,point,NA,16
CZ,2022-01-30,2022-02-12,2 wk ahead inc death,point,NA,18
CZ,2022-01-30,2022-02-19,3 wk ahead inc death,point,NA,21
CZ,2022-01-30,2022-02-26,4 wk ahead inc death,point,NA,25
CZ,2022-01-30,2022-03-05,5 wk ahead inc death,point,NA,30
