location,forecast_date,target_end_date,target,type,quantile,value
AT,2021-11-21,2021-11-27,1 wk ahead inc case,point,NA,106753
AT,2021-11-21,2021-12-04,2 wk ahead inc case,point,NA,95923
AT,2021-11-21,2021-12-11,3 wk ahead inc case,point,NA,56884
AT,2021-11-21,2021-12-18,4 wk ahead inc case,point,NA,26387
AT,2021-11-21,2021-12-25,5 wk ahead inc case,point,NA,11092
AT,2021-11-21,2022-01-01,6 wk ahead inc case,point,NA,5341
AT,2021-11-21,2022-01-08,7 wk ahead inc case,point,NA,3448
AT,2021-11-21,2022-01-15,8 wk ahead inc case,point,NA,2957
AT,2021-11-21,2022-01-22,9 wk ahead inc case,point,NA,3400
AT,2021-11-21,2022-01-29,10 wk ahead inc case,point,NA,4055
AT,2021-11-21,2022-02-05,11 wk ahead inc case,point,NA,4818
AT,2021-11-21,2022-02-12,12 wk ahead inc case,point,NA,5717
AT,2021-11-21,2022-02-19,13 wk ahead inc case,point,NA,6782
AT,2021-11-21,2022-02-26,14 wk ahead inc case,point,NA,8045
AT,2021-11-21,2022-03-05,15 wk ahead inc case,point,NA,9540
AT,2021-11-21,2022-03-12,16 wk ahead inc case,point,NA,11309
AT,2021-11-21,2022-03-19,17 wk ahead inc case,point,NA,13400
AT,2021-11-21,2022-03-26,18 wk ahead inc case,point,NA,15872
AT,2021-11-21,2022-04-02,19 wk ahead inc case,point,NA,18763
AT,2021-11-21,2021-11-27,1 wk ahead inc death,point,NA,16
AT,2021-11-21,2021-12-04,2 wk ahead inc death,point,NA,18
AT,2021-11-21,2021-12-11,3 wk ahead inc death,point,NA,20
AT,2021-11-21,2021-12-18,4 wk ahead inc death,point,NA,22
AT,2021-11-21,2021-12-25,5 wk ahead inc death,point,NA,24
AT,2021-11-21,2022-01-01,6 wk ahead inc death,point,NA,24
AT,2021-11-21,2022-01-08,7 wk ahead inc death,point,NA,23
AT,2021-11-21,2022-01-15,8 wk ahead inc death,point,NA,21
AT,2021-11-21,2022-01-22,9 wk ahead inc death,point,NA,18
AT,2021-11-21,2022-01-29,10 wk ahead inc death,point,NA,15
AT,2021-11-21,2022-02-05,11 wk ahead inc death,point,NA,12
AT,2021-11-21,2022-02-12,12 wk ahead inc death,point,NA,8
AT,2021-11-21,2022-02-19,13 wk ahead inc death,point,NA,6
AT,2021-11-21,2022-02-26,14 wk ahead inc death,point,NA,3
AT,2021-11-21,2022-03-05,15 wk ahead inc death,point,NA,2
AT,2021-11-21,2022-03-12,16 wk ahead inc death,point,NA,1
AT,2021-11-21,2022-03-19,17 wk ahead inc death,point,NA,0
AT,2021-11-21,2022-03-26,18 wk ahead inc death,point,NA,0
AT,2021-11-21,2022-04-02,19 wk ahead inc death,point,NA,0
CZ,2021-11-21,2021-11-27,1 wk ahead inc case,point,NA,117057
CZ,2021-11-21,2021-12-04,2 wk ahead inc case,point,NA,89997
CZ,2021-11-21,2021-12-11,3 wk ahead inc case,point,NA,48978
CZ,2021-11-21,2021-12-18,4 wk ahead inc case,point,NA,19759
CZ,2021-11-21,2021-12-25,5 wk ahead inc case,point,NA,6312
CZ,2021-11-21,2022-01-01,6 wk ahead inc case,point,NA,2569
CZ,2021-11-21,2022-01-08,7 wk ahead inc case,point,NA,1385
CZ,2021-11-21,2022-01-15,8 wk ahead inc case,point,NA,995
CZ,2021-11-21,2022-01-22,9 wk ahead inc case,point,NA,973
CZ,2021-11-21,2022-01-29,10 wk ahead inc case,point,NA,1186
CZ,2021-11-21,2022-02-05,11 wk ahead inc case,point,NA,1402
CZ,2021-11-21,2022-02-12,12 wk ahead inc case,point,NA,1666
CZ,2021-11-21,2022-02-19,13 wk ahead inc case,point,NA,1978
CZ,2021-11-21,2022-02-26,14 wk ahead inc case,point,NA,2349
CZ,2021-11-21,2022-03-05,15 wk ahead inc case,point,NA,2790
CZ,2021-11-21,2022-03-12,16 wk ahead inc case,point,NA,3313
CZ,2021-11-21,2022-03-19,17 wk ahead inc case,point,NA,3934
CZ,2021-11-21,2022-03-26,18 wk ahead inc case,point,NA,4671
CZ,2021-11-21,2022-04-02,19 wk ahead inc case,point,NA,5545
CZ,2021-11-21,2021-11-27,1 wk ahead inc death,point,NA,22
CZ,2021-11-21,2021-12-04,2 wk ahead inc death,point,NA,26
CZ,2021-11-21,2021-12-11,3 wk ahead inc death,point,NA,30
CZ,2021-11-21,2021-12-18,4 wk ahead inc death,point,NA,34
CZ,2021-11-21,2021-12-25,5 wk ahead inc death,point,NA,40
CZ,2021-11-21,2022-01-01,6 wk ahead inc death,point,NA,47
CZ,2021-11-21,2022-01-08,7 wk ahead inc death,point,NA,55
CZ,2021-11-21,2022-01-15,8 wk ahead inc death,point,NA,65
CZ,2021-11-21,2022-01-22,9 wk ahead inc death,point,NA,78
CZ,2021-11-21,2022-01-29,10 wk ahead inc death,point,NA,93
CZ,2021-11-21,2022-02-05,11 wk ahead inc death,point,NA,109
CZ,2021-11-21,2022-02-12,12 wk ahead inc death,point,NA,128
CZ,2021-11-21,2022-02-19,13 wk ahead inc death,point,NA,152
CZ,2021-11-21,2022-02-26,14 wk ahead inc death,point,NA,177
CZ,2021-11-21,2022-03-05,15 wk ahead inc death,point,NA,201
CZ,2021-11-21,2022-03-12,16 wk ahead inc death,point,NA,217
CZ,2021-11-21,2022-03-19,17 wk ahead inc death,point,NA,219
CZ,2021-11-21,2022-03-26,18 wk ahead inc death,point,NA,203
CZ,2021-11-21,2022-04-02,19 wk ahead inc death,point,NA,169
DK,2021-11-21,2021-11-27,1 wk ahead inc case,point,NA,31796
DK,2021-11-21,2021-12-04,2 wk ahead inc case,point,NA,37141
DK,2021-11-21,2021-12-11,3 wk ahead inc case,point,NA,43782
DK,2021-11-21,2021-12-18,4 wk ahead inc case,point,NA,51539
DK,2021-11-21,2021-12-25,5 wk ahead inc case,point,NA,60528
DK,2021-11-21,2022-01-01,6 wk ahead inc case,point,NA,68716
DK,2021-11-21,2022-01-08,7 wk ahead inc case,point,NA,60090
DK,2021-11-21,2022-01-15,8 wk ahead inc case,point,NA,40770
DK,2021-11-21,2022-01-22,9 wk ahead inc case,point,NA,22771
DK,2021-11-21,2022-01-29,10 wk ahead inc case,point,NA,11875
DK,2021-11-21,2022-02-05,11 wk ahead inc case,point,NA,7121
DK,2021-11-21,2022-02-12,12 wk ahead inc case,point,NA,5764
DK,2021-11-21,2022-02-19,13 wk ahead inc case,point,NA,6326
DK,2021-11-21,2022-02-26,14 wk ahead inc case,point,NA,7596
DK,2021-11-21,2022-03-05,15 wk ahead inc case,point,NA,9001
DK,2021-11-21,2022-03-12,16 wk ahead inc case,point,NA,10661
DK,2021-11-21,2022-03-19,17 wk ahead inc case,point,NA,12621
DK,2021-11-21,2022-03-26,18 wk ahead inc case,point,NA,14931
