date,location,location_name,value
2020-09-25,BE,Belgium,74
2020-09-26,BE,Belgium,54
2020-09-27,BE,Belgium,51
2020-09-28,BE,Belgium,74
2020-09-29,BE,Belgium,91
2020-09-30,BE,Belgium,89
2020-10-01,BE,Belgium,90
2020-10-02,BE,Belgium,75
2020-10-03,BE,Belgium,79
2020-10-04,BE,Belgium,91
2020-10-05,BE,Belgium,91
2020-10-06,BE,Belgium,113
2020-10-07,BE,Belgium,145
2020-10-08,BE,Belgium,131
2020-10-09,BE,Belgium,151
2020-10-10,BE,Belgium,165
2020-10-11,BE,Belgium,141
2020-10-12,BE,Belgium,179
2020-10-13,BE,Belgium,224
2020-10-14,BE,Belgium,266
2020-10-15,BE,Belgium,292
2020-10-16,BE,Belgium,252
2020-10-17,BE,Belgium,365
2020-10-18,BE,Belgium,271
2020-10-19,BE,Belgium,274
2020-10-20,BE,Belgium,428
2020-10-21,BE,Belgium,437
2020-10-22,BE,Belgium,520
2020-10-23,BE,Belgium,617
2020-10-24,BE,Belgium,610
2020-10-25,BE,Belgium,529
2020-10-26,BE,Belgium,545
2020-10-27,BE,Belgium,707
2020-10-28,BE,Belgium,759
2020-10-29,BE,Belgium,688
2020-10-30,BE,Belgium,748
2020-10-31,BE,Belgium,707
2020-11-01,BE,Belgium,578
2020-11-02,BE,Belgium,612
2020-11-03,BE,Belgium,899
2020-11-04,BE,Belgium,675
2020-11-05,BE,Belgium,577
2020-11-06,BE,Belgium,606
2020-11-07,BE,Belgium,516
2020-11-08,BE,Belgium,415
2020-11-09,BE,Belgium,443
2020-11-10,BE,Belgium,618
2020-11-11,BE,Belgium,565
2020-11-12,BE,Belgium,414
2020-11-13,BE,Belgium,526
2020-11-14,BE,Belgium,461
2020-11-15,BE,Belgium,305
2020-11-16,BE,Belgium,285
2020-11-17,BE,Belgium,380
2020-11-18,BE,Belgium,358
2020-11-19,BE,Belgium,363
2020-11-20,BE,Belgium,323
2020-11-21,BE,Belgium,261
2020-11-22,BE,Belgium,215
2020-11-23,BE,Belgium,211
2020-11-24,BE,Belgium,305
2020-11-25,BE,Belgium,285
2020-11-26,BE,Belgium,257
2020-11-27,BE,Belgium,234
2020-11-28,BE,Belgium,225
2020-11-29,BE,Belgium,149
2020-11-30,BE,Belgium,123
2020-12-01,BE,Belgium,208
2020-12-02,BE,Belgium,238
2020-12-03,BE,Belgium,196
2020-12-04,BE,Belgium,219
2020-12-05,BE,Belgium,226
2020-12-06,BE,Belgium,151
2020-12-07,BE,Belgium,147
2020-12-08,BE,Belgium,215
2020-12-09,BE,Belgium,185
2020-12-10,BE,Belgium,207
2020-12-11,BE,Belgium,184
2020-12-12,BE,Belgium,185
2020-12-13,BE,Belgium,187
2020-12-14,BE,Belgium,125
2020-12-15,BE,Belgium,225
2020-12-16,BE,Belgium,201
2020-12-17,BE,Belgium,208
2020-12-18,BE,Belgium,201
2020-12-19,BE,Belgium,198
2020-12-20,BE,Belgium,133
2020-12-21,BE,Belgium,139
2020-12-22,BE,Belgium,219
2020-12-23,BE,Belgium,190
2020-12-24,BE,Belgium,211
2020-12-25,BE,Belgium,151
2020-12-26,BE,Belgium,95
2020-12-27,BE,Belgium,158
2020-12-28,BE,Belgium,150
2020-12-29,BE,Belgium,208
2020-12-30,BE,Belgium,159
2020-12-31,BE,Belgium,145
2021-01-01,BE,Belgium,150
2021-01-02,BE,Belgium,110
2021-01-03,BE,Belgium,137
2021-01-04,BE,Belgium,110
2021-01-05,BE,Belgium,149
2021-01-06,BE,Belgium,145
2021-01-07,BE,Belgium,156
2021-01-08,BE,Belgium,141
2021-01-09,BE,Belgium,137
2021-01-10,BE,Belgium,85
2021-01-11,BE,Belgium,94
2021-01-12,BE,Belgium,139
2021-01-13,BE,Belgium,142
2021-01-14,BE,Belgium,133
2021-01-15,BE,Belgium,142
2021-01-16,BE,Belgium,111
2021-01-17,BE,Belgium,79
2021-01-18,BE,Belgium,105
2021-01-19,BE,Belgium,187
2021-01-20,BE,Belgium,144
2021-01-21,BE,Belgium,148
2021-01-22,BE,Belgium,158
2021-01-23,BE,Belgium,143
2021-01-24,BE,Belgium,106
2021-01-25,BE,Belgium,92
2021-01-26,BE,Belgium,153
2021-01-27,BE,Belgium,121
2021-01-28,BE,Belgium,138
2021-01-29,BE,Belgium,119
2021-01-30,BE,Belgium,137
2021-01-31,BE,Belgium,77
2021-02-01,BE,Belgium,128
2021-02-02,BE,Belgium,142
2021-02-03,BE,Belgium,142
2021-02-04,BE,Belgium,141
2021-02-05,BE,Belgium,144
2021-02-06,BE,Belgium,123
2021-02-07,BE,Belgium,108
2021-02-08,BE,Belgium,72
2021-02-09,BE,Belgium,163
2021-02-10,BE,Belgium,132
2021-02-11,BE,Belgium,137
2021-02-12,BE,Belgium,132
2021-02-13,BE,Belgium,107
2021-02-14,BE,Belgium,91
2021-02-15,BE,Belgium,84
2021-02-16,BE,Belgium,145
2021-02-17,BE,Belgium,141
2021-02-18,BE,Belgium,142
2021-02-19,BE,Belgium,125
2021-02-20,BE,Belgium,112
2021-02-21,BE,Belgium,88
2021-02-22,BE,Belgium,115
2021-02-23,BE,Belgium,155
2021-02-24,BE,Belgium,150
2021-02-25,BE,Belgium,142
2021-02-26,BE,Belgium,204
2021-02-27,BE,Belgium,156
2021-02-28,BE,Belgium,127
2021-03-01,BE,Belgium,107
2021-03-02,BE,Belgium,176
2021-03-03,BE,Belgium,152
2021-03-04,BE,Belgium,171
2021-03-05,BE,Belgium,152
2021-03-06,BE,Belgium,141
2021-03-07,BE,Belgium,122
2021-03-08,BE,Belgium,113
2021-03-09,BE,Belgium,202
2021-03-12,BE,Belgium,170
