location_name,location,date,value,source,snapshot_date,status
Austria,AT,2020-01-04,0,ECDC,2022-08-12,final
Austria,AT,2020-01-11,0,ECDC,2022-08-12,final
Austria,AT,2020-01-18,0,ECDC,2022-08-12,final
Austria,AT,2020-01-25,0,ECDC,2022-08-12,final
Austria,AT,2020-02-01,0,ECDC,2022-08-12,final
Austria,AT,2020-02-08,0,ECDC,2022-08-12,final
Austria,AT,2020-02-15,0,ECDC,2022-08-12,final
Austria,AT,2020-02-22,0,ECDC,2022-08-12,final
Austria,AT,2020-02-29,0,ECDC,2022-08-12,final
Austria,AT,2020-03-07,0,ECDC,2022-08-12,final
Austria,AT,2020-03-14,3,ECDC,2022-08-12,final
Austria,AT,2020-03-21,31,ECDC,2022-08-12,final
Austria,AT,2020-03-28,100,ECDC,2022-08-12,final
Austria,AT,2020-04-04,131,ECDC,2022-08-12,final
Austria,AT,2020-04-11,151,ECDC,2022-08-12,final
Austria,AT,2020-04-18,121,ECDC,2022-08-12,final
Austria,AT,2020-04-25,78,ECDC,2022-08-12,final
Austria,AT,2020-05-02,51,ECDC,2022-08-12,final
Austria,AT,2020-05-09,32,ECDC,2022-08-12,final
Austria,AT,2020-05-16,14,ECDC,2022-08-12,final
Austria,AT,2020-05-23,18,ECDC,2022-08-12,final
Austria,AT,2020-05-30,15,ECDC,2022-08-12,final
Austria,AT,2020-06-06,15,ECDC,2022-08-12,final
Austria,AT,2020-06-13,16,ECDC,2022-08-12,final
Austria,AT,2020-06-20,17,ECDC,2022-08-12,final
Austria,AT,2020-06-27,17,ECDC,2022-08-12,final
Austria,AT,2020-07-04,9,ECDC,2022-08-12,final
Austria,AT,2020-07-11,7,ECDC,2022-08-12,final
Austria,AT,2020-07-18,10,ECDC,2022-08-12,final
Austria,AT,2020-07-25,8,ECDC,2022-08-12,final
Austria,AT,2020-08-01,17,ECDC,2022-08-12,final
Austria,AT,2020-08-08,12,ECDC,2022-08-12,final
Austria,AT,2020-08-15,10,ECDC,2022-08-12,final
Austria,AT,2020-08-22,13,ECDC,2022-08-12,final
Austria,AT,2020-08-29,6,ECDC,2022-08-12,final
Austria,AT,2020-09-05,16,ECDC,2022-08-12,final
Austria,AT,2020-09-12,15,ECDC,2022-08-12,final
Austria,AT,2020-09-19,24,ECDC,2022-08-12,final
