location_name,location,date,value,source,snapshot_date,status
Austria,AT,2020-01-04,0,ECDC,2022-08-12,final
Austria,AT,2020-01-11,0,ECDC,2022-08-12,final
Austria,AT,2020-01-18,0,ECDC,2022-08-12,final
Austria,AT,2020-01-25,0,ECDC,2022-08-12,final
Austria,AT,2020-02-01,0,ECDC,2022-08-12,final
Austria,AT,2020-02-08,0,ECDC,2022-08-12,final
Austria,AT,2020-02-15,0,ECDC,2022-08-12,final
Austria,AT,2020-02-22,0,ECDC,2022-08-12,final
Austria,AT,2020-02-29,12,ECDC,2022-08-12,final
Austria,AT,2020-03-07,114,ECDC,2022-08-12,final
Austria,AT,2020-03-14,873,ECDC,2022-08-12,final
Austria,AT,2020-03-21,3074,ECDC,2022-08-12,final
Austria,AT,2020-03-28,5191,ECDC,2022-08-12,final
Austria,AT,2020-04-04,3056,ECDC,2022-08-12,final
Austria,AT,2020-04-11,1832,ECDC,2022-08-12,final
Austria,AT,2020-04-18,684,ECDC,2022-08-12,final
Austria,AT,2020-04-25,447,ECDC,2022-08-12,final
Austria,AT,2020-05-02,311,ECDC,2022-08-12,final
Austria,AT,2020-05-09,264,ECDC,2022-08-12,final
Austria,AT,2020-05-16,331,ECDC,2022-08-12,final
Austria,AT,2020-05-23,263,ECDC,2022-08-12,final
Austria,AT,2020-05-30,195,ECDC,2022-08-12,final
Austria,AT,2020-06-06,228,ECDC,2022-08-12,final
Austria,AT,2020-06-13,172,ECDC,2022-08-12,final
Austria,AT,2020-06-20,248,ECDC,2022-08-12,final
Austria,AT,2020-06-27,334,ECDC,2022-08-12,final
Austria,AT,2020-07-04,641,ECDC,2022-08-12,final
Austria,AT,2020-07-11,596,ECDC,2022-08-12,final
Austria,AT,2020-07-18,784,ECDC,2022-08-12,final
Austria,AT,2020-07-25,872,ECDC,2022-08-12,final
Austria,AT,2020-08-01,796,ECDC,2022-08-12,final
Austria,AT,2020-08-08,720,ECDC,2022-08-12,final
Austria,AT,2020-08-15,1460,ECDC,2022-08-12,final
Austria,AT,2020-08-22,1913,ECDC,2022-08-12,final
Austria,AT,2020-08-29,1945,ECDC,2022-08-12,final
Austria,AT,2020-09-05,2265,ECDC,2022-08-12,final
Austria,AT,2020-09-12,3996,ECDC,2022-08-12,final
