location_name,location,date,value,source,snapshot_date,status
Austria,AT,2021-12-04,752,ECDC,2024-09-06,final
Austria,AT,2021-12-11,441,ECDC,2024-09-06,final
Austria,AT,2021-12-18,327,ECDC,2024-09-06,final
Austria,AT,2021-12-25,209,ECDC,2024-09-06,final
Austria,AT,2022-01-01,225,ECDC,2024-09-06,final
Austria,AT,2022-01-08,276,ECDC,2024-09-06,final
Austria,AT,2022-01-15,391,ECDC,2024-09-06,final
Austria,AT,2022-01-22,486,ECDC,2024-09-06,final
Austria,AT,2022-01-29,621,ECDC,2024-09-06,final
Austria,AT,2022-02-05,711,ECDC,2024-09-06,final
Austria,AT,2022-02-12,707,ECDC,2024-09-06,final
Austria,AT,2022-02-19,763,ECDC,2024-09-06,final
Austria,AT,2022-02-26,752,ECDC,2024-09-06,final
Austria,AT,2022-03-05,786,ECDC,2024-09-06,final
Austria,AT,2022-03-12,875,ECDC,2024-09-06,final
Austria,AT,2022-03-19,870,ECDC,2024-09-06,final
Austria,AT,2022-03-26,953,ECDC,2024-09-06,final
Austria,AT,2022-04-02,743,ECDC,2024-09-06,final
Austria,AT,2022-04-09,569,ECDC,2024-09-06,final
Austria,AT,2022-04-16,457,ECDC,2024-09-06,final
Austria,AT,2022-04-23,331,ECDC,2024-09-06,final
Austria,AT,2022-04-30,332,ECDC,2024-09-06,final
Austria,AT,2022-05-07,287,ECDC,2024-09-06,final
Austria,AT,2022-05-14,230,ECDC,2024-09-06,final
Austria,AT,2022-05-21,173,ECDC,2024-09-06,final
Austria,AT,2022-05-28,170,ECDC,2024-09-06,final
Austria,AT,2022-06-04,205,ECDC,2024-09-06,final
Austria,AT,2022-06-11,191,ECDC,2024-09-06,final
Austria,AT,2022-06-18,269,ECDC,2024-09-06,final
Austria,AT,2022-06-25,377,ECDC,2024-09-06,final
Austria,AT,2022-07-02,409,ECDC,2024-09-06,final
Austria,AT,2022-07-09,449,ECDC,2024-09-06,final
Austria,AT,2022-07-16,609,ECDC,2024-09-06,final
Austria,AT,2022-07-23,559,ECDC,2024-09-06,final
Austria,AT,2022-07-30,469,ECDC,2024-09-06,final
Austria,AT,2022-08-06,298,ECDC,2024-09-06,final
Austria,AT,2022-08-13,249,ECDC,2024-09-06,final
Austria,AT,2022-08-20,310,ECDC,2024-09-06,final
Austria,AT,2022-08-27,261,ECDC,2024-09-06,final
Austria,AT,2022-09-03,242,ECDC,2024-09-06,final
Austria,AT,2022-09-10,222,ECDC,2024-09-06,final
Austria,AT,2022-09-17,296,ECDC,2024-09-06,final
Austria,AT,2022-09-24,385,ECDC,2024-09-06,final
Austria,AT,2022-10-01,423,ECDC,2024-09-06,final
Austria,AT,2022-10-08,25,ECDC,2024-09-06,final
Austria,AT,2022-10-15,238,ECDC,2024-09-06,final
Austria,AT,2022-10-22,184,ECDC,2024-09-06,final
Austria,AT,2022-10-29,166,ECDC,2024-09-06,final
Austria,AT,2022-11-05,140,ECDC,2024-09-06,final
Austria,AT,2022-11-12,149,ECDC,2024-09-06,final
Austria,AT,2022-11-19,141,ECDC,2024-09-06,final
Austria,AT,2022-11-26,148,ECDC,2024-09-06,final
Austria,AT,2022-12-03,128,ECDC,2024-09-06,final
Austria,AT,2022-12-10,158,ECDC,2024-09-06,final
Austria,AT,2022-12-17,160,ECDC,2024-09-06,final
Austria,AT,2022-12-24,167,ECDC,2024-09-06,final
Austria,AT,2022-12-31,111,ECDC,2024-09-06,final
Austria,AT,2023-01-07,126,ECDC,2024-09-06,final
Austria,AT,2023-01-14,68,ECDC,2024-09-06,final
Austria,AT,2023-01-21,68,ECDC,2024-09-06,final
Austria,AT,2023-01-28,85,ECDC,2024-09-06,final
Austria,AT,2023-02-04,76,ECDC,2024-09-06,final
Austria,AT,2023-02-11,91,ECDC,2024-09-06,final
Austria,AT,2023-02-18,122,ECDC,2024-09-06,final
Austria,AT,2023-02-25,113,ECDC,2024-09-06,final
Austria,AT,2023-03-04,72,ECDC,2024-09-06,final
Austria,AT,2023-03-11,102,ECDC,2024-09-06,final
Austria,AT,2023-03-18,73,ECDC,2024-09-06,final
Austria,AT,2023-03-25,67,ECDC,2024-09-06,final
Austria,AT,2023-04-01,30,ECDC,2024-09-06,final
Austria,AT,2023-04-08,15,ECDC,2024-09-06,final
Austria,AT,2023-04-15,14,ECDC,2024-09-06,final
Austria,AT,2023-04-22,4,ECDC,2024-09-06,final
Austria,AT,2023-04-29,4,ECDC,2024-09-06,final
Austria,AT,2023-05-06,1,ECDC,2024-09-06,final
Austria,AT,2023-05-13,4,ECDC,2024-09-06,final
Austria,AT,2023-05-20,2,ECDC,2024-09-06,final
Austria,AT,2023-05-27,3,ECDC,2024-09-06,final
Austria,AT,2023-06-03,4,ECDC,2024-09-06,final
Austria,AT,2023-06-10,2,ECDC,2024-09-06,final
Austria,AT,2023-06-17,1,ECDC,2024-09-06,final
Belgium,BE,2020-03-14,1524,ECDC,2024-09-06,final
Belgium,BE,2020-03-21,1499,ECDC,2024-09-06,final
Belgium,BE,2020-03-28,3499,ECDC,2024-09-06,final
Belgium,BE,2020-04-04,3571,ECDC,2024-09-06,final
Belgium,BE,2020-04-11,2830,ECDC,2024-09-06,final
Belgium,BE,2020-04-18,1925,ECDC,2024-09-06,final
Belgium,BE,2020-04-25,1420,ECDC,2024-09-06,final
Belgium,BE,2020-05-02,910,ECDC,2024-09-06,final
Belgium,BE,2020-05-09,664,ECDC,2024-09-06,final
Belgium,BE,2020-05-16,443,ECDC,2024-09-06,final
Belgium,BE,2020-05-23,375,ECDC,2024-09-06,final
Belgium,BE,2020-05-30,255,ECDC,2024-09-06,final
Belgium,BE,2020-06-06,198,ECDC,2024-09-06,final
Belgium,BE,2020-06-13,147,ECDC,2024-09-06,final
Belgium,BE,2020-06-20,130,ECDC,2024-09-06,final
Belgium,BE,2020-06-27,104,ECDC,2024-09-06,final
Belgium,BE,2020-07-04,82,ECDC,2024-09-06,final
Belgium,BE,2020-07-11,71,ECDC,2024-09-06,final
Belgium,BE,2020-07-18,107,ECDC,2024-09-06,final
Belgium,BE,2020-07-25,153,ECDC,2024-09-06,final
Belgium,BE,2020-08-01,211,ECDC,2024-09-06,final
Belgium,BE,2020-08-08,226,ECDC,2024-09-06,final
Belgium,BE,2020-08-15,279,ECDC,2024-09-06,final
Belgium,BE,2020-08-22,200,ECDC,2024-09-06,final
Belgium,BE,2020-08-29,112,ECDC,2024-09-06,final
Belgium,BE,2020-09-05,140,ECDC,2024-09-06,final
Belgium,BE,2020-09-12,228,ECDC,2024-09-06,final
Belgium,BE,2020-09-19,345,ECDC,2024-09-06,final
Belgium,BE,2020-09-26,483,ECDC,2024-09-06,final
Belgium,BE,2020-10-03,589,ECDC,2024-09-06,final
Belgium,BE,2020-10-10,937,ECDC,2024-09-06,final
Belgium,BE,2020-10-17,1849,ECDC,2024-09-06,final
