model,location,truth_data_source,starting_from
KITCOVIDhub-median_ensemble,GM04,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM05,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM06,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM07,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM08,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM09,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM10,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM11,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM12,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM13,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM14,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM15,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,GM16,ECDC,2020-01-01
KITCOVIDhub-median_ensemble,PL,ECDC,2020-01-01
UCLA-SuEIR,GM,JHU,2020-01-01
MIMUW-StochSEIR,PL,JHU,2020-01-01
ITWW-county_repro,GM,ECDC,2020-01-01
ITWW-county_repro,GM01,ECDC,2020-01-01
ITWW-county_repro,GM02,ECDC,2020-01-01
ITWW-county_repro,GM03,ECDC,2020-01-01
ITWW-county_repro,GM04,ECDC,2020-01-01
ITWW-county_repro,GM05,ECDC,2020-01-01
ITWW-county_repro,GM06,ECDC,2020-01-01
ITWW-county_repro,GM07,ECDC,2020-01-01
ITWW-county_repro,GM08,ECDC,2020-01-01
ITWW-county_repro,GM09,ECDC,2020-01-01
ITWW-county_repro,GM10,ECDC,2020-01-01
ITWW-county_repro,GM11,ECDC,2020-01-01
ITWW-county_repro,GM12,ECDC,2020-01-01
ITWW-county_repro,GM13,ECDC,2020-01-01
ITWW-county_repro,GM14,ECDC,2020-01-01
ITWW-county_repro,GM15,ECDC,2020-01-01
ITWW-county_repro,GM16,ECDC,2020-01-01
ITWW-county_repro,PL,ECDC,2020-01-01
epiforecasts-EpiExpert,GM,ECDC,2020-01-01
epiforecasts-EpiExpert,PL,ECDC,2020-01-01
epiforecasts-EpiNow2,GM,ECDC,2020-01-01
epiforecasts-EpiNow2,PL,ECDC,2020-01-01
ITWW-county_repro,PL,ECDC,2020-01-01
ITWW-county_repro,PL72,ECDC,2020-01-01
ITWW-county_repro,PL73,ECDC,2020-01-01
ITWW-county_repro,PL74,ECDC,2020-01-01
ITWW-county_repro,PL75,ECDC,2020-01-01
ITWW-county_repro,PL76,ECDC,2020-01-01
ITWW-county_repro,PL77,ECDC,2020-01-01
ITWW-county_repro,PL78,ECDC,2020-01-01
ITWW-county_repro,PL79,ECDC,2020-01-01
ITWW-county_repro,PL80,ECDC,2020-01-01
ITWW-county_repro,PL81,ECDC,2020-01-01
ITWW-county_repro,PL82,ECDC,2020-01-01
ITWW-county_repro,PL83,ECDC,2020-01-01
ITWW-county_repro,PL84,ECDC,2020-01-01
ITWW-county_repro,PL85,ECDC,2020-01-01
ITWW-county_repro,PL86,ECDC,2020-01-01
ITWW-county_repro,PL87,ECDC,2020-01-01
KIT-baseline,PL72,ECDC,2020-01-01
KIT-baseline,PL73,ECDC,2020-01-01
KIT-baseline,PL74,ECDC,2020-01-01
KIT-baseline,PL75,ECDC,2020-01-01
KIT-baseline,PL76,ECDC,2020-01-01
KIT-baseline,PL77,ECDC,2020-01-01
KIT-baseline,PL78,ECDC,2020-01-01
KIT-baseline,PL79,ECDC,2020-01-01
KIT-baseline,PL80,ECDC,2020-01-01
KIT-baseline,PL81,ECDC,2020-01-01
KIT-baseline,PL82,ECDC,2020-01-01
KIT-baseline,PL83,ECDC,2020-01-01
KIT-baseline,PL84,ECDC,2020-01-01
KIT-baseline,PL85,ECDC,2020-01-01
KIT-baseline,PL86,ECDC,2020-01-01
KIT-baseline,PL87,ECDC,2020-01-01
USC-SIkJalpha,PL72,ECDC,2020-01-01
USC-SIkJalpha,PL73,ECDC,2020-01-01
USC-SIkJalpha,PL74,ECDC,2020-01-01
USC-SIkJalpha,PL75,ECDC,2020-01-01
USC-SIkJalpha,PL76,ECDC,2020-01-01
USC-SIkJalpha,PL77,ECDC,2020-01-01
USC-SIkJalpha,PL78,ECDC,2020-01-01
USC-SIkJalpha,PL79,ECDC,2020-01-01
USC-SIkJalpha,PL80,ECDC,2020-01-01
USC-SIkJalpha,PL81,ECDC,2020-01-01
USC-SIkJalpha,PL82,ECDC,2020-01-01
USC-SIkJalpha,PL83,ECDC,2020-01-01
USC-SIkJalpha,PL84,ECDC,2020-01-01
USC-SIkJalpha,PL85,ECDC,2020-01-01
USC-SIkJalpha,PL86,ECDC,2020-01-01
USC-SIkJalpha,PL87,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM01,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM02,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM03,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM04,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM05,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM06,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM07,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM08,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM09,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM10,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM11,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM12,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM13,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM14,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM15,ECDC,2020-01-01
LeipzigIMISE-SECIR,GM16,ECDC,2020-01-01
KIT-time_series_baseline,GM,ECDC,2020-01-01
KIT-time_series_baseline,GM01,ECDC,2020-01-01
KIT-time_series_baseline,GM02,ECDC,2020-01-01
KIT-time_series_baseline,GM03,ECDC,2020-01-01
KIT-time_series_baseline,GM04,ECDC,2020-01-01
KIT-time_series_baseline,GM05,ECDC,2020-01-01
KIT-time_series_baseline,GM06,ECDC,2020-01-01
KIT-time_series_baseline,GM07,ECDC,2020-01-01
KIT-time_series_baseline,GM08,ECDC,2020-01-01
KIT-time_series_baseline,GM09,ECDC,2020-01-01
KIT-time_series_baseline,GM10,ECDC,2020-01-01
KIT-time_series_baseline,GM11,ECDC,2020-01-01
KIT-time_series_baseline,GM12,ECDC,2020-01-01
KIT-time_series_baseline,GM13,ECDC,2020-01-01
KIT-time_series_baseline,GM14,ECDC,2020-01-01
KIT-time_series_baseline,GM15,ECDC,2020-01-01
KIT-time_series_baseline,GM16,ECDC,2020-01-01
KIT-time_series_baseline,PL72,ECDC,2020-01-01
KIT-time_series_baseline,PL73,ECDC,2020-01-01
KIT-time_series_baseline,PL74,ECDC,2020-01-01
KIT-time_series_baseline,PL75,ECDC,2020-01-01
KIT-time_series_baseline,PL76,ECDC,2020-01-01
KIT-time_series_baseline,PL77,ECDC,2020-01-01
KIT-time_series_baseline,PL78,ECDC,2020-01-01
KIT-time_series_baseline,PL79,ECDC,2020-01-01
KIT-time_series_baseline,PL80,ECDC,2020-01-01
KIT-time_series_baseline,PL81,ECDC,2020-01-01
KIT-time_series_baseline,PL82,ECDC,2020-01-01
KIT-time_series_baseline,PL83,ECDC,2020-01-01
KIT-time_series_baseline,PL84,ECDC,2020-01-01
KIT-time_series_baseline,PL85,ECDC,2020-01-01
KIT-time_series_baseline,PL86,ECDC,2020-01-01
KIT-time_series_baseline,PL87,ECDC,2020-01-01
KIT-time_series_baseline,PL,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM01,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM02,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM03,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM04,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM05,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM06,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM07,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM08,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM09,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM10,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM11,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM12,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM13,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM14,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM15,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,GM16,ECDC,2020-01-01
KITCOVIDhub-inverse_wis_ensemble,PL,ECDC,2020-01-01
Karlen-pypm,GM,ECDC,2020-01-01
Karlen-pypm,GM01,ECDC,2020-01-01
Karlen-pypm,GM02,ECDC,2020-01-01
Karlen-pypm,GM03,ECDC,2020-01-01
Karlen-pypm,GM04,ECDC,2020-01-01
Karlen-pypm,GM05,ECDC,2020-01-01
Karlen-pypm,GM06,ECDC,2020-01-01
Karlen-pypm,GM07,ECDC,2020-01-01
Karlen-pypm,GM08,ECDC,2020-01-01
Karlen-pypm,GM09,ECDC,2020-01-01
Karlen-pypm,GM10,ECDC,2020-01-01
Karlen-pypm,GM11,ECDC,2020-01-01
Karlen-pypm,GM12,ECDC,2020-01-01
Karlen-pypm,GM13,ECDC,2020-01-01
Karlen-pypm,GM14,ECDC,2020-01-01
Karlen-pypm,GM15,ECDC,2020-01-01
Karlen-pypm,GM16,ECDC,2020-01-01
Karlen-pypm,PL72,ECDC,2020-01-01
Karlen-pypm,PL73,ECDC,2020-01-01
Karlen-pypm,PL74,ECDC,2020-01-01
Karlen-pypm,PL75,ECDC,2020-01-01
Karlen-pypm,PL76,ECDC,2020-01-01
Karlen-pypm,PL77,ECDC,2020-01-01
Karlen-pypm,PL78,ECDC,2020-01-01
Karlen-pypm,PL79,ECDC,2020-01-01
Karlen-pypm,PL80,ECDC,2020-01-01
Karlen-pypm,PL81,ECDC,2020-01-01
Karlen-pypm,PL82,ECDC,2020-01-01
Karlen-pypm,PL83,ECDC,2020-01-01
Karlen-pypm,PL84,ECDC,2020-01-01
Karlen-pypm,PL85,ECDC,2020-01-01
Karlen-pypm,PL86,ECDC,2020-01-01
Karlen-pypm,PL87,ECDC,2020-01-01
Karlen-pypm,PL,ECDC,2020-01-01
KIT-extrapolation_baseline,GM,ECDC,2020-01-01
KIT-extrapolation_baseline,GM01,ECDC,2020-01-01
KIT-extrapolation_baseline,GM02,ECDC,2020-01-01
KIT-extrapolation_baseline,GM03,ECDC,2020-01-01
KIT-extrapolation_baseline,GM04,ECDC,2020-01-01
KIT-extrapolation_baseline,GM05,ECDC,2020-01-01
KIT-extrapolation_baseline,GM06,ECDC,2020-01-01
KIT-extrapolation_baseline,GM07,ECDC,2020-01-01
KIT-extrapolation_baseline,GM08,ECDC,2020-01-01
KIT-extrapolation_baseline,GM09,ECDC,2020-01-01
KIT-extrapolation_baseline,GM10,ECDC,2020-01-01
KIT-extrapolation_baseline,GM11,ECDC,2020-01-01
KIT-extrapolation_baseline,GM12,ECDC,2020-01-01
KIT-extrapolation_baseline,GM13,ECDC,2020-01-01
KIT-extrapolation_baseline,GM14,ECDC,2020-01-01
KIT-extrapolation_baseline,GM15,ECDC,2020-01-01
KIT-extrapolation_baseline,GM16,ECDC,2020-01-01
KIT-extrapolation_baseline,PL72,ECDC,2020-01-01
KIT-extrapolation_baseline,PL73,ECDC,2020-01-01
KIT-extrapolation_baseline,PL74,ECDC,2020-01-01
KIT-extrapolation_baseline,PL75,ECDC,2020-01-01
KIT-extrapolation_baseline,PL76,ECDC,2020-01-01
KIT-extrapolation_baseline,PL77,ECDC,2020-01-01
KIT-extrapolation_baseline,PL78,ECDC,2020-01-01
KIT-extrapolation_baseline,PL79,ECDC,2020-01-01
KIT-extrapolation_baseline,PL80,ECDC,2020-01-01
KIT-extrapolation_baseline,PL81,ECDC,2020-01-01
KIT-extrapolation_baseline,PL82,ECDC,2020-01-01
KIT-extrapolation_baseline,PL83,ECDC,2020-01-01
KIT-extrapolation_baseline,PL84,ECDC,2020-01-01
KIT-extrapolation_baseline,PL85,ECDC,2020-01-01
KIT-extrapolation_baseline,PL86,ECDC,2020-01-01
KIT-extrapolation_baseline,PL87,ECDC,2020-01-01
KIT-extrapolation_baseline,PL,ECDC,2020-01-01
epiforecasts-EpiNow2_secondary ,GM,ECDC,2020-01-01
epiforecasts-EpiNow2_secondary ,PL,ECDC,2020-01-01
itwm-dSEIR,GM,ECDC,2020-01-01
Geneva-DeterministicGrowth,GM,JHU,2020-12-16
Geneva-DeterministicGrowth,PL,JHU,2020-12-16
