epi_week,epi_year,date,location,location_name,cum_death,inc_death,cum_case,inc_case
5,2020,2020-02-01,GM,Germany,0,0,8,8
6,2020,2020-02-08,GM,Germany,0,0,13,5
7,2020,2020-02-15,GM,Germany,0,0,16,3
8,2020,2020-02-22,GM,Germany,0,0,16,0
9,2020,2020-02-29,GM,Germany,0,0,79,63
10,2020,2020-03-07,GM,Germany,0,0,799,720
11,2020,2020-03-14,GM,Germany,9,9,4585,3786
12,2020,2020-03-21,GM,Germany,84,75,22213,17628
13,2020,2020-03-28,GM,Germany,433,349,57695,35482
14,2020,2020-04-04,GM,Germany,1444,1011,96092,38397
15,2020,2020-04-11,GM,Germany,2736,1292,124908,28816
16,2020,2020-04-18,GM,Germany,4459,1723,143342,18434
17,2020,2020-04-25,GM,Germany,5877,1418,156513,13171
18,2020,2020-05-02,GM,Germany,6812,935,164967,8454
19,2020,2020-05-09,GM,Germany,7549,737,171324,6357
20,2020,2020-05-16,GM,Germany,7938,389,175752,4428
21,2020,2020-05-23,GM,Germany,8261,323,179986,4234
22,2020,2020-05-30,GM,Germany,8530,269,183189,3203
23,2020,2020-06-06,GM,Germany,8673,143,185450,2261
24,2020,2020-06-13,GM,Germany,8793,120,187267,1817
25,2020,2020-06-20,GM,Germany,8895,102,190670,3403
26,2020,2020-06-27,GM,Germany,8968,73,194458,3788
27,2020,2020-07-04,GM,Germany,9020,52,197198,2740
28,2020,2020-07-11,GM,Germany,9070,50,199709,2511
29,2020,2020-07-18,GM,Germany,9091,21,202426,2717
30,2020,2020-07-25,GM,Germany,9124,33,206278,3852
31,2020,2020-08-01,GM,Germany,9154,30,211005,4727
32,2020,2020-08-08,GM,Germany,9201,47,216903,5898
33,2020,2020-08-15,GM,Germany,9235,34,224488,7585
34,2020,2020-08-22,GM,Germany,9272,37,233861,9373
35,2020,2020-08-29,GM,Germany,9299,27,242835,8974
36,2020,2020-09-05,GM,Germany,9329,30,251058,8223
37,2020,2020-09-12,GM,Germany,9352,23,260817,9759
38,2020,2020-09-19,GM,Germany,9388,36,272932,12115
39,2020,2020-09-26,GM,Germany,9459,71,285026,12094
40,2020,2020-10-03,GM,Germany,9531,72,300027,15001
41,2020,2020-10-10,GM,Germany,9620,89,323463,23436
42,2020,2020-10-17,GM,Germany,9785,165,364664,41201
43,2020,2020-10-24,GM,Germany,10035,250,427808,63144
44,2020,2020-10-31,GM,Germany,10483,448,531790,103982
45,2020,2020-11-07,GM,Germany,11306,823,668114,136324
46,2020,2020-11-14,GM,Germany,12511,1205,799733,131619
47,2020,2020-11-21,GM,Germany,14061,1550,927990,128257
48,2020,2020-11-28,GM,Germany,16181,2120,1052494,124504
49,2020,2020-12-05,GM,Germany,18839,2658,1183640,131146
50,2020,2020-12-12,GM,Germany,21900,3061,1336101,152461
51,2020,2020-12-19,GM,Germany,26171,4271,1508518,172417
52,2020,2020-12-26,GM,Germany,29946,3775,1646240,137722
53,2020,2021-01-02,GM,Germany,34480,4534,1773540,127300
1,2021,2021-01-09,GM,Germany,40597,6117,1928462,154922
5,2020,2020-02-01,PL,Poland,0,0,0,0
6,2020,2020-02-08,PL,Poland,0,0,0,0
7,2020,2020-02-15,PL,Poland,0,0,0,0
8,2020,2020-02-22,PL,Poland,0,0,0,0
9,2020,2020-02-29,PL,Poland,0,0,0,0
10,2020,2020-03-07,PL,Poland,0,0,5,5
11,2020,2020-03-14,PL,Poland,3,3,103,98
12,2020,2020-03-21,PL,Poland,5,2,536,433
13,2020,2020-03-28,PL,Poland,18,13,1638,1102
14,2020,2020-04-04,PL,Poland,79,61,3627,1989
15,2020,2020-04-11,PL,Poland,208,129,6356,2729
16,2020,2020-04-18,PL,Poland,347,139,8742,2386
17,2020,2020-04-25,PL,Poland,524,177,11273,2531
18,2020,2020-05-02,PL,Poland,664,140,13375,2102
19,2020,2020-05-09,PL,Poland,785,121,15651,2276
20,2020,2020-05-16,PL,Poland,915,130,18257,2606
21,2020,2020-05-23,PL,Poland,993,78,20931,2674
22,2020,2020-05-30,PL,Poland,1061,68,23571,2640
23,2020,2020-06-06,PL,Poland,1153,92,25986,2415
24,2020,2020-06-13,PL,Poland,1237,84,29017,3031
25,2020,2020-06-20,PL,Poland,1346,109,31620,2603
26,2020,2020-06-27,PL,Poland,1435,89,33714,2094
27,2020,2020-07-04,PL,Poland,1512,77,35719,2005
28,2020,2020-07-11,PL,Poland,1568,56,37521,1802
29,2020,2020-07-18,PL,Poland,1618,50,39746,2225
30,2020,2020-07-25,PL,Poland,1664,46,42622,2876
31,2020,2020-08-01,PL,Poland,1721,57,46346,3724
32,2020,2020-08-08,PL,Poland,1800,79,51167,4821
33,2020,2020-08-15,PL,Poland,1869,69,56090,4923
34,2020,2020-08-22,PL,Poland,1951,82,61181,5091
35,2020,2020-08-29,PL,Poland,2032,81,66239,5058
36,2020,2020-09-05,PL,Poland,2113,81,70387,4148
37,2020,2020-09-12,PL,Poland,2182,69,73650,3263
38,2020,2020-09-19,PL,Poland,2282,100,78330,4680
39,2020,2020-09-26,PL,Poland,2424,142,85980,7650
40,2020,2020-10-03,PL,Poland,2604,180,98140,12160
41,2020,2020-10-10,PL,Poland,2972,368,121638,23498
42,2020,2020-10-17,PL,Poland,3524,552,167230,45592
43,2020,2020-10-24,PL,Poland,4351,827,241946,74716
44,2020,2020-10-31,PL,Poland,5631,1280,362731,120785
45,2020,2020-11-07,PL,Poland,7636,2005,521640,158909
46,2020,2020-11-14,PL,Poland,10045,2409,691118,169478
47,2020,2020-11-21,PL,Poland,13288,3243,843475,152357
48,2020,2020-11-28,PL,Poland,16746,3458,973593,130118
49,2020,2020-12-05,PL,Poland,19861,3115,1054273,80680
50,2020,2020-12-12,PL,Poland,22676,2815,1126700,72427
51,2020,2020-12-19,PL,Poland,25254,2578,1194110,67410
52,2020,2020-12-26,PL,Poland,27061,1807,1253957,59847
53,2020,2021-01-02,PL,Poland,29058,1997,1312780,58823
1,2021,2021-01-09,PL,Poland,31011,1953,1376389,63609
