model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,included_in_ensemble
bisop-seirfilter,inc case,CZ,TRUE,TRUE,TRUE,TRUE
bisop-seirfilter,inc death,CZ,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,AT,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,BE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,BG,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,CH,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,CZ,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,DE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,DK,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,EE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,ES,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,FI,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,FR,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,GB,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,GR,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,HR,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,HU,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,IE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,IT,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,LT,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,LV,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,MT,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,NL,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,NO,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,PL,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,PT,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,RO,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,SE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,SI,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc case,SK,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,AT,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,BE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,BG,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,CH,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,CZ,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,DE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,DK,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,EE,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,ES,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,FI,TRUE,TRUE,TRUE,TRUE
bisop-seirfilterlite,inc death,FR,TRUE,TRUE,TRUE,TRUE
