model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,included_in_ensemble
CovidMetrics-epiBATS,inc case,DE,TRUE,TRUE,TRUE,TRUE
epiforecasts-arimareg,inc hosp,CH,TRUE,TRUE,TRUE,TRUE
epiforecasts-arimareg,inc hosp,DK,TRUE,TRUE,TRUE,TRUE
epiforecasts-arimareg,inc hosp,EE,TRUE,TRUE,TRUE,TRUE
epiforecasts-arimareg,inc hosp,FR,TRUE,TRUE,TRUE,TRUE
epiforecasts-arimareg,inc hosp,GB,TRUE,TRUE,TRUE,TRUE
epiforecasts-arimareg,inc hosp,SI,TRUE,TRUE,TRUE,TRUE
epiforecasts-caseconv,inc hosp,CH,TRUE,TRUE,TRUE,TRUE
epiforecasts-caseconv,inc hosp,DK,TRUE,TRUE,TRUE,TRUE
epiforecasts-caseconv,inc hosp,EE,TRUE,TRUE,TRUE,TRUE
epiforecasts-caseconv,inc hosp,FR,TRUE,TRUE,TRUE,TRUE
epiforecasts-caseconv,inc hosp,GB,TRUE,TRUE,TRUE,TRUE
epiforecasts-caseconv,inc hosp,SI,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,CH,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,DK,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,EE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,FR,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,GB,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,SI,TRUE,TRUE,TRUE,TRUE
epiMOX-SUIHTER,inc case,IT,TRUE,FALSE,TRUE,FALSE
epiMOX-SUIHTER,inc death,IT,TRUE,FALSE,TRUE,FALSE
epiMOX-SUIHTER,inc hosp,IT,TRUE,FALSE,TRUE,FALSE
FIAS_FZJ-Epi1Ger,inc case,DE,TRUE,TRUE,TRUE,TRUE
FIAS_FZJ-Epi1Ger,inc death,DE,TRUE,TRUE,TRUE,TRUE
HZI-AgeExtendedSEIR,inc case,DE,TRUE,TRUE,TRUE,TRUE
HZI-AgeExtendedSEIR,inc death,DE,TRUE,TRUE,TRUE,TRUE
ICM-agentModel,inc case,PL,TRUE,TRUE,TRUE,TRUE
ICM-agentModel,inc death,PL,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,AT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,BE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,BG,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,CH,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,CY,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,CZ,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,DE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,DK,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,EE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,ES,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,FI,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,FR,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,GB,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,GR,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,HR,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,HU,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,IE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,IT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,LI,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,LT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,LU,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,LV,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,MT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,NL,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,NO,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,PL,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,PT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,RO,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,SE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,SI,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc case,SK,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,AT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,BE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,BG,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,CH,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,CY,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,CZ,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,DE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,DK,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,EE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,ES,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,FI,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,FR,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,GB,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,GR,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,HR,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,HU,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,IE,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,IT,TRUE,TRUE,TRUE,TRUE
IEM_Health-CovidProject,inc death,LI,TRUE,TRUE,TRUE,TRUE
