model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,included_in_ensemble
MUNI-ARIMA,inc case,AT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,BE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,BG,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,CH,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,CY,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,CZ,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,DE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,DK,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,EE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,ES,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,FI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,FR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,GB,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,GR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,HR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,HU,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,IE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,IS,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,IT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,LI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,LT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,LU,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,LV,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,MT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,NL,TRUE,TRUE,TRUE,TRUE
