model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,rel_wis,included_in_ensemble
ECDC-norrsken_green,inc death,LT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc death,MT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc death,PL,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc death,PT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc death,RO,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc hosp,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-soca_simplex,inc case,BG,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,CZ,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,DK,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,EE,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,GR,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,HR,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,HU,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,IE,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,LI,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,LT,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,NL,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,NO,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,PL,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,PT,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,RO,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,SI,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc case,SK,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc death,EE,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc death,LT,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc death,PT,TRUE,FALSE,TRUE,TRUE,FALSE
ECDC-soca_simplex,inc death,RO,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,BG,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,CZ,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,DK,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,EE,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,GR,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,HU,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,IE,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,LI,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,LT,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,NO,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,PL,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,PT,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,RO,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc case,SI,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc death,BG,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc death,EE,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc death,LT,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc death,PT,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc death,RO,TRUE,FALSE,TRUE,TRUE,FALSE
Lydia-SARIMA,inc hosp,NL,TRUE,FALSE,TRUE,TRUE,FALSE
epiforecasts-EpiNow2,inc case,AT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,HU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,IS,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,MT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,NO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,PT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,RO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,SE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,SI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc death,BG,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc death,EE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc death,FR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc death,LT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc death,PT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc death,RO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,IT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,NL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,AT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,BE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,HR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,HU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,IS,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,IT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,LI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,LT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,LU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,MT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,NL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,NO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,PT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,RO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,SE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,SI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc case,SK,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,BG,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,CY,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,EE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,GR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,HR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,HU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,LI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,LT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,MT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,PL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,PT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,RO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,SE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc death,SI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-tsensemble,inc hosp,NL,TRUE,TRUE,TRUE,TRUE,TRUE
