location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,quantile,0.01,334,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.025,345,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.05,366,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.1,399,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.15,422,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.2,446,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.25,467,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.3,487,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.35,504,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.4,519,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.45,538,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.5,556,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.55,573,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.6,593,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.65,613,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.7,632,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.75,655,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.8,684,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.85,721,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.9,767,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.95,825,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.975,875,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.99,908,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,point,,556,2023-07-01,2023-07-03,0 wk ahead inc case,forecast
AT,quantile,0.01,224,2023-07-08,2023-07-03,1 wk ahead inc case,forecast
AT,quantile,0.025,244,2023-07-08,2023-07-03,1 wk ahead inc case,forecast
AT,quantile,0.05,260,2023-07-08,2023-07-03,1 wk ahead inc case,forecast
AT,quantile,0.1,289,2023-07-08,2023-07-03,1 wk ahead inc case,forecast
AT,quantile,0.15,315,2023-07-08,2023-07-03,1 wk ahead inc case,forecast
