location,type,quantile,value,target_end_date,forecast_date,target,scenario_id
AT,point,,95755,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.01,35615,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.025,38899,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.05,42924,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.1,49653,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.15,56067,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.2,61485,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.25,66919,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.3,72170,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.35,77392,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.4,82757,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.45,88926,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.5,95755,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.55,101686,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.6,109113,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.65,116502,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.7,125788,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.75,135768,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.8,146151,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.85,160448,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.9,178456,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.95,204084,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.975,219554,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,quantile,0.99,232025,2022-04-16,2022-04-11,1 wk ahead inc case,forecast
AT,point,,58634,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.01,14136,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.025,15712,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.05,18030,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.1,22784,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.15,27063,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.2,31405,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.25,35242,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.3,39863,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.35,44418,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.4,49153,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.45,53495,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.5,58634,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.55,64371,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.6,70440,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.65,75829,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.7,83581,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.75,92408,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.8,103234,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.85,114880,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.9,127432,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.95,145939,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.975,158022,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,quantile,0.99,166086,2022-04-23,2022-04-11,2 wk ahead inc case,forecast
AT,point,,32273,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
AT,quantile,0.01,3763,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
AT,quantile,0.025,4376,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
AT,quantile,0.05,5477,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
AT,quantile,0.1,8071,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
AT,quantile,0.15,10637,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
AT,quantile,0.2,13196,2022-04-30,2022-04-11,3 wk ahead inc case,forecast
