forecast_date,target,target_end_date,location,quantile,value,type
2021-07-18,1 wk ahead inc case,2021-07-24,IT,NA,31009,point
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.01,14,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.025,105,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.05,366,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.1,1053,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.15,1850,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.2,2689,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.25,3558,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.3,4529,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.35,5601,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.4,6903,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.45,8729,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.5,12073,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.55,24310,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.6,44392,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.65,50195,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.7,53805,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.75,57230,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.8,61276,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.85,66853,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.9,74293,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.95,85291,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.975,95896,quantile
2021-07-18,1 wk ahead inc case,2021-07-24,IT,0.99,108527,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,NA,134,point
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.01,64,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.025,72,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.05,79,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.1,87,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.15,94,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.2,99,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.25,103,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.3,108,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.35,112,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.4,116,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.45,120,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.5,125,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.55,129,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.6,134,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.65,139,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.7,144,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.75,151,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.8,159,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.85,169,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.9,182,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.95,209,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.975,238,quantile
2021-07-18,1 wk ahead inc death,2021-07-24,IT,0.99,291,quantile
