forecast_date,target,target_end_date,location,quantile,value,type
2021-12-12,1 wk ahead inc case,2021-12-18,IT,NA,162228,point
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.01,124476,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.025,129668,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.05,134318,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.1,139921,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.15,143822,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.2,147008,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.25,149795,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.3,152345,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.35,154760,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.4,157091,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.45,159365,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.5,161657,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.55,163988,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.6,166396,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.65,168949,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.7,171687,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.75,174696,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.8,178157,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.85,182330,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.9,187752,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.95,196281,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.975,204260,quantile
2021-12-12,1 wk ahead inc case,2021-12-18,IT,0.99,213972,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,NA,682,point
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.01,567,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.025,583,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.05,598,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.1,615,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.15,628,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.2,637,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.25,645,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.3,653,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.35,660,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.4,668,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.45,674,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.5,680,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.55,688,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.6,694,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.65,701,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.7,709,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.75,717,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.8,727,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.85,739,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.9,753,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.95,779,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.975,805,quantile
2021-12-12,1 wk ahead inc death,2021-12-18,IT,0.99,844,quantile
