location,type,quantile,target_end_date,target,scenario_id,value,forecast_date
GB,quantile,0.01,2021-06-19,1 wk ahead inc case,forecast,38388,2021-06-14
GB,quantile,0.025,2021-06-19,1 wk ahead inc case,forecast,41632,2021-06-14
GB,quantile,0.05,2021-06-19,1 wk ahead inc case,forecast,44626,2021-06-14
GB,quantile,0.1,2021-06-19,1 wk ahead inc case,forecast,48531,2021-06-14
GB,quantile,0.15,2021-06-19,1 wk ahead inc case,forecast,51435,2021-06-14
GB,quantile,0.2,2021-06-19,1 wk ahead inc case,forecast,53859,2021-06-14
GB,quantile,0.25,2021-06-19,1 wk ahead inc case,forecast,56136,2021-06-14
GB,quantile,0.3,2021-06-19,1 wk ahead inc case,forecast,58178,2021-06-14
GB,quantile,0.35,2021-06-19,1 wk ahead inc case,forecast,60164,2021-06-14
GB,quantile,0.4,2021-06-19,1 wk ahead inc case,forecast,62052,2021-06-14
GB,quantile,0.45,2021-06-19,1 wk ahead inc case,forecast,63989,2021-06-14
GB,quantile,0.5,2021-06-19,1 wk ahead inc case,forecast,65950,2021-06-14
GB,quantile,0.55,2021-06-19,1 wk ahead inc case,forecast,67989,2021-06-14
GB,quantile,0.6,2021-06-19,1 wk ahead inc case,forecast,70149,2021-06-14
GB,quantile,0.65,2021-06-19,1 wk ahead inc case,forecast,72471,2021-06-14
GB,quantile,0.7,2021-06-19,1 wk ahead inc case,forecast,75046,2021-06-14
GB,quantile,0.75,2021-06-19,1 wk ahead inc case,forecast,77966,2021-06-14
GB,quantile,0.8,2021-06-19,1 wk ahead inc case,forecast,81307,2021-06-14
GB,quantile,0.85,2021-06-19,1 wk ahead inc case,forecast,85310,2021-06-14
GB,quantile,0.9,2021-06-19,1 wk ahead inc case,forecast,90913,2021-06-14
GB,quantile,0.95,2021-06-19,1 wk ahead inc case,forecast,99838,2021-06-14
GB,quantile,0.975,2021-06-19,1 wk ahead inc case,forecast,108477,2021-06-14
GB,quantile,0.99,2021-06-19,1 wk ahead inc case,forecast,119379,2021-06-14
GB,quantile,0.01,2021-06-26,2 wk ahead inc case,forecast,47663,2021-06-14
GB,quantile,0.025,2021-06-26,2 wk ahead inc case,forecast,52733,2021-06-14
GB,quantile,0.05,2021-06-26,2 wk ahead inc case,forecast,57597,2021-06-14
GB,quantile,0.1,2021-06-26,2 wk ahead inc case,forecast,63629,2021-06-14
GB,quantile,0.15,2021-06-26,2 wk ahead inc case,forecast,68115,2021-06-14
GB,quantile,0.2,2021-06-26,2 wk ahead inc case,forecast,71890,2021-06-14
GB,quantile,0.25,2021-06-26,2 wk ahead inc case,forecast,75249,2021-06-14
GB,quantile,0.3,2021-06-26,2 wk ahead inc case,forecast,78496,2021-06-14
GB,quantile,0.35,2021-06-26,2 wk ahead inc case,forecast,81539,2021-06-14
GB,quantile,0.4,2021-06-26,2 wk ahead inc case,forecast,84614,2021-06-14
GB,quantile,0.45,2021-06-26,2 wk ahead inc case,forecast,87792,2021-06-14
GB,quantile,0.5,2021-06-26,2 wk ahead inc case,forecast,91020,2021-06-14
GB,quantile,0.55,2021-06-26,2 wk ahead inc case,forecast,94275,2021-06-14
GB,quantile,0.6,2021-06-26,2 wk ahead inc case,forecast,97795,2021-06-14
GB,quantile,0.65,2021-06-26,2 wk ahead inc case,forecast,101545,2021-06-14
GB,quantile,0.7,2021-06-26,2 wk ahead inc case,forecast,105644,2021-06-14
GB,quantile,0.75,2021-06-26,2 wk ahead inc case,forecast,110217,2021-06-14
GB,quantile,0.8,2021-06-26,2 wk ahead inc case,forecast,115563,2021-06-14
GB,quantile,0.85,2021-06-26,2 wk ahead inc case,forecast,122209,2021-06-14
GB,quantile,0.9,2021-06-26,2 wk ahead inc case,forecast,131250,2021-06-14
GB,quantile,0.95,2021-06-26,2 wk ahead inc case,forecast,146500,2021-06-14
GB,quantile,0.975,2021-06-26,2 wk ahead inc case,forecast,161325,2021-06-14
GB,quantile,0.99,2021-06-26,2 wk ahead inc case,forecast,179006,2021-06-14
GB,quantile,0.01,2021-07-03,3 wk ahead inc case,forecast,55058,2021-06-14
GB,quantile,0.025,2021-07-03,3 wk ahead inc case,forecast,62045,2021-06-14
GB,quantile,0.05,2021-07-03,3 wk ahead inc case,forecast,68872,2021-06-14
GB,quantile,0.1,2021-07-03,3 wk ahead inc case,forecast,77107,2021-06-14
GB,quantile,0.15,2021-07-03,3 wk ahead inc case,forecast,83497,2021-06-14
GB,quantile,0.2,2021-07-03,3 wk ahead inc case,forecast,88829,2021-06-14
GB,quantile,0.25,2021-07-03,3 wk ahead inc case,forecast,93726,2021-06-14
GB,quantile,0.3,2021-07-03,3 wk ahead inc case,forecast,98272,2021-06-14
GB,quantile,0.35,2021-07-03,3 wk ahead inc case,forecast,102759,2021-06-14
GB,quantile,0.4,2021-07-03,3 wk ahead inc case,forecast,107210,2021-06-14
GB,quantile,0.45,2021-07-03,3 wk ahead inc case,forecast,111818,2021-06-14
GB,quantile,0.5,2021-07-03,3 wk ahead inc case,forecast,116466,2021-06-14
GB,quantile,0.55,2021-07-03,3 wk ahead inc case,forecast,121236,2021-06-14
GB,quantile,0.6,2021-07-03,3 wk ahead inc case,forecast,126398,2021-06-14
GB,quantile,0.65,2021-07-03,3 wk ahead inc case,forecast,131953,2021-06-14
GB,quantile,0.7,2021-07-03,3 wk ahead inc case,forecast,138235,2021-06-14
GB,quantile,0.75,2021-07-03,3 wk ahead inc case,forecast,145237,2021-06-14
GB,quantile,0.8,2021-07-03,3 wk ahead inc case,forecast,153799,2021-06-14
GB,quantile,0.85,2021-07-03,3 wk ahead inc case,forecast,164340,2021-06-14
GB,quantile,0.9,2021-07-03,3 wk ahead inc case,forecast,178432,2021-06-14
GB,quantile,0.95,2021-07-03,3 wk ahead inc case,forecast,201577,2021-06-14
GB,quantile,0.975,2021-07-03,3 wk ahead inc case,forecast,224263,2021-06-14
GB,quantile,0.99,2021-07-03,3 wk ahead inc case,forecast,254427,2021-06-14
GB,quantile,0.01,2021-07-10,4 wk ahead inc case,forecast,61292,2021-06-14
GB,quantile,0.025,2021-07-10,4 wk ahead inc case,forecast,70149,2021-06-14
GB,quantile,0.05,2021-07-10,4 wk ahead inc case,forecast,78372,2021-06-14
GB,quantile,0.1,2021-07-10,4 wk ahead inc case,forecast,89308,2021-06-14
GB,quantile,0.15,2021-07-10,4 wk ahead inc case,forecast,97424,2021-06-14
GB,quantile,0.2,2021-07-10,4 wk ahead inc case,forecast,104539,2021-06-14
GB,quantile,0.25,2021-07-10,4 wk ahead inc case,forecast,110955,2021-06-14
GB,quantile,0.3,2021-07-10,4 wk ahead inc case,forecast,117175,2021-06-14
GB,quantile,0.35,2021-07-10,4 wk ahead inc case,forecast,123455,2021-06-14
GB,quantile,0.4,2021-07-10,4 wk ahead inc case,forecast,129616,2021-06-14
GB,quantile,0.45,2021-07-10,4 wk ahead inc case,forecast,135948,2021-06-14
GB,quantile,0.5,2021-07-10,4 wk ahead inc case,forecast,142284,2021-06-14
GB,quantile,0.55,2021-07-10,4 wk ahead inc case,forecast,149138,2021-06-14
GB,quantile,0.6,2021-07-10,4 wk ahead inc case,forecast,156288,2021-06-14
GB,quantile,0.65,2021-07-10,4 wk ahead inc case,forecast,164108,2021-06-14
GB,quantile,0.7,2021-07-10,4 wk ahead inc case,forecast,172859,2021-06-14
GB,quantile,0.75,2021-07-10,4 wk ahead inc case,forecast,182801,2021-06-14
GB,quantile,0.8,2021-07-10,4 wk ahead inc case,forecast,194613,2021-06-14
GB,quantile,0.85,2021-07-10,4 wk ahead inc case,forecast,209383,2021-06-14
GB,quantile,0.9,2021-07-10,4 wk ahead inc case,forecast,229554,2021-06-14
GB,quantile,0.95,2021-07-10,4 wk ahead inc case,forecast,264169,2021-06-14
GB,quantile,0.975,2021-07-10,4 wk ahead inc case,forecast,298497,2021-06-14
GB,quantile,0.99,2021-07-10,4 wk ahead inc case,forecast,346411,2021-06-14
GB,quantile,0.01,2021-06-19,1 wk ahead inc death,forecast,43,2021-06-14
GB,quantile,0.025,2021-06-19,1 wk ahead inc death,forecast,47,2021-06-14
GB,quantile,0.05,2021-06-19,1 wk ahead inc death,forecast,52,2021-06-14
GB,quantile,0.1,2021-06-19,1 wk ahead inc death,forecast,57,2021-06-14
GB,quantile,0.15,2021-06-19,1 wk ahead inc death,forecast,60,2021-06-14
GB,quantile,0.2,2021-06-19,1 wk ahead inc death,forecast,64,2021-06-14
GB,quantile,0.25,2021-06-19,1 wk ahead inc death,forecast,66,2021-06-14
GB,quantile,0.3,2021-06-19,1 wk ahead inc death,forecast,69,2021-06-14
GB,quantile,0.35,2021-06-19,1 wk ahead inc death,forecast,72,2021-06-14
GB,quantile,0.4,2021-06-19,1 wk ahead inc death,forecast,74,2021-06-14
GB,quantile,0.45,2021-06-19,1 wk ahead inc death,forecast,77,2021-06-14
GB,quantile,0.5,2021-06-19,1 wk ahead inc death,forecast,79,2021-06-14
GB,quantile,0.55,2021-06-19,1 wk ahead inc death,forecast,82,2021-06-14
GB,quantile,0.6,2021-06-19,1 wk ahead inc death,forecast,84,2021-06-14
GB,quantile,0.65,2021-06-19,1 wk ahead inc death,forecast,87,2021-06-14
GB,quantile,0.7,2021-06-19,1 wk ahead inc death,forecast,90,2021-06-14
GB,quantile,0.75,2021-06-19,1 wk ahead inc death,forecast,94,2021-06-14
GB,quantile,0.8,2021-06-19,1 wk ahead inc death,forecast,99,2021-06-14
GB,quantile,0.85,2021-06-19,1 wk ahead inc death,forecast,104,2021-06-14
GB,quantile,0.9,2021-06-19,1 wk ahead inc death,forecast,111,2021-06-14
