location,type,quantile,target_end_date,target,scenario_id,value,forecast_date
GB,quantile,0.01,2021-08-14,1 wk ahead inc case,forecast,148091,2021-08-09
GB,quantile,0.025,2021-08-14,1 wk ahead inc case,forecast,156312,2021-08-09
GB,quantile,0.05,2021-08-14,1 wk ahead inc case,forecast,163791,2021-08-09
GB,quantile,0.1,2021-08-14,1 wk ahead inc case,forecast,172913,2021-08-09
GB,quantile,0.15,2021-08-14,1 wk ahead inc case,forecast,179385,2021-08-09
GB,quantile,0.2,2021-08-14,1 wk ahead inc case,forecast,183692,2021-08-09
GB,quantile,0.25,2021-08-14,1 wk ahead inc case,forecast,186788,2021-08-09
GB,quantile,0.3,2021-08-14,1 wk ahead inc case,forecast,189612,2021-08-09
GB,quantile,0.35,2021-08-14,1 wk ahead inc case,forecast,192268,2021-08-09
GB,quantile,0.4,2021-08-14,1 wk ahead inc case,forecast,194822,2021-08-09
GB,quantile,0.45,2021-08-14,1 wk ahead inc case,forecast,197326,2021-08-09
GB,quantile,0.5,2021-08-14,1 wk ahead inc case,forecast,200128,2021-08-09
GB,quantile,0.55,2021-08-14,1 wk ahead inc case,forecast,203797,2021-08-09
GB,quantile,0.6,2021-08-14,1 wk ahead inc case,forecast,207717,2021-08-09
GB,quantile,0.65,2021-08-14,1 wk ahead inc case,forecast,210059,2021-08-09
GB,quantile,0.7,2021-08-14,1 wk ahead inc case,forecast,215104,2021-08-09
GB,quantile,0.75,2021-08-14,1 wk ahead inc case,forecast,221765,2021-08-09
GB,quantile,0.8,2021-08-14,1 wk ahead inc case,forecast,227842,2021-08-09
GB,quantile,0.85,2021-08-14,1 wk ahead inc case,forecast,236685,2021-08-09
GB,quantile,0.9,2021-08-14,1 wk ahead inc case,forecast,246676,2021-08-09
GB,quantile,0.95,2021-08-14,1 wk ahead inc case,forecast,263993,2021-08-09
GB,quantile,0.975,2021-08-14,1 wk ahead inc case,forecast,281113,2021-08-09
GB,quantile,0.99,2021-08-14,1 wk ahead inc case,forecast,298365,2021-08-09
GB,quantile,0.01,2021-08-21,2 wk ahead inc case,forecast,126714,2021-08-09
GB,quantile,0.025,2021-08-21,2 wk ahead inc case,forecast,136451,2021-08-09
GB,quantile,0.05,2021-08-21,2 wk ahead inc case,forecast,147407,2021-08-09
GB,quantile,0.1,2021-08-21,2 wk ahead inc case,forecast,161265,2021-08-09
GB,quantile,0.15,2021-08-21,2 wk ahead inc case,forecast,171430,2021-08-09
GB,quantile,0.2,2021-08-21,2 wk ahead inc case,forecast,180014,2021-08-09
GB,quantile,0.25,2021-08-21,2 wk ahead inc case,forecast,187758,2021-08-09
GB,quantile,0.3,2021-08-21,2 wk ahead inc case,forecast,195027,2021-08-09
GB,quantile,0.35,2021-08-21,2 wk ahead inc case,forecast,202040,2021-08-09
GB,quantile,0.4,2021-08-21,2 wk ahead inc case,forecast,206095,2021-08-09
GB,quantile,0.45,2021-08-21,2 wk ahead inc case,forecast,209745,2021-08-09
GB,quantile,0.5,2021-08-21,2 wk ahead inc case,forecast,213403,2021-08-09
GB,quantile,0.55,2021-08-21,2 wk ahead inc case,forecast,217129,2021-08-09
GB,quantile,0.6,2021-08-21,2 wk ahead inc case,forecast,220985,2021-08-09
GB,quantile,0.65,2021-08-21,2 wk ahead inc case,forecast,225046,2021-08-09
GB,quantile,0.7,2021-08-21,2 wk ahead inc case,forecast,229412,2021-08-09
GB,quantile,0.75,2021-08-21,2 wk ahead inc case,forecast,234222,2021-08-09
GB,quantile,0.8,2021-08-21,2 wk ahead inc case,forecast,243962,2021-08-09
GB,quantile,0.85,2021-08-21,2 wk ahead inc case,forecast,258331,2021-08-09
GB,quantile,0.9,2021-08-21,2 wk ahead inc case,forecast,275670,2021-08-09
GB,quantile,0.95,2021-08-21,2 wk ahead inc case,forecast,298241,2021-08-09
GB,quantile,0.975,2021-08-21,2 wk ahead inc case,forecast,318996,2021-08-09
GB,quantile,0.99,2021-08-21,2 wk ahead inc case,forecast,343630,2021-08-09
GB,quantile,0.01,2021-08-28,3 wk ahead inc case,forecast,110013,2021-08-09
GB,quantile,0.025,2021-08-28,3 wk ahead inc case,forecast,118697,2021-08-09
GB,quantile,0.05,2021-08-28,3 wk ahead inc case,forecast,133037,2021-08-09
GB,quantile,0.1,2021-08-28,3 wk ahead inc case,forecast,147173,2021-08-09
GB,quantile,0.15,2021-08-28,3 wk ahead inc case,forecast,160087,2021-08-09
GB,quantile,0.2,2021-08-28,3 wk ahead inc case,forecast,171248,2021-08-09
GB,quantile,0.25,2021-08-28,3 wk ahead inc case,forecast,181513,2021-08-09
GB,quantile,0.3,2021-08-28,3 wk ahead inc case,forecast,191314,2021-08-09
GB,quantile,0.35,2021-08-28,3 wk ahead inc case,forecast,200920,2021-08-09
GB,quantile,0.4,2021-08-28,3 wk ahead inc case,forecast,210530,2021-08-09
GB,quantile,0.45,2021-08-28,3 wk ahead inc case,forecast,220312,2021-08-09
GB,quantile,0.5,2021-08-28,3 wk ahead inc case,forecast,230430,2021-08-09
GB,quantile,0.55,2021-08-28,3 wk ahead inc case,forecast,237567,2021-08-09
GB,quantile,0.6,2021-08-28,3 wk ahead inc case,forecast,243369,2021-08-09
GB,quantile,0.65,2021-08-28,3 wk ahead inc case,forecast,249523,2021-08-09
GB,quantile,0.7,2021-08-28,3 wk ahead inc case,forecast,256190,2021-08-09
GB,quantile,0.75,2021-08-28,3 wk ahead inc case,forecast,263596,2021-08-09
GB,quantile,0.8,2021-08-28,3 wk ahead inc case,forecast,272113,2021-08-09
GB,quantile,0.85,2021-08-28,3 wk ahead inc case,forecast,282411,2021-08-09
GB,quantile,0.9,2021-08-28,3 wk ahead inc case,forecast,296435,2021-08-09
GB,quantile,0.95,2021-08-28,3 wk ahead inc case,forecast,331141,2021-08-09
GB,quantile,0.975,2021-08-28,3 wk ahead inc case,forecast,364684,2021-08-09
GB,quantile,0.99,2021-08-28,3 wk ahead inc case,forecast,408198,2021-08-09
GB,quantile,0.01,2021-09-04,4 wk ahead inc case,forecast,76530,2021-08-09
GB,quantile,0.025,2021-09-04,4 wk ahead inc case,forecast,98124,2021-08-09
GB,quantile,0.05,2021-09-04,4 wk ahead inc case,forecast,109355,2021-08-09
GB,quantile,0.1,2021-09-04,4 wk ahead inc case,forecast,124209,2021-08-09
GB,quantile,0.15,2021-09-04,4 wk ahead inc case,forecast,135488,2021-08-09
