location,type,quantile,target_end_date,forecast_date,target,value
GB,quantile,0.05,2021-05-22,2021-05-10,2 wk ahead inc case,9429
GB,quantile,0.1,2021-05-22,2021-05-10,2 wk ahead inc case,10154
GB,quantile,0.15,2021-05-22,2021-05-10,2 wk ahead inc case,10697
GB,quantile,0.2,2021-05-22,2021-05-10,2 wk ahead inc case,11164
GB,quantile,0.25,2021-05-22,2021-05-10,2 wk ahead inc case,11600
GB,quantile,0.3,2021-05-22,2021-05-10,2 wk ahead inc case,11966
GB,quantile,0.35,2021-05-22,2021-05-10,2 wk ahead inc case,12304
GB,quantile,0.4,2021-05-22,2021-05-10,2 wk ahead inc case,12677
GB,quantile,0.45,2021-05-22,2021-05-10,2 wk ahead inc case,13035
GB,quantile,0.5,2021-05-22,2021-05-10,2 wk ahead inc case,13391
GB,quantile,0.55,2021-05-22,2021-05-10,2 wk ahead inc case,13763
GB,quantile,0.6,2021-05-22,2021-05-10,2 wk ahead inc case,14150
GB,quantile,0.65,2021-05-22,2021-05-10,2 wk ahead inc case,14554
GB,quantile,0.7,2021-05-22,2021-05-10,2 wk ahead inc case,15026
GB,quantile,0.75,2021-05-22,2021-05-10,2 wk ahead inc case,15538
GB,quantile,0.8,2021-05-22,2021-05-10,2 wk ahead inc case,16131
GB,quantile,0.85,2021-05-22,2021-05-10,2 wk ahead inc case,16820
GB,quantile,0.9,2021-05-22,2021-05-10,2 wk ahead inc case,17742
GB,quantile,0.95,2021-05-22,2021-05-10,2 wk ahead inc case,19156
GB,quantile,0.975,2021-05-22,2021-05-10,2 wk ahead inc case,20610
GB,quantile,0.99,2021-05-22,2021-05-10,2 wk ahead inc case,22220
GB,quantile,0.01,2021-05-29,2021-05-10,3 wk ahead inc case,7281
GB,quantile,0.025,2021-05-29,2021-05-10,3 wk ahead inc case,7954
GB,quantile,0.05,2021-05-29,2021-05-10,3 wk ahead inc case,8656
GB,quantile,0.1,2021-05-29,2021-05-10,3 wk ahead inc case,9473
GB,quantile,0.15,2021-05-29,2021-05-10,3 wk ahead inc case,10113
GB,quantile,0.2,2021-05-29,2021-05-10,3 wk ahead inc case,10656
GB,quantile,0.25,2021-05-29,2021-05-10,3 wk ahead inc case,11146
GB,quantile,0.3,2021-05-29,2021-05-10,3 wk ahead inc case,11582
GB,quantile,0.35,2021-05-29,2021-05-10,3 wk ahead inc case,12036
GB,quantile,0.4,2021-05-29,2021-05-10,3 wk ahead inc case,12456
GB,quantile,0.45,2021-05-29,2021-05-10,3 wk ahead inc case,12888
GB,quantile,0.5,2021-05-29,2021-05-10,3 wk ahead inc case,13342
GB,quantile,0.55,2021-05-29,2021-05-10,3 wk ahead inc case,13794
GB,quantile,0.6,2021-05-29,2021-05-10,3 wk ahead inc case,14286
