location,type,quantile,target_end_date,forecast_date,target,scenario_id,value
BE,quantile,0.01,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,15104
BE,quantile,0.025,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,15742
BE,quantile,0.05,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,16313
BE,quantile,0.1,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,16997
BE,quantile,0.15,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,17474
BE,quantile,0.2,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,17863
BE,quantile,0.25,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,18204
BE,quantile,0.3,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,18515
BE,quantile,0.35,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,18808
BE,quantile,0.4,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,19091
BE,quantile,0.45,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,19368
BE,quantile,0.5,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,19645
BE,quantile,0.55,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,19926
BE,quantile,0.6,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,20216
BE,quantile,0.65,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,20520
BE,quantile,0.7,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,20845
BE,quantile,0.75,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,21201
BE,quantile,0.8,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,21605
BE,quantile,0.85,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,22086
BE,quantile,0.9,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,22707
BE,quantile,0.95,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,23658
BE,quantile,0.975,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,24516
BE,quantile,0.99,2021-05-08,2021-05-03,1 wk ahead inc case,forecast,25552
BE,quantile,0.01,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,12405
BE,quantile,0.025,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,13063
BE,quantile,0.05,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,13657
BE,quantile,0.1,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,14374
BE,quantile,0.15,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,14880
BE,quantile,0.2,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,15294
BE,quantile,0.25,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,15659
BE,quantile,0.3,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,15994
BE,quantile,0.35,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,16311
BE,quantile,0.4,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,16617
BE,quantile,0.45,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,16919
BE,quantile,0.5,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,17221
BE,quantile,0.55,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,17529
BE,quantile,0.6,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,17848
BE,quantile,0.65,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,18183
BE,quantile,0.7,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,18543
BE,quantile,0.75,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,18939
BE,quantile,0.8,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,19391
BE,quantile,0.85,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,19931
BE,quantile,0.9,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,20632
BE,quantile,0.95,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,21716
BE,quantile,0.975,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,22703
BE,quantile,0.99,2021-05-15,2021-05-03,2 wk ahead inc case,forecast,23907
BE,quantile,0.01,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,9583
BE,quantile,0.025,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,10274
BE,quantile,0.05,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,10908
BE,quantile,0.1,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,11688
BE,quantile,0.15,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,12245
BE,quantile,0.2,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,12707
BE,quantile,0.25,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,13117
BE,quantile,0.3,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,13496
BE,quantile,0.35,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,13857
BE,quantile,0.4,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,14209
BE,quantile,0.45,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,14558
BE,quantile,0.5,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,14910
BE,quantile,0.55,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,15270
BE,quantile,0.6,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,15645
BE,quantile,0.65,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,16043
BE,quantile,0.7,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,16472
BE,quantile,0.75,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,16949
BE,quantile,0.8,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,17495
BE,quantile,0.85,2021-05-22,2021-05-03,3 wk ahead inc case,forecast,18155
