forecast_date,target,target_end_date,horizon,location,type,quantile,value
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.75,101
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.8,115
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.85,130
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.9,156
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.95,196
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.975,244
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,CZ,quantile,0.99,309
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.1,48
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.15,53
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.2,57
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.25,61
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.3,64
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.35,68
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.4,71
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.45,75
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.5,79
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.55,82
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.6,87
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.65,91
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.7,96
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.75,102
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.8,108
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.85,117
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.9,129
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.95,150
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.975,170
2024-02-19,1 wk ahead inc hosp,2024-02-17,1,CZ,quantile,0.99,193
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.01,6
